topic,review
"Good food and drinks, excellent team","Had dinner here with colleagues after work on a Thursday and had a great time with drinks and tapas. Staff were really friendly, and seemed genuinely happy to serve us, taking time to explain menu items to us, offering to take photos, even recommending nicer angles to take photos from, etc. The food was pretty good as well."
"Great food, great crew","Held a 50+ person event here recently and the team was nothing short of amazing. From providing advice on the food selections to the set up and service, everything was on point. The location is great for a casual big group dinner.

- Food was great: Not just my opinion, but also from the feedback I received from the team. Highlight for me was the dukkah cauliflower, fish and the wagyu beef quesadillas.

- Service was wonderful: We pre-ordered a whole bunch of food that was replenished very promptly. Empty plates/ glasses were cleared quickly so the tables never looked cluttered.

- The crew was friendly and professional: They were very accommodating with the seating, checked in with us regularly on how things were going and managed the general crowd with aplomb.

Thank you Zay, Edison, Chef (sorry didn't get your name) for a lovely time."
Best family night out dinner,"Finally after months of waiting, the whole family were able to sit down for a good family meal! And yes, all wanted to relieve the last good memories we had at this lovely place. As usual, Christine was so sweet to sit us back the same table where we usually sat. Glad to see the familiar faces especially the warmth welcoming staff to the ever friendly Chefs. The carefully curated dishes were wiped out clean before the next dishes been served! Well not that we were very hungry but the execution of every dishes were so perfect especially the Briskets Sandwiches that we’ve to have another round before the ever best Chocolate Lava cake!! I’m not going talk about each dish as like I say, they were all so good (never fail) that every dish is definitely worth trying! And of course no food is complete without having their best stout etc plus the special drink created by Eddy, the bartender/manager. Thanks guys, we really enjoyed every bites without rushing thru the meal. Well, definitely looking forward another round and definitely will want to bring more friends to enjoy with us. Cheers"
Not a great experience.,"Not a great experience.

From being told that they no longer did the sampling rack of beers that I had seen on their social media/website (although to be fair they gave me 2 little sips to try but not the same thing) to being told by the waitress that it was her first day and she had no clue about anything to being unable to drink their recommended cocktail because it was pure sugar it wasn't a place that I would recommend."
Very chill bar,"It’s a decent place with nice enough beers. Didn’t really enjoy the charcuterie - cured meats weren’t that good. We went on Saturday evening and it was really quiet. So if you’re looking for the bar type of atmosphere, this isn’t the place for you. I really enjoyed the service though! There’s a female service staff with short hair who was super efficient and friendly."
"cold beer, cool place",cool place in the middle of the city and at the heart of Chijmes. beer range is ok and tastes good.. have two!
Good selection of craft beer,"Wait staff were friendly although service was slow. Great selection of craft beer and cocktails. Food was mainly deep fried, but sinfully tasty. The Dukkah cauliflower and zucchini fries were great snacks to go with the beer. Wagyu steak was done to just about right tenderness. Pan seared seabass and frog legs were interesting dishes to try."
How is it $15++ whole Beerfest is $3++ ?,"I mean seriously!
How is it $15++ whole Beerfest is $3++ ? It's in a wack old plaza...

And why do you charge for tap water? Save the environment and drink more $15++ beer. Or buy a plastic bottle.

Mixologists maybe, but whatever. No better than anywhere else, but much more expensive.

Plastic bottle indeed."
Overall a nice relaxing place with good beer,"A lot of craft on the draft here with good cocktails. There is also happy hour, the place is centrally located and easy to get to. Staff were actually friendly and helpful towards your needs. We had some food too, the quality was good. Will come back here again!"
Awesome food. Good beer/s. Terrible cocktails.,"Really good food n beer. But cocktails are not good and service at the bar: NOT pleasant. I’ll definitely visit/host there again - fun relaxing atmosphere even if it’s a little stuffy n warm indoors (poor kitchen hands). But I’ll stick to the beers n the quality, yummy grub. Great value - not too many around these days!"
show up early if you want food,"""Dinner"" is short. Go somewhere else if within 4 hours of closing. Not much more to say about this place."
"Cool little bar, great atmosphere, excellent service!",Love this gem of a bar. Great selection of food & beer. Love the atmosphere & excellent service. Great place to hang out with a group of friends.
Great Craft Beer and Food,"This Beer Bar never disappoint for craft beer lover.
Althought the beer mix is no longer available but the selection of Craft beer on tap certainly did not disappoin and the quality of food can be compared directly with high end restaurant

First the beer. If you want to get the full experience, get the beer flight. Consist of 4 craft beer where you can sample the freshest product made by their own brewery in Changi Village.

My highlight is the Black Milk Stout, That Old Black magic stout and the Whitter shade of Pale Ale. We took 2 beer flight totaling 8 beers and everyone is very unique.

The intersting surprise was the Flaming Lips whis is beer infused with Ginger which is like drinking an exotic dessert.

The food is also a great highlight. We order the Gambas al Ajillo, Beef Quesadilla and crispy calamari. All of them are Very good.
The shirmp in Gambas is cooked perfectly and plump, the Quesadilla has the right spices that complement the beer and finally the Crispy Calamari is fried and no greasy feel....Bravo Chef

This is a good place to spend time enjoying food and beer."
"Great atmosphere, food and service","Have made two visits here during the F1 race weekend. Great atmosphere, amazing, original food, friendly and professional service and good wines and beer selection.

The tapas are excellent and uncle one or
Two Spanish dishes but more
Local interpretations. The Gambia al aniline is ver good, but the crispy pork belly is world class. Portions are large. A great evening!"
