topic,review
Great food great service.,"Excellent attentive arrive from the wonderful staff at the lobby lounge. Special thanks to Kalai. He made our experience a special one with a very warm welcoming demeanour! Thank! It was our 3rd visit, will make a 4th for sure!"
Awesome Service….,"I like to comment on your staff Emma, Linda, Jinnie and Kalai for being very attentive to our needs.
Special Thank you to Mr Kalai for going an extra mile for making our high tea a special one. He’s so friendly and knowledgeable. Best high tea ever. Will be back soon"
High Tea,"Love the service by Krish, Lemoul, Theresa and May. The high tea set was beautiful and innovative. Recommend."
Excellent Afternoon Tea Experience,"Was treated very well by Kalbi, Janet, Kkish and Mau. Would recommend to anyone to come here for a wonderful afternoon tea experience!"
Afternoon Tea,The service and food are excellent! Highly recommend to visit to this afternoon tea! The atmosphere is amazing too
Great service from afternoon team,Good cust service for our xmas high tea with my friends. Xmas high tea was awesome. The sweets afternoon tea are a little too sweet.Kalai and team had shown customer service
Thank you Conrad Singapore. Merry Christmas & New Year 2023 🎄🥂,"Am here with my husband for our Christmas Festive afternoon tea at the lobby lounge. Had a wonderful and relax time. The decoration, ambience and supporting services staffs are top notch. Delicious food, nice coffee/Tea and comes with Christmas Carole, photo booth and free Xmas bear. Can’t wait to do a staycation at this hotel. Special thanks for Kalai, Theresa, Krish and Ian for the great services. Merry Christmas and a great new year 2023 in advance. Cheers ❤️"
Afternoon high tea on Xmas eve,"Love the ambience, and they give free flow coffee and tea. afternoon tea has good mix of sweets amd savory. Very friendly and good/ prompt service staff, especially Mr Kalai, come checks on us from time to time to make sure we are doing OK. Enjoyed our time here."
High Tea with Excellent Service,"Had a great time for high tea with my family at Lobby lounge and the service were great from the team especially Kalai, Shol, Ian and Linda."
Family festive afternoon tea,Beautiful and festive afternoon tea. Very good value and tasty. Well Presented. Excellent staff. Kalai. Jeanette. Krish and Jinnie.
Awesome festive high tea! Recommended!,"Awesome high tea experience at conrad lobby lounge! Excellent service by the team, Kalai, Krish, Lemurl and Linda, always making sure that we are well taken care of. Very obliging to all our requests as well. The festive high tea is one of the best we've had. Beautiful setup and delectable sweet and savoury items! Highly recommended for a wonderful festive high tea experience!"
Family birthday lunch,"Would like to thanks Kalai, Krish, Lemeul & Linda for their great service & going for an extra mile to ensure the food and service is up to our expectations"
Department high tea,"Great service from team - Kalai, Jeanette, Linda & Theresa. We love the service and high tea from Conrad Singapore."
Birthday celebration,"We had a wonderful time, nice ambience, high tea is beautiful and delicious. Especially Kalai, 5 star service, he is very polite, friendly and funny, he offered a slice of birthday cake when he heard one of us is celebrating birthday in Dec. His team, Jeanette, Krish and John are very friendly too. Remember to ask Kalai to take photo, the photo turned out very nice."
XMas High Tea,"Came here for Festive High Tea and was impressed by the spread. More than that, I was impressed by the attention to detail by the crew. Namely Kalai, Jeanette, Krish and John. Being a first time patron, I was surprised by the cordial approach of the friendly staffs . The tea selection was vast and the spread was delicious. I would come back here again and would recommend this place."
Superb high tea session,"We visited the lobby lounge at 1pm and the place was great. Cozy and December holiday vibes. Service staffs are attentive and accommodating. Excellent pastries and drinks. Big thank you to Kalai for the wonderful service as well as the other staffs Lemeul, Theresa and Ian."
Amazing experience at Lobby lounge,"Me and my friend had an amazing time at Lobby lounge. The food was good, we ordered the Christmas high tea set and especially the Skewer of Duo Bread was surprising great, I love it. The Enviroment was very good, nice music and good smell, the wooden smell feels very homely. For the staff here they are friendly and giving a good service. Thank you to Kalai, Jeanette, May, Jhon. I had a great and wonderful experience. Thank you once again!"
Great High Tea place and great service,"Love the everything about the place. High tea was super nice and staff are very friendly. May is one of the person who always came to our table to check if we need anything.

Overall, it was great experience and I would love to go back again!"
Excellent service,"We enjoyed the festive afternoon tea very much and received excellent service from Kalai, John, Krish and Theresa!"
Great service by May and Kali,"Kudos to May and Kali. Their service were superb! At first, we got a bar counter seating because all the tables were reserved. Kali saw that our daughter had trouble with the table due to her height, Kali went the extra mile to get us a regular table. Really appreciate and happy with the customer service. Thank you Conrad!"
Afternoon tea,"Awesome afternoon tea with great handmade desserts and savoury treats. Especially loved the cute christmas theme which was specially crafted for this month! Great hospitality from Kalai who was very accomodating and friendly. Awesome service by the staffs May, Jeannette, and Krish as well! Will definitely come back here again for their sweet treats :D"
Festive AfternoonTea,"Friendly Staff ( Kalai , Jeanette , Linda and Kilsh ) . Love the afternoon festive Hi Tea with unlimited coffee and tea refill."
Afternoon Tea in Style,My friends and I had a great time enjoying our afternoon fashionista tea. Thanks to Thet Cho for the great service👌
Pleasant High Tea Experience,"This cozy lounge has left a wonderful impressions! Hospitable and friendly hosts, delicious dishes with beautiful presentation. Service was delightful and very professional. Special thanks to Kalai, Linda, Theresa and Jinnie for such a warm and welcoming dining experience"
Fashionlista high tea set,"Staff are very friendly and accommodating especially to the Kalai team including Jeanette, Krish and Lemuel. I would definitely come again."
Fashionista afternoon tea experience,"Staffs are attentive and friendly, especially to Kalai, Jeanette, Krish and Lemeul. Kalai gave clear intro of the afternoon set and great welcome to us. Totally an awesome experience!"
Wonderful Service.,Excellent recommendation by Mr. kalai for the food and drinks. The service is top of the key. Definitely will come again.
Fashionista Hitea,"Great service from kalai,Kok Boon, Jinnie Krish. Promt service from your staff. My favorites of the hi tea is the lipstick. Good job guys."
Amazing food and service,Kalai made sure we had an amazing afternoon tea here at Conrad! The food was also very delicate and sweet. The atmosphere was quiet with a cozy vibe. I would recommend this for anyone looking for a special afternoon with a loved one.
Awesome high-tea experience,"Celebrated a friend's birthday with the Fashionista high tea. Supposed to be 3.30pm-5.30pm for the 2nd session and was told that there was no extension for the time but we reached late and we sat till 10pm without being chased away. We were chatting, enjoying the food and also the quiet ambience. Staff were very friendly and warm- Kalai, Ian, Krish, Lemeul & May, thanks for the hospitality! I am already planning my next visit. Food was very cute and yummy, really value for money. They remembered it was a birthday celebration & served a complimentary cake for my friend and it was so good! Coffee was sort of free flow, very decent! Tea was refillable . Oh yes, for drivers - they do provide complimentary parking coupon; remember to park at B1 of Millenia Walk. One of the most pleasant high tea experience :) highly recommended for ladies!"
Fashionista high tea,Beautiful high tea set and they taste as good as they look! Friendly and professional service staff - especially Kalai and team!
