topic,review
Don't miss out on the chilli crab!,I make sure I get the world famous chilli crab every time I visit Long Beach Dempsey whenever I'm in Singapore 🥰 (this is my 3rd visit)
"Nice setup, sadly very poor service and mediocre food","I made a booking for 6, but when I arrived they were trying to put us on a table for 4 with the excuse that they gave us an indoor table cause it might rain. My advice to them was do not take bookings when you do not have enough tables. It took 30 minutes for them to sort a new table for us.
And 45 minutes since I arrived before I was given menu or water. The restaurant was very under staffed. Waiters were clearly exhausted and miserable. The managers was trying their best to keep people happy, but you couldn't help dire situation. Everything took much longer than normal and a lot of effort before you actually got it.

Lo hei was too sweet that it was distasteful. The honey squid was also too sweet. And I have sweet tooth. The other dishes were good. Black pepper crab was the best one.

The place is nice, but service was shocking beyond acceptable, so I would not come back.

The manager tried to do service recovery and talk nicely to my daughter, promising ice cream after dinner. The ice cream never arrived."
Bad experience,billing took 30 mins even after I pass my card to the cashier. Crew was impatient while taking order.
Good dinner with one major flaw that almost spoiled the whole experience,"Went to their Dempsey branch after many years. Always liked the quality of food here. Glad to see they turned their ugly concrete deck into a nice covered seating area.

Service was still very good and friendly and they helped us to split a group of 12 into two tables last minute. Also helped choosing right sizes of food with kids and all. No complaints.

Food quality was very good as well. The classic Chili and black pepper crab still got it.

The only thing I got really irritated by and not sure if this was in place before is the outside toilet right next to the restaurant entrance, where people usually queue up to wait for their table. You couldn’t stand there due to an extremely nasty urine smell. Not sure who planned this, but it’s the first thing you noticed coming to this place. It almost kills your appetite completely. It’s disgusting. They need to change that asap."
Great place,"There were many people, and saw many fantastic food. We ate fish soup, crab etc, even durian which was fantastic! It was quite similar than creme brulee, dont miss it!"
Very disorganised,We hired out the restaurant for lunch. They placed name cards on the tables for the vegetarians and vegans (which had been provided in advance) but then failed to cater properly for them. One person was given some raw vegetables as as starter and steam vegetables for the main. Others went without because 'we've run out'. Service was disorganised and haphazard. Very disappointing.
Slow service,"Came at 6 pm on a Saturday. Ordered around 6.15 pm or so, and was made to wait almost 50 mins for food to come. unacceptable."
Excellent food and great service,"Excellent and great meal we had on our late lunch. Friendly staff, excellent service. Thanks for the wonderful afternoon. We will come back again."
Best Dining Experience for this trip,Alfresco dining setup amidst lush nature greenery. Great variety of live seafood to choose from. Delicious seafood dishes. The Irish Duck is also highly recommended. This restaurant is pet friendly as I seen guest dining in with their flurry dogs and I wish I had my baby with me. Pricing is reasonable for the quality of food they serve. The best meal I had for my trip in Singapore!
Avoid this restaurant when you are a visitor let the locals deal with them,By accident I posted the review under east coast seafood Centre and somehow I cannot delete it. But this story is related to long beach restaurant chain (location: Dempsey) Terrible treatment when your not local and they simply try to fool you.
