topic,review
Superb Service,"Very cozy, ambiance is so warm. The food is amazing and service is superb. Thanks to Raymond and Jeff whose assisting us towards our entire dining."
Great Food & Ambiance!,"Food was great! The Mediterranean platter was a good choice for a light meal. Dessert of Poire Belle-Helene was just right! Raymond was very attentive, friendly and accommodating with our requests. Would most certainly recommend to friends!"
Lunch was amazing!,Food was amazing!! Just right amount of salt and flavours were on point. We were seated in a corner but Raymond and Jeffrey were very attentive.
Miss,"Amazing food! And fantastic service from Raymond and Jeffrey! We had the steak which was a perfect medium rare and the shrimp which was flavourful and generously portioned..

I also saw them taking in a large group from a neighbouring restaurant and offering them a place to sit for a drink while they wait-I’ve never seen such neighbourly spirit!

Great job and I’d highly recommend this cute spot!"
Lunch @loulou,"I took the 3 course set meal while my wife ordered the 2 course one. Sensing we want to share the food, the service staff , Raymond & Jeffrey were proactive in providing the necessary cutleries for that. The set meals are good values and nice."
French food for reunion dinner,"Food was amazing, service was really good too. Jeffrey is nice. And they kept the bread coming too !"
Well worth the visit! Highly recommended:)).,"The grilled octopus, prawns and seafood stew is delicious and the restaurant has a nice ambience. Good & friendly service by Raymond & Jeffrey. Will visit again😊."
Brunch with friends.,"Came to Lou Lou for a long overdue catch up with friends. We had the brunch and the free flow mimosa and Prosecco. Excellent service with these duo. Jeffrey and Raymond, thank you. We shall be back!"
A-list Service,"Who would have thought an inadvertent flight delay on a rainy Friday evening would land us the best dining experience in Singapore since moving back.

Thank you for the exceptional hospitality, Jeffrey & Raymond. You have raised the bar on superb service in a competitive industry. We will be back!"
Will definitely come back!,"Food was good - had stuffed calamari, fish and sharing board. Ambience was amazing, service was attentive."
Best experience. Perfect cuisine,This would be the best place to gather with your best friends! The cuisine is super French traditional!!!
Beautiful French fare,"Lou Lou Restaurant, Keong Saik: Gorgeous and miniscule Lou Lou is the sister restaurant of the tres cute Josephine which has 2 levels including a French le jardin outdoor seating. You won’t miss the romantic drapery and seating at the front of the restaurant. The interior is just as pleasing to the eye. It was puzzling why it was empty at lunch time as the food was pretty good. We had the set menu and the stand out dishes are Fregola pasta (the broth was so hearty) and the calamari (so perfectly grilled and tantalising in presentation). We turned the well executed strawberry mille feuille into a birthday cake. When it comes to good looks and elevated tastes, the French got it well patted down. #eatstylishtravelstylish"
Pleasant casual reasonably priced French bistro,"My wife and I had an enjoyable dinner at Loulous. The food had Mediterranean & Spanish influences. We shared the seafood bouillabaisse (signature dish) which was good, although I found a little too salty; and the stuffed cuttlefish with rice. Portions are generous, & prices reasonable. The place has a nice casual vibe, & service is friendly & helpful"
Good Service,"This’s first visit for us,we enjoyed very much Raymond & Jeffrey wonderful service and Good knowledge Thank you very much we will be back 🥰🥰🥰"
Great lunch!,"The vibe was great, Raymond did an amazing job taking care of us (thank you!!) and we really enjoyed our lunch with our wines! Would most definitely like to come back again (esp for the lobster! 🦞)"
Bday treat,"Served by Raymond and he was helpful and amazing! The wine by glass list was interesting and definitely great for ppl who is looking for a place to just dine and chill! Food wise, not too keen on the sauce but gf really liked the lobster and asparagus!"
"Great food, awesome service","The food and service was great, especially the truffle risotto. Our host Raymond was super friendly. Will visit again!"
"Loved the food , ambience , service !!","We just loved everything about Lou Lou ! The wine , the food was just absolutely divine.The menu is very extensive and everything is great. We loved Jeff , he was just lovely and very helpful. Looking forward to our next visit"
Birthday Dinner,"Celebrated sister’s birthday here. Food is all high quality and delicious. It’s rare that one can say that every single dish we ordered was a win, but Loulou absolutely fulfilled that."
Nice place to have a nice dinner,Nice French cuisine Great atmosphere Great vibe Good service Nice to stop by Recommended dish: Grill dish
Impromptu dinner,"Raymond and Jeffrey at Loulou was warm, welcoming and so friendly. Service was top notched. All the grilled dishes were delicious, Will definitely be back! Thank you guys for a fantastic night out!"
Loulou - good food and excellent service,Look for Raymond / Jeffrey they’ll give you VIP service and authentic southern french cuisine. Very good especially the steak and the shrimps + potato mash.
As good as in the best restaurants in France,Fantastic French cuisine. As good as in the best restaurants in France. We were in Singapore just for 3 days and decided to come back for the 2nd time to Loulou because we liked it so much. Service is very good too. Highly recommended.
Best Bday Dinner,Had an amazing dinner. Everything did not disappoint from starters to dessert! My fam and i truly enjoyed ourselves and was well taken care of in the hands of Raymond and Jeffrey.
A refreshing and amazing experience!,"Came to LouLou with my family to celebrate my sister’s birthday. Raymond and Jeffrey are pros! only two of them taking care of a full restaurant yet making sure all of us are happy. the food is amazing (loved every dish), vibes and interior are immaculate and the view of the kitchen is my favourite. it feels like i’m in a beautiful home.

would definitely return with my friends!

thank you once again Raymond and Jeffrey for taking care of us and making sure we had a great celebration.

dishes we had:
scallop carpaccio
burata kalamata
beef tartare bone marrow
grilled octopus
pastis lambeed prawns
grilled lamb
ribeye steak
souffle
molten cookie

chef’s kiss."
Superb food and service,"Four of us booked New Year's Day lunch. Inside can get a bit noisy so we chose the outside table with sofa seating. Very comfortable under the fan and nicely shaded from the sun.
It was our first time here and thanks to Jeff, our restaurant host, who handled the reservation and made sure everything was spot on during the lunch.
The food is excellent and well priced. Same for the free-flow drinks packages.
We started off with the ample sharing platter -- cold cuts, dips, lots of bread and other extras, then had mains including fish and prawn skewers and stuffed aubergine. Then we moved on to dessert.
We really enjoyed Loulou, from the service and the food to the reasonable price. I highly recommend the restaurant. Handy location in the centre of town along Keong Saik Road, too. Looking forward to returning."
Great service and awesome food,"The best services! Thanks to Jeff,Ray, Eriq for making us feel like home! Definitely recommend and coming back for sure! Highly recommended! The food was amazing too!!!"
Great restaurant!,"Risotto is very delicious! The staff are friendly too. Thank you for your kind service! Ray, Jeff, Eriq!"
Excellent service and food,"Excellent service, staff were very friendly and food were amazing. Would recommend this place to anyone"
Great Ambience and customer service,Lovely staff who are always hyping us up and looking out if we need assistance. Will definitely come back
Great food!,"Had the truffle risotto and it was amazing! The staffs are great! Jeff, ray and eriq had great vibes!"
First Visit,"This was the conclusion to our Christmas/New Year's culinary events.
Luckily ending on a high note. Although we were expecting Lunch it turned out to be Brunch menu, many of the mains were from the charcoal grill, which we had actually cancelled Josephine's due to that fact! I was also disappointed there was a lack of true French classic dishes.
However we had Gaspacho (Spanish) for starters which was delicious! fresh with great taste and texture including a few twists to the original that were inspired.
We then had the monkfish kebab which was excellent and again took me to Spain!
So a more accurate description would have been Mediterrean or Catalan cooking.
Throughout the service was excellent, and very engaging. Quite and some excellent French music at a good level.
the final desserts were huge, a beautiful new Year's eve chestnut puree creation and a Sundae which I should not eat but was totally out of this world, reminded me of America. Although our first experience at this relatively new restaurant, it certainly won't be our last!"
New Year Brunch,"The food is absolutely lovely, great experience with friendly staff recommended by Raymond
Great job to Jeffrey and Eric,awesome food,thank you for the Chefs making a great food,I will highly recommend it to my friends and colleagues,and definitely come more to this place,happy new year"
New Year’s eve dinner,"Great Service by 3 wonderful men (Ray/Jeff/Eriq) and Yummy Delicious food!!!
Ray brought us the menu and gave us great recommendations.
Jeff was simply wonderful who gave us special kind services and treatments.
Eriq was very thoughtful and observant and brought us cutlery that we needed without request.
see ya all soon!!"
Excellent service and food,"Really enjoyed the food (ordered the stuffed calamari, pasta, French seafood stew, Mille feuille) The service was excellent as well (served by Ray and Jeff), will definitely revisit!"
Good food good ambience,The service is great by Raymond. The food is good too! They have free flow during brunch time too!!!
Xmas dinner,Raymond and Jeff were very hospitable and gave great recommendations for food. My friends and I went home with happy stomachs
Christmas Lunch,"Delicious French food, nice ambience and great service. The Filipino Crew were very accommodating. Will definitely come back again."
Christmas Get Together,"Nice and cozy Ambiance, Good service, Friendly and accomodating Staff (Ray & Jeff) :) the lemon meringue is the best"
review,"love the food and environment! service was great, but we were located at the corner, might be a little hard to notice, but overall was satisfied with everything. Will come back again 😊"
great!,lovely evening with nice ambiance. food was good and service was great! special thanks to raymond and jeff.
Highly recommended,"Excellent food (real French food) and wine at a decent price given the quality, great service (attentive and nice), location is nice as well(we were on the tables outdoor). Highly recommended! Thanks to Raymond and his team!"
Fantastic food and great service,"Santos really looked after us, we had a great time with good food and company. This is a great place to hang out on a lazy Sunday afternoon, relaxed and unpretentious. Highly recommended."
Simply the perfect place to chill and enjoy great food,"Delicious food, super nice staff, great music and wonderful atmosphere. We went 2 times, for a brunch and a dinner. The best restaurant so far in Singapore to taste French Mediterranean food. All was perfect from spritzers to deserts. Not to miss under any circumstances: the chorizo sandwich, the fregola pasta, the mongkfish and the lemon tart!
Rare in Singapore to have a perfect mix between great tasty food and excellent service !
Oh, and I almost forgot, the Frozé cocktail is divine !!!"
Excellent service great food!,"Amazing service, friendly staff and owner, such a wonderful place and experience. Definitely keen to become a regular!"
Wonderful birthday dinner,"We celebrated my wife's birthday at LouLou while visiting Singapore. We were met by Santos who also took our reservation the day before. Wow - what a great and attentive service. Both Santos and Sheila were outstanding and took great care of our table, the bday girl and our friends. Food was delicious and nicely presented. We totally enjoyed our evening, the food and the service. It was pretty packed on Thursday night but still the service was always attentive and personal. I can highly recommend LouLou and will try to squeeze in another visit during our short stay in Singapore if time permits."
Enjoyable food and experience,"Pretty decorations and lovely ambience. For starters - we ordered Pâté en Croûte (pate was good with the puff pastry coating), South West Duck Rillettes (duck meat was generous. I matched this with bread.), Sobrasada croquettes (love this! The croquettes and the sauce match very well too.) and Iberico Ham & Melon (nice and interesting match). For mains - we ordered Fregola Pasta (overall flavourful. The bisque broth was rich with lobster/prawn taste and the prawns were fresh. However it gets gelat after 3/4 of the dish. ) and Grilled Pork Secreto (this is super good! The pork was nicely charred and meat is soaked with flavour). Desert of the day was Mocha cake and it was so good! It was rich and moist. The decorated cookies that came with it was delicious too.

Would like to shout out to Chef Watson for his amazing culinary skills and all of the dishes were delicious. He was very friendly and patient when we asked him about the ingredients in the dishes. Manager Santos and waitress Sheila were attentive and always smiling.

Overall we had a very happy and pleasant experience! Would definitely visit again!"
Birthday lunch celebration,"Had a wonderful lunch celebration at Loulou. Kudos to the wonderful staff of the restaurant and special thanks to Sheila, Santos and Chef Watson."
Great place,"Excellent, cosy. Good service. I took grilled octopus ! Very tasty. Very good place for a friend dinner with friends, or romantic couple dinner. Well located, there are quality bar / cocktails bar around. Looking forward to come back."
Great service!,"Amazing service, Jeff very friendly and treated us very well. Food is splendid and great ambiance, will highly recommend it!"
Awesome service - Look for Raymond,We arrived as walkins abit early. And Raymond was super accomadatinf and took care of us all the way. Super attentive and kind with always topping up our drinks. Smiley and amazing service. Can’t wait to come back.
Personalized service,"A very cosy experiece. Nice ambience, nice decor ... love the plants in ladles. The servers are attentive and courteous. Bread pudding was outstanding."
You gotta be here,"I’ve been here four times and I really can’t enough of their exceptional cuisine true to the French theme of simplicity yet fresh ingredients make a huge difference.

My favorite is the Beef tartare with bone marrow and the sea bass.

And the staff are just awesome. Raymond and Jeff you guys rock!"
Great chill place!,Came here to celebrate a friend’s bday. Nice cosy ambience. The food is good and the staff is prompt and attentive! Great place to chill and catch up with friends.
Great food and ambiance,Great food and ambiance. Seafood was fresh. We had scallops. Amazing service from Raymond and Jeff. Will come back.
Very nice french restaurant,"Besides the cute name of the restaurant, we really enjoyed our time: the food was good and generous, and so were the cocktails.
Special mention to the excellent service, really: Ray and Jeff were very friendly and attentive, but not invasive at all. We'll come back for sure"
A good stop for Desserts!,"Dined for only desserts & teas and we’re glad that we did! We had the souffle & mille feuille, and it was so amazing! These desserts are a must try! Kudos to Raymond for giving a good service & food recommendation as well! We’ll definitely be back again."
Awesome Brunch,"Went for Saturday brunch to celebrate a friend’s birthday. Their free flow of Mimosa and Prosecco are value for money. Enjoyed their sharing boards, truffle risotto, the burrata, loulou sundae as well as various charcoal grilled. Fantastic service and food recommendations from Jeff Ray. We had a great time of celebration at Loulou."
Charming French bistro,"Celebrated my niece’s birthday at Loulou . On learning it was my niece’s birthday Ramon and his wonderful colleagues put in a lot of effort in making the dinner an happy occasion. They ensured she is happy with the special table they had reserved for her and without hesitation changed it for us when we preferred to be seated inside . The birthday cake was presented by him and his staff with a cherry happy birthday song . What a group of charming and warm people .
Loving this charming bistro. Food is very good too - the Large Mediterranean Board that comes with homemade aioli, anchoiade, eggplant caviar, Iberico ham,comte cheese, marinated goat cheese, crudités servedwith warm French baguette. The creamy Duck Rillettes and smoky Pastis Flambéd Prawn are delicious too. Only gripe is the steak does not come with French fries ."
Wonderful dinner,"Great food! Excellent service from Ray/Jeff/Sheila! Thank you We had ham with melon, grill scallops, pastis prawns and bouillabaisse"
Amazing lunch,Amazing food... Especially the prawns.. And the service was amazing.. Both Jeff and Raymond were amazing at looking after us.. Highly recommended
A nice hangout for wine and good food,"It was a busy night at lou lou but service staff was attentive and prompt.

Wine selection is good. Food options are wide too.

We had the platter board. Grilled Lamb. Fish skiwer and lobster.

Save room for dessert.

Overall a great experience. Price is mid range to high but its worth it."
Amazing brunch !!!,"Went there for the weekend brunch, the whole experience is amazing, food is the best I’ve had in a long time and the portions are really generous, the restaurant is beautiful, not to mention great brunch flee flow offers !! Thank you!! Me and my friends will definitely be back"
Fantastic night spent !!,Fantastic live music.. just a soloist with his guitar but make wonders. Definitely njoyed the music and the ambience. Perfect for a little gals night. Thanks Raymond for the excellent service. He is attentive and friendly all night long. Will be back soon !!
"Amazing, must visit!","We were looked after beautifully by the team at Lou Lou’s. They were attentive but not intrusive, helpful with the menu, and offered delicious pairings during dinner. The steak was incredible and we really loved sitting having a drink watching the comings and goings of the street. Thank you for looking after us so well, you made our weekend."
My new favourite place in town,"I dont know where yo start but this became very fast my new favourite place to hang out.
Best place for a nice chablis.
And what to say about the pâté en croûte OMG.
Super nice team also
The desserts were out of this world.
And also on that day there was a super nice ambiance with a live musician. Apparently it’s every Wednesday
Will definitely recommand."
