topic,review
Maybe Our Expectations were too High,"Had gone with a friend for dinner. What we liked was the nice cosy interiors. The staff especially Rose was welcoming and attending to her guests with a smile

What could have been better could have been the food. The presentation needs improvement and the agilo olio seemed too oily and the burrata just average . the bread which accompanied the soup was excellent"
Hidden gem,We found out that Lucca was originally at Robertson Walk and relocated here in the heartlands of Tiong Bahru. Just love the whole vibe in this restaurant and the service is top notch. Their truffle fries is amazing but the portion is quite huge so need to have 3 pax or more to finish it...
Authentic Ambience & Food,"Feels like being in Italy. We had a table for 8, a special 5 course wine dinner. Wines were supplied by Tenuta Fanti. Started with delicious chicken liver pate with crostini and meat-filled tordelli. Two mains were outstanding- pistachio crusted lamb rack and US grain fed ribeye. Last but not least, the chocolate cake. Price per person -S$128++"
Dinner at LucasTrattoria,I ordered whatever Bianca recommendedm Great with my bottle of wine! Service & food was great! Look forward to come with friends again.
"Good Food, GREAT Service!","Good Food, GREAT Service!
● Date of visit: 6 September, 2022
● Meal: Late Lunch, first time visit
● No. of Diners: 2
● Total Bill: SGD 139.50

Food ordered:
○ Starters — Caprese Con Mozzarella Di Bufala; Parmigiana Melanzane; Bruschetta
○ Pasta — Polpo Alla Griglia x 2 (but one with an additional side of shrimp)
○ Drinks: None.

All the dishes we sampled were well executed. The starters, tho' not particularly extraordinary, were definitely flavorful and made from good quality ingredients — just about what one may reasonably expect from any ""good"" Italian restaurant.

But we definitely enjoyed our pasta! The pasta delivered on taste & visual pleasure — perfectly al dente spaghetti, beautifully coated with the unctuous richness of a generous amount of squid ink, and perfectly balanced by the uplifting zest of the juice from the charred lemon wedge. Yummmm!

(Tho', for those who prefer more protein in the dish to offset such a delectable carb-overload, you will do well to order an additional side of perfectly done shrimp to compliment the slices of polpo!)

But the true stand out of our entire meal? — for us, it was the truly gracious service we received from Bianca that really elevated our dining experience at Lucca's! What a beautiful, warm, open-hearted person she is — her infectious smile & affable personality is the sort of ""special ingredient"" that no kitchen can ever cook up, and which can magically enhance one's dining experience with the kind of delight that's also capable of feeding your heart!

Thank you, Bianca — besides the fine food, your service is what will ensure us continuing to return to dine at Lucca's Trattoria!

(Same review posted on Google Reviews)"
Great Food & Services,First time at Luccas on a Sunday evening thinking of having a light food and some cocktail for refreshment.. food was splendid and surprisingly our cocktails was the best we had throughout the night.. Good work done by the lady mixologist that we had a few glasses of Martini… planning to come back for more cocktails
Off the beaten Treck,"We went there for dinner 5 days ago. Everything was very good. Starting with the restaurant itself. It is very nicely decorated with an Italian flair - as you would expect. They even took measures to keep the noise level low by placing decorative items on strategic places. As a result you can have a normal conversation even when the place if busy. This is something we appreciate very much.

The food - the most important thing - was very good. Very tasty with just the right amount of spices, cooked to perfection and just the right portion size. Ok, we did not try the entire menu, but I am sure the rest of the dishes are just as good.

Last but not least I have to mention the service: A customer service other places can learn from. Very attentive yet never in your face. Just the perfect balance.

Next time we come to Singapore, Lucca's Trattoria will be on our to-do-list."
Nice Italian restaurant in Tiong Bahru,"Restaurant just moved from
Robertson Quay to Tiong Bahru. It is bigger & looks newer. The house wine Pasqua Sangiovese Puglia IGT 2020 went well with cheese board. The pizzas were not bad too. It is a good deal as we used the Entertainer to enjoy the 1 for 1 offer."
Marvellous dinner with great service!,"Steak was great and cooked to perfection. Overall service was great and professional, all thanks to Rose! Cheers! 🥰"
Thanks for hosting us Rose,"Place is very convenient. located very near to Fort Canning MRT. I rang up the restaurant to reserve for 10 people. Conversation with the person answering the call was easy. No english language hiccups because I had to explain few things before making a reservation.
I think the person’s name is Rose. We were taken care and given enough time and space.
We finished our lunch in 2 hours and in good company."
Best in town pizza,Excellent services.very warm and friendly crew.Three thumbs up for Miss Rose and William (crew).you guys made our night very special. Thank you for the excellent job .food and wine was just awesome!👍👌❤️
Great service and delicious food,"The food was served fast and tasted good. Staff were also quite friendly, would definitely visit again."
Good choice for meal!,"Was a pleasantly surprised choice.. we were going for a show at nearby theatre and accidentally wandered into this restaurant. Friendly and professional waiters Raymond, Rose and George quickly settled and served us.. with their recommendations, the food were served very fast. Ordered bruschetta, calamari, homemade pasta and risotto. Very delicious food, although slightly on the steeper end. The ambience, service and standard of food still made it worthwhile! Will come back again soon."
Great pasta !!,"ended up here just in time after arriving in Singapore. Did not realize early closing times, so got great and quick help at Lucca's.
Bruschetta and Pasta Coniglio (apparently shot locally). Was a great taste with a nice italian wine on the side. Made it back to the hotel just in time."
Tasty Authentic Italian food,Food was delicious and services is great. Location is also good easily accessible by public transport. Kudos to Rose for great service.. We would definitely comeback
Yummy Italian food,"Our first time here - love how hearty, rustic and fresh the food is. Our 5 year-old loves the calamari here. Made us miss Italy."
Amazing experience at Lucca,"My friends celebrated my belated birthday at Lucca. The service was excellent and the margherita pizza is so nice that I even ordered for take away! We were told that the pistachio ice cream was sold out but the next moment the service staff told us that the chef is making a fresh batch and if we can wait, it can be ready soon. We were so touched by their attentiveness and service! Thank u for making this belated birthday celebration unforgettable."
ENJOYABLE DINNER,"Delicious food (though the cappucino and tiramisu were a bit lacking, to be honest). Good and friendly service. Special shout-out to Rose Anne for her very cheerful disposition. Will certainly come back."
