topic,review
Best serve from George the waiter! Someone that cares about the service and the customer!,Best serve from George l. What a great food and the serve was simply outstanding! Cozy place and a place to come!
Close to authentic to mexican/american food,Busy place with excellent food and friendly staff. Good selection of beers. Outside seating is preferred.
Great food and service!,"Thank you to the lovely staff and Aisyah the hostess. Wonderful service! Food and drinks were good too.

Had the chicken quesadilla and it was perfect paired with the frozen margarita. Staff were always attentive."
Yummy Mexican Food,"We had the chicken chimichanga and fish tacos with corn chips as sides. Food was yummy, even though a little pricey. Really enjoyed the nice ambiance!"
"Excellent Food, Average Service","The food here was delicious and service was average. We tasted the menu and recommend the elotes, pumpkin enchiladas, churros, and a glass of the sauvignon blanc. Personally, we’d pass on ordering the mixta salad and guacamole in the future."
Amazing Evening,"Great atmosphere, good food, super drinks and fantastic service. Ask for George Chacko get him to recommend the dishes and then just relax and enjoy the evening."
Sad burrito,"Ordered fried buttermilk chicken burrito and it was one of the worst burritos I’ve ever had. Chicken was dry and not crispy at all, no hint of serrano Mayo and a very bitter-tasting and soggy greens was used inside. Barely any hint of cheese. It is a sad tribute to the cuisine. I knew it’s going to be an unusual burrito (no beans, rice) but yet this seemed too skimpy for one and a real challenge to consume. Only saving grace was an attentive waitress who saw my agony and asked if the meal was alright."
"Tasty food, great service and great drinks, what more do you want?","Food was excellent, wide ranges of choices and all very tasty. Got recommendations from George throughout (who was excellent), and each one was better than the next. Highly recommend Lucha Loco for those looking for a fun atmosphere, with good drinks and tasty food. Highly recommend the Waygu & Crab tostados!!"
Yummy!,"the lamb taco was so good, it is a must get. The staff were very friendly too! Will definitely go back again"
Excellent food & service,I’ve chosen Lucha Luco many times for catch up meetings & treats to various groups of friends & colleagues and each time the standards have been maintained with absolutely yummy food and awesome service and totally chill atmosphere.
Overall a good experience!,"Had a very pleasant dinner at Lucia Loco. We had good food, ambience was great and the service was good. Unfortunately, we felt a bit rush towards the end, mainly because of the 90mins dine in duration. Overall had a good time"
Love Taco Tuesday at Lucha Loco Duxton Hill,Taco Tuesday in the garden patio was lovely. Such great service from staff and delicious food. Will definitely be back soon.
Great first visit,"Drinks - Ample of choices however happy hour prices are pretty poor compared to a lot of places , margaritas were 6/10 . Quite a selection of choices

Meals - Did not order but plenty choices ( vegans, v vegetarian, GF)
from appetizers to main courses.

Ambience - 9/10 Romantic and cosy. Lack the one star for cleanliness wise."
Great service...,"It was a packed Friday evening but the service crew were superb ... attentive, friendly, food drinks came fast... one of best service have had at a casual joint in Spore.."
