topic,review
Rude manager,The vibe is nice but the manager named Angello is really rude to the Asian customers. The food is so-so better at somewhere else
Birthday dining@Monti,"Wonderful environment, world class staff, excellent food, reasonable price. My wife and I enjoyed ourselves and the staff also helped to take pictures to help us remember the evening."
Monti christmas brunch,"As a whole my first dining experience at Monti was out of this world. For this visit I dined with my family and as a collective we felt what stood out was the food offered for the occasion.

For the items offered at the live stations, I tried all 3 items: the roasted lamb, cheese wheel truffle risotto and last but not least the salmon coulibac. All 3 items were prepared with very fresh, high quality ingredients and were piping hot when I received my portions.

As for the items on the menu. I tried most of the mains and all of the deserts. The quality again was outstanding. What stood out to me was how in all of the dishes I tried, all of them were very very well balanced. The acidity, sweetness/saltiness and other elements were just right and it was very clear to me that a lot of thought and care was put into developing these dishes.

As a whole I highly recommend Monti as I am a diner that rarely frequents Italian restaurants, the food here is fantastic and I would definitely return here for special occasions."
Monti Christmas Italian Brunch by the Bay,"I was invited by a very close friend to attend the Monti Christmas Brunch by the Bay with my family

It's was our 1st time dinning at the restaurant, we were very impressed by the service standards the staff provided and of course not forgetting the delicious dishes the chef created.

We will definitely go back to Monti again."
XMAS Brunch 25th Dec 2022,The roast lamb was anazing with the roasted garlic and brussel sprouts. Overall experience throughout the Brunch i cluding service is worth a revisit. Good job👍Matthew and his team.
Business Dinner,Very bad service; food has deteriorated significantly; waiting time was too slow; super expensive; place is not well kept; bottom line - we were all very disappointed
Wedding at monti,Great place to have wedding though it's quite expensive at $250 per pax 🤣 recommended place and food is good
The Best Italian restaurant,"Iconic spot for a wonderful night. The atmosphere and view is amazing. Six stars for the food and service! the pasta and steak was top notch, one of the best that we ever had. Highly recommended!!! Special thanks to Chef Felix and his A team, we really enjoyed the night. One of the best Italian restaurants in Singapore. Definitely one of our fav restaurants."
"Amazing food, ambience service and view",Sighted this interesting looking restaurant while visiting the Merlion Park and decided to walk in to see if a table was available even though we didn't have any reservations. We were informed that the restaurant was full for the night but when I mentioned I wanted to celebrate my wife's birthday over dinner the lady at the concierge was extremely helpful and somehow arranged a table with an outdoor view for us. The service was great and the food was top quality and as expected from a fine dining restaurant. Overall it was an extremely good experience and would definitely recommend this place to people looking for a good overall experience of fine Italian cuisine.
Gamey Steak,"This was more a 3.5 / 5 thumb experience. It’s been awhile since I last came here. The reception was excellent and service ok. Ambience was cosy and respectable. Food presentation was good but I felt the steak although cooked well was “gamely” in taste. Having said that I am not sure if it’s the source issue as strangely I have experienced this at a few other well established restaurants serving Australian wagyu and other steaks (dare I say I will be avoiding Australian steaks for a while).

All in an ok experience with a nice view of the Marina Bay."
