topic,review
South Indian Vegetarian 🌱,"The food is top notch. The flavour n aroma of the dishes are authentic. Recommend others to go on weekday and do a take away. Had a meal on weekend and it was overwhelming crowded and long queue. After having our table, it seems like all the service staff was waiting for us to finish our food so that the next patron could seat. It’s that popular. If you don t fancy that kind of stress it is best to do a takeaway but yes will come here again and again. Luv the food."
Superb south indian delicacies,"Not as good as the one in Bangalore, of course, but overall excellent food. Had rava idli, poori saagu, pudi Idli, Masala dosa and coffee. Loved it."
Utterly overrated,"I just don't understand why this place is so popular. I'm a big fan of South Indian food and of about 70 different places in Singapore (mainly in Little India) over the years where I have had some combination of idlis, dosais, and vadai, I would rank this one at about #50.
I had idlis and vadai this morning.
The sambar was like something you'd make by just adding water to a sambar mix and heating it up - very grainy, and a really rough, and not particularly pleasant, taste. The green chutney was OK, although quite bland. The idlis themselves were OK, not great - probably the most acceptable part of the meal. The vadai were really fresh but Oh my God, so, so greasy.
It wasn't the worst experience of my life. But, the pricing was full, and, come on guys, this place does not rate."
Nice and authentic Indian Taste,"Much needed in Singapore. Do visit if you want authentic Bangalore taste. Staff are courteous, do visit during weekend, though busy, good food."
Our second visit and still delicious,We came to MTR on our last trip to Singapore a few years ago and decided to visit again this time... we were not disappointed! The food is still delicious and the staff is very friendly. A must!
MTR is a Tourist Trap - Very high Prices - Prices Double of other South Indian Cuisine places in Little India Market,"Tourist trap ! High prices, poor service, poor taste !!! Just ripping off the MTR brand !

BEWARE - The MTR restaurant MENU does not have prices listed and you get the prices only when the bill comes

stay away and better visit the other dozens of authentic chef run, specialist, food made with LOVE and SKILLs - South Indian places in Little India"
Phenomenal food,"Incredible and authentic South Indian food! Their dosas were incredible, the idlis were soft steamy and absolutely delicious. And lovely mango Lassi!"
Best Indian Vegetarian food in Singapore!,"I have stopped visiting my favourite restaurants since a friend recommended MTR. This restaurant along Serangoon Road serves the tastiest, most mouth watering and addictive vegetarian food in Singapore. The pudi masala dosa is light, fluffy and crispy. The maddur vadai is fragrant with fennel and other spices. Lovely as a snack! My friend loved the rava idly. The variety is astounding. It is also great that they have descriptions of what they offer on a screen so non-Indians can learn about the cuisine and difference between neer and ragi dosa. Everything I have tried is delicious!"
Very average fare,"The quality has really gone downhill. While standard items like rava idli, kaara bath are as expected, the kesari bath, masala dosa and neer dosa were disappointing and the coffee was downright terrible. The standards of cleanliness and service have also deteriorated compared to my last visit 3 years back. There are far superior vegetarian restaurants like Nalan just up the street."
Loved the Dosa and Dessert,We went to this place for the first time and loved the crispy dosa and the Indian dessert. Excellent place for good Indian meal. Reasonable price.
