topic,review
Perfect place for a great feast…the food choice along with the way it’s prepared is too good… a must visit place,Definitely worth visiting…. The cuisine is just great ….staff is good … Swiss rosti is a must have ….cooking is all fresh with the perfect ambience
Love Marche,"One of my favorite place, nice and quality food, excellent service. The mushroom soup and bread is a must try. The grilled meat is awesome. They are very generous with the grilled mushrooms. Love the ambience and the very Swiss style dinning experience. Good gatherings place for family and friends."
Excellent roesti and ice cream,"We had a wonderful lunch here! The roestis were some of the best we've ever had. Other food was great also. But, special mention to the incredibly delicious chocolate ice cream!!!"
Great experience,"Outstanding food, so many different kinds of food to try, great for vegetarians and vegans, would definitely recommend and come back"
Great dining concept,"The family calls Marche a upmarket Swiss food court in Singapore. In fact, the concept is similar to our personal experience in Switzerland.

It’s convenient walking around with one card, staring at all the awesome looking dishes, especially the live cooking stations.

I would say the quality of the ingredients are good and offers singaporean a unique dining concept.

Well designed interior making the entire dining experience a cosy one. Food was tasty as well."
Poor food if you get it from rude staff,"Called in for food and drinks 4pm Sunday
Not busy, many free tables.
1 order of chicken pizza
1 order for half chicken
Pizza bland and lacking flavour
After waiting for 25 mins went to ask where order of chicken was. Staff very rude. Said I hadn’t ordered with them! Why had they given me an order buzzer then!!!
Check out staff gave apology but not the rude service station staff.
Won’t be going back in a hurry.
Poor experience."
"Food was decent, service was horrible","Understand that it was Christmas eve and a busy day for the restaurant, but the service was honestly appalling.

First (and the WORST) bad experience: waitress holding a tray wanted to walk but we were unknowingly blocking her way. Instead of saying excuse me politely, she decided to use the tray she was holding to push and poke me in the back until I stepped aside and turned around. And even then, she walked past without even saying sorry or looking at us.

Second bad experience: waiter wanted to walk past awhile after the first waitress pushed her way through, he raised his voice at us saying EXCUSE ME before walking past.

Third bad experience: wanted to order pasta and stood at the counter (there were no other customers at the station) but was not acknowledged even though the chef was right in front of us. Chef was cooking some stuff before walking away to get more ingredients, leaving us there without acknowledging or even looking at us. After a good 5 minutes of standing there, he finally told us to give him a moment. Could have at least acknowledged our presence and tell us to give him a moment, I’m sure it doesn’t take long to tell us that.

For a service line, that is simply rude and unacceptable. Decided not to make a fuss at the restaurant since it is a festive holiday. Hope to see an improvement."
For Rosti 👍🏻,Always a good idea to dine here. And Rosti with a large scoop of sour cream is our favourite of the lot. We also a few more. But the mashed potatoes with beef steak didn’t taste like mashed potatoes. It was like some potatoes were unevenly hand crushed was served. Lacked the texture and the taste. Service is fine.
Great service,"Great service by all staff from entrance till i leave,especially Ms Suay Han,very genuine service from heart.She also helped by explainng drinks menu at bar,polite and cheerful."
Could have been PERFECT,"1. The entrance Hostess could do better if she explains properly.
2. The Cooks were fantastic and the food was good. Kudos to the Aunties behind the counters!
3. Cashier needs to be more pleasant considering the fact that she is working in a restaurant.
4. Filipino Staffs always acting busy and never there when you need them.

Finally, special thanks to the Chinese waitress for her excellent service."
