topic,review
Wonderful experience,Had a wonderful experience at Masizzim last week. Had the bulgogi and their beef stew. The stew was absolutely filled with flavors and I couldn't help but had to get a second portion of it. Ambience and service was really good as well!
Dining at Masizzim,"Have ordered the pork rib stew to go along with the Bimbimbap for a lunch meetup with my friend. The pork rib portions were really generous and the meat was fresh
and succulent. Had a really full and nutritious meal there as the broth was rich and spicy. Definitely a good place for a quick lunch meetup with friends. 10/10 :)"
delicious egg roll,"had a lovely dining experience at masizzim, the beef stew went well with the rice and the kimchi egg roll was very fluffy and the egg and kimchi were paired well together. amazing experience, would visit again"
Dining at Masizzim,"Easily a 9/10. Purchased the Daebak Bundle for 29.90, with beef stew and toppoki add on for $2 each. Food portions are generous for the price! Needless to say, the food is delicious and has left me craving for more."
good food cosy atmosphere,"had a lovely dining experience at masizzim last week! ordered the beef stew, which came with plenty of meat and other ingredients. my only regret is that I did not get it with rice, which would have gone so well with the soup :-("
Yummy in my tummy,"Delicious meal with a wide variety of choices. Ordered a few dishes to try out the variety, and enjoyed it 👍🏽 wish there were more side dishes for a more authentic experience!"
Egg Rollsssss,Was a very good meal with great dishes. Loved the egg roll! 👍🏽👍🏽 Would be perfect if there were more side dishes tho! Overall still a great meal 👍🏽
Generous portion!,"The service was prompt and efficient, and the food ordered ( main dishes as egg with kimchi and bacon as well as beef stew ) was pretty good as well. The egg was fluffy and so delicious! Ended the dinner with dessert, it was a jelly base with various toppings that were quite light and refreshing to have. Thumbs up for the cute container as well!!"
Delicious Korean Fare,"We ordered an array of dishes that left us extremely satisfied, and the highlights of the meal were definitely the crabmeat rice balls and the pork rib stew! The rice balls were full of umami saltiness. The pork ribs were so deliciously tender and was elevated by the rich and slightly spicy broth. Be sure to pair the stew with a bowl of rice!"
Great tasting korean food with nice decor,"Had a wonderful dinner here a few nights back. Ordered their kimchi fried rice alongside spicy pork and both dishes tasted great together! Food was slightly on the pricier side but the food, lighting and decor made it a pleasant experience."
Great service and delicious food!,"Service was great, loved their spicy pork dish (wasn’t too spicy). The squid and leek pancake was really crispy and the dipping sauce really brought out the flavours of the dish!"
Enjoyable meal !,"I love Korean food and always enjoy a good recommendation. I went to Masizzim @ 313 Somerset for dinner. The spicy pork ribs was the star and we literally scraped the bottom of the bowl. The gravy went well with the crab meat rice balls .
We also ordered the beef soup and steamed egg which were also tasty but my vote is the spicy pork ! I’ll be back !"
good option for korean food!,"ordered a few items and enjoyed most of it! my favourite is the crabmeat egg roll which they were generous with their crabmeat! the egg was soft and fluffy, well seasoned (not salty) which allowed the natural sweetness of the crab meat to come through!!!

special mentions would be the corn pancake and the crabmeat & roe rice ball (yea i love crab, would get crab pancake if they had it on their menu)

corn pancake had a nice crisp, was thick enough and the sour cream went super well with it! recommended to share amongst 3-4 pax so to not over eat (if it's a side dish). if you're eating it as a main then...it's good to share with 1 other person.

crabmeat & roe riceball was fun to ball it up!! love the kick of the chilli padi that accentuated the whole combination of the ingredients.

all in all, pleasant experience!"
A filling and hearty meal,"My favourite was the corn pancake — it was so crispy and flavourful! The soy pork rib stew was slightly too salty but generous in size. Crabmeat egg roll was delicious, but the crabmeat & roe riceball felt quite mediocre."
AWESOME FANTASTIC AND FABULOUS,i feel that the atmosphere is feeling good and make me happy and i would come back here again with more of my friends and family members and i would brong my kooreans friends here not even korean friend i would bring japan thailand or even malaysian friends
good meal!,"was treated to a good meal at Masizzim! ordered the highly-raved rice balls with crab meat, steamed egg with cheese, beef stew and the kimchi fried rice — everything was incredibly delicious & pleasant! would highly recommend to those looking for authentic korean food"
satisfying meal !,"had a really great meal at masizzim! kimchi fried rice was yummy and the beef stew was hearty w fork tender beef pieces. egg with cheese was simple and light. especially loved the crab and prawn roe rice balls, which we got the opportunity to roll them ourselves. would come back agn!"
recommended,ate 3 dishes and the crabmeat riceball was the most delicious! do try it out :-) overall the food also came really quickly and waiting time to enter the restaurant was acceptable. no complains!
belly filled,"We ordered the crabmeat riceball, chicken stew as well as the bacon kimchi egg roll. Amongst which, we were most impressed by the crabmeat riceball - especially the subtle yet intense kick induced by the chilli padi in it! However, the egg roll could be improved as it was quite dense."
Amazing dining experience!,"This place is my new favourite! High quality and affordable Korean eats! It’s my first time trying Korean rice balls and it was an amazing first try here at Masizzim!! I had the crabmeat and roe rice balls, spicy pork rice balls, tomato cheese kimchi pancake (a definite must-try, it tasted like kimchi pizza!), spicy squid and kimchi soup! Everything was beyond my expectations… Will definitely be back again!"
Hearty Korean Food!,"Went there after work and it's a cosy spot, great for catching up and hearty food. We got the pork ribs stew, egg roll, rice balls and some honey ginger tea. Filling and tasty:) great service too."
Good Korean food,Super delicious Korean food. The steam egg with cheese was perfect for me and the pork rib stew was very good. Great place to chill and catch up with friends. Will definitely be back to try the other dishes.
Wonderful Dining Experience,"Visited Masizzim@313 Somerset after a long day of work. The Spicy Pork Rice Ball was simply outstanding as the meat is super tender, coupled with the experience of rolling rice balls. The plate of Spicy Squid was a perfect complement to the Spicy Pork Rice Ball due to the sauciness and crunchiness of the squid. Finally, the Spicy Pork Kimchi Soup serves as a refreshing dish to pair with the dishes mentioned above. Wonderful dining experience in general and will come back again!"
Great food and place,"Dining experience was great. My favorite dish is the cheese kimchi fried rice, the steam egg was really good too, great place to hang out and will definitely come back again"
Great rice balls,"Had the Crabmeat and Roe Rice Ball, as well as the Pork Rib Stew. The crabmeat and roe in the rice ball dish was very well seasoned, and were tasty enough that I would highly recommend this dish (and won't mind coming back for more!). Pork Rib Stew was also rich and flavourful. I particularly liked the rice cakes in the stew, which were really chewy! Highly recommend this place!"
"Great experience, food and ambience","The food and ambience was great. I truly enjoyed the Kimchi tuna riceball. It was an experience to roll them into cute shapes and taste the mixture of flavours from it. I would also recommend the spicy chicken stew and go for it again. The portion was huge and they were generous with their tender chicken pieces. The food was delicious and great!
The place also had the really chill and cool atmostphere

Would definitely return. :)"
great korean food !!,"came here for date night because i was craving for great korean food and i wasn't disappointed !! my partner ordered the beef stew and even though i wasn't a fan of spicy food, i still couldn't resist stealing bits and pieces from him because it was that delicious HAHA for myself, i ordered the beef bulgogi and it was such a generous serving. the meat was tender and the sauce was so savoury. we finished off with a melon yogurt drink which was the right amount of sweet :)) even though the place was crowded when we were there, the staff provided really good service to us too"
Lunch date,"The highlight of the food is the beef stew! The sauce was tasty and the meat was really tender.

The meat patty is huge and flavourful. I would recommend to share within 3 pax.

The highlight of dessert would definitely be the larger than palm size mango mochi. Super soft and having lots of mango in it. Good to have it after a meaty meal."
Dinner Date,"The food was great! I like the stew very much even though it's a bit too salty but the meat was so so tender! Great addition to rice though! The mochi is a must-try! Super big and yummy!

I came here on a Thursday evening around 4.30pm, so it was pretty empty. Tbh, the portions were really great - highly recommend"
Korean Food,"Came here after work with my girlfriend for dinner. We ordered the beef stew, beef bulgogi and an ice blended yogurt drink. I personally found the beef stew to be very flavourful and the ice blended yogurt drink to be very refreshing. The service staff also provided good service to us by being quick to respond to us. Overall a pleasant experience!"
Korean Food,"Good vibes and atmosphere. Great place to come by after a day of work. We ordered the riceball crabmeat which was super delicious!

The spicy pork was good as well, it’s not that spicy, but I can still feel the spice and it is tasty!

The Tteokgalbi was magnificent, had a great time consuming it"
Will come again!,"Ordered crabmeat & roe riceballs, spicy pork and tteokgalbi! The riceballs had good flavour and were fun to make for the experience! Tteokgalbi was really nice too with the slightly burnt crust adding a good crunch to the juicy meat 🤤"
Masizzim Food Review,"Really enjoyed our dinner at Masizzim where we ordered a variety of dishes including the honey mustard cheese egg roll which was both a good appetizer and match well with the heavier tasting food such as the chicken stew (level 3 spiciness) which was also extremely delicious with a good match of spice and savoury intensity, and the chicken was also very tender. We also ordered the spicy squid and taste really great too! Lastly, the kimchi fried rice was also unique as it was served in a hot metal pot as shown and the generous portion of seaweed ingredient also elevated the umami taste as well. Generally portion was also rather large and thus definitely a filling meal :D"
Korean Feast @ Masizzim,"Literally one of the best korean food I’ve had! Its not super korean-ish, I can feel a slight fusion in their dishes - like a mix of korean and local flavours as the tastes were not very foreign. Top faves is the spicy chicken stew (level 3 spicy) and it had these chewy flat glass noodles which were doused in sauce and was so good! Plenty of chicken meat which was not tough and super flavourful! Another fave was the honey mustard cheese egg roll which is so good! Feel with cheese and a savoury sweet mustard sauce that was not surfeiting at all! Spicy squid and the kimchi fried rice was deffo good too and was a good portion size as well! Deffo highly recco to try! :)"
