topic,review
Crispy Skin Grilled Salmon,"Had the Crispy Skin Grilled Salmon, it was fresh, thick, and rich in flavor. $22 for the fish and 2 sides. Got fries and salad as my sides and I like this combo, the fries were very tasty and crispy! The salad was alright. Would recommend this place if you’re near the area!"
Grass-fed Ribeye,"Ordered the Grass-fed Ribeye, the steak was thick and juicy. Love the char on the steak, richness of flavours. It came with 2 sides, I ordered fries and mashed potato, fries were very crispy and crunchy, love the mushroom sauce in the mashed potato!"
Good experience for a reasonable price,"Ordered the seafood platter and the portion and seasoning on it is great The prawns were fresh along with the mussels.

The New York Sirloin’s portion is great too. Asked for a medium rare doneness, but some parts were too rare. But overall it’s a great meal.

I would recommend a group to come for the sharing platters and the steak!!"
Great place to have Pork Ribs & Steak,"We ordered the Signature Pork Ribs (very delicious) & Grain-Fed Flat Iron Steak (250g). Each main came with 2 sides (we took the straight-cut fries, Corn Bread, Cajun Rice & Asparagus).

The Pork Ribs were incredibly tender and flavourful! We could choose between 5 flavors and took 'Bourbon', which goes well with the Ribs. The Fries were crispy and fresh too. Would recommend this to those who love meats and American-style cuisines"
Super cozy and lovely food!,"Ordered the pork ribs with bourbon sauce (comes with 2 sides, straight-cut fries and cajun rice) and the a grass-fed flat iron steak with 2 sides as well (cornbread and asparagus).
I must say both dishes are cooked perfectly! The pork ribs were literally fall-off-the-bone tender and the thick slab of steak was cooked evenly! The sides did not fall short at all - my favourite was the cornbread! They have a wide variety of food, and the atmosphere was really cozy so i’ll definitely come back again for special occasion!"
Great food and service!,"Food was great! We ordered pork ribs and the meat was sooo tender, came off the bones so easily. Pasta was nice too, was a pleasant surprise."
massive portions,"came on a weekday afternoon and food came really quick. portions are massive! honey mustard ribs are tender and juicy w a delicious marinade, and the beef chilli fries were hugeee for its price. service was great as well!"
RECOMMENDED,"Would recommend others to order their popular Shira Cognac Beef short ribs! 10/10 worth the try. Very tender & juicy! Ordered their signature honey mustard pork ribs as well! Portion is good for sharing. For appetisers we got the soy garlic wings too. Reminds me of the Korean fried chicken. Overall was very filling and satisfying.

The ambience was great too. They have outdoor and indoor seating (2 levels). Able to host a large group on the 2nd level."
"Wonderful Meat , Flavourful Taste","i visited Meat N’ Chill on a reccomendation of a friend and i throughly enjoyed my experience ! I ordered the Shiraz Beef Short Ribs, Honey Mustard Pork Ribs, Vanilla Milkshake and Honey Soy glazed Chicken.

The Shiraz Beef short ribs and honey mustard pork rib were both so tender that no effort wss required to pull it off the bone. they were all packed full of flavour as well. i really liked the sauce of the shiraz beef short ribs , the shiraz really elevated the flavour profile.

the honey soy glazed chicken had a balance of sweet and salty , and the chicken was hot and crispy and piping hot. i enjoyed every bite of it !

i highly reccomend people to come and try it for yourselves. it really is one of the best places i have been to !"
"Amazing steak and ribs, totally blown away!","Really delicious American fare at reasonable prices! We ordered the pulled pork quesadillas and soy garlic wings for starters, and for mains we got their signature ribs and a New York strip. Everything was so scrumptious and delectable, the quesa is a MUST ORDER! I simply cant choose a favourite because every dish was perfect. The ambience also feels so homey and cosy with friendly service staff. I would totally come back again."
10/10 American Food,"Love the vibes of this small quaint restaurant at Sixth Avenue, perfect for residents there. For the rest of us parking may not be as easy, as there are limited slots around the building the restaurant is. Staff were super friendly and made sure we were well taken care of. The Classic Ribs were nearly fall-off bone soft and delicious. The New York Strip was decent and I personally enjoyed it a little bit more than my partner due to the charcoal grilled sears. We also ordered the soy sauce marinated wings and Quesadillas, which were both absolute bangers. 10/10 recommend and will definitely be back to try out the rest of the menu."
Flavourful meats and sides.,"Came to dine for a weekday dinner. Seated on the second floor. Ordered Shira Cognac Beef short ribs with coleslaw and chili beef fries while my partner ordered Bourbon BBQ pork ribs with corn bread and asparagus.

Taste of the beef short ribs was good however would be good if there was some vegetables like carrots as the meat was quite rich towards the end. The chili beef fries was delightful! The fries was crunchy, the chili beef had a nice texture to it (spotted capsicum and beans), taste wise was addictive! Would definitely order it next time.

The bourbon BBQ pork ribs was flavourful however not as fork tender. The corn bread had good texture with corn kernels in it. Love that they took effort to grill the asparagus for the smoky flavour.

We also ordered draft beer on tap which was good, fresh and crisp. Service was attentive too, service staff came to check on us and another table seated beside us."
Cozy restaurant,"A cosy restaurant located just a few minutes away from Sixth Avenue MRT. Warm and friendly staff welcomed us upon our arrival and were helpful with our questions on the menu. We had the honey mustard ribs and a steak. Both mains came with 2 sides, so its perfect for anyone who loves huge portions! The steak was well done and cooked to just the perfect tenderness. Would definitely like to come back again!"
Enjoyable dinner experience,Really enjoyed my dinner here! The mains and sides were perfectly cooked !! They were quite generous with the portions as well😌 The staff were very friendly and gave suggestions of the popular items. Highly recommended
yummy steak and friendly staff,"ordered the steak which was slightly on the pricy side out of all the items on the menu but well worth the money as the steak was yummy and was cooked very well - ordered medium rare and it was cooked perfectly!

really worth visiting this restaurant with friendly staff who are always eager to help and provide assistance."
Steak was well seasoned,The sauce went well with the steak and the sides were good. I recommend having it medium. The sides were fine. Would want to try other things on their menu.
