topic,review
Good food service and experience,"Good food service and experience, we had a great time and everything was good perfect time and experience with friendly staff"
"Amazing service, good quality food","Its our family’s 6th or 7th CNY reunion dinner at MELT cafe. Although we have other cheaper options, we stick by our trust in MELT cafe as each reunion we can truly enjoy the night gathering as a family with the rush to finish our meal within a stipulated time.

Food service quality has always been consistent. Thats what kept us going back each year as we know we’re in good hand of a great professional team.

Special shout out to Ganesan & Kei. My family deeply appreciate your kind arrange to make an exception to refund 1pax buffet dinner as she caught covid at 11th hour and not able to join us.

Respect & Thank you!
Stay safe and keep up the good work!"
Worth the price,"Underrated and spectacular. Cuisine from a variety of cultures including local cuisines. Everything is kept hot, fresh and refilled. Lovely room. Amazing seafood options from lobster to fresh oysters, even sushi options. I fell in love with the Singaporean Laksa which is so flavorful. At first, it looks like just a buffet - but each 'station' offers such a lovely variety."
Great International Breakfast,You will not find a better breakfast that this anywhere. There is food for most any nationality. There are fresh fruit as well as fresh squeezed juices.
Nice but very chaotic,"Visited the buffet at Melt.

Nice wide range of different options and international cuisines.

Quality is ok.

Service is ok

But when we visited which was the festive period, Melt was extremely busy and therefore rather chaotic and for a buffet arrangement, not sure how Covid friendly it was.

$$$"
Best best indain food and best service in sg,"I bring my friends again to melt cafe. My friend from Japan miss indian food and I called chef Santosh to prepare a dining for my guest, he is always so busy but he prepare for us. 30 min before I reach Melt cafe I called him and Once I reach chef Santosh and Alex Wong immediately serve us the food and we really enjoy the food. My friends is so happy with the dinner. Wow the indian food and service here is alway so good. Thanks Chef Santosh for such good service and save. Good job . We will come again."
Holiday in Singapore & The best Indian cuisine !,All dishes were super nice! The best curry I have ever tasted. Thanks to Chef Santosh & Mr Alex Ong!!
Melt away in disappointment,"Visited Melt for the first time after 2 years and what a bitter disappointment. The quality of food is just poor with the BBQ station having some lamb chops and prawns, gone are the premium cuts and prawns that one would expect for a buffet at $150net per person. Back in the restaurant, the sheer lack of service is apparent with a robot clearing dirty plates throughout the restaurant and would not be out of place in a hawker centre, but at MO? 5 Star hotels in Singapore has never so disappointed and while typing this sitting here with stomach pain and know as my new years resolution to make a big detour around Melt. Shame as this was our favourite place to go to."
Melt Cafe Staff Excellence,"There were so much food choices! The staff/server service was top notch and would like to specially compliment, Eric Raj for making our experience even more special and we will be back because of him!"
Best ever,"We've been coming to melt for more than 7 years and today's New Year's buffet has been the absolute best. Plump, huge oysters (2 types), palek paneer, astonishing and creative desserts.

We ate so much we couldn't have the birthday cake we brought.

Best ever."
Excellent Service,Our family was really well taken care by the service crew here. Notable mention goes to Vishnu who went the extra mile to make our kids feel delighted with the dining experience. Thanks so much!
Wonderful quality buffet,"It was the first time after COVID and Melt cafe food spread has improved a lot with quality food that is fresh and very well cooked. Services from the staffs were exception! At any point in time when attention is required, they will come to you in less than 10 seconds. Super great job even when the restaurant was almost full. I like to call out Michelle who did a great help as well for the settling of the bill. Thank you and my wife enjoyed her Birthday celebration here."
