topic,review
Look for Sukh,"excellent service and care by Sukh. was there for a business meeting and were well-taken care of by Sukh in terms of the meal plan and drinks pairing.
all partners were able to just focus on the business discussion!
thanks again Sukh appreciate your hospitality.
See you again"
Outstanding service,"We were greeted by Bartender Sukh and he’ve been giving us an outstanding service for our dinner experience. Especially when we brought baby, they diligently changes any dirty & finished dinner plate, making sure everything’s clean. Thank you very much for a fantastic service, specifically to Sukh"
Great spot for an impromptu bottle of wine,"Great service, Cool vibe and Central location. Waiter was knowledgeable and gave good recommendations for wine. Will come back soon!"
First time,One of the best food and great service Awesome place to meet and chat. Barista Sukh done an awesome job with the latte art thank you
Authentic French cuisine,"My friend and I wanted a nice place for our last supper before going back to Europe. We were thoroughly impressed by the quality of the food. The authenticity of the taste. It brings me right back to France. Our caterer Kelvin was particularly excellent. He was attentive and warm and always had a natural smile. We felt very well cared for. If you look for an authentic European/French taste, look no further."
Good review,Me and my friends got a good experience at this restaurant friendly staff and good food the best restaurant I visited jn 2023
Tasty cocktail (sukh),Enjoy the comfortable dining space and great environment. Lovely staff sukh with excellent service. Food are fantastic with premium quality. Bartender sukh are doing good job with fabulous cocktail
Dinner,I’m here for third time with my boyfriend and I felt so welcome by Nora sukh and ren love the place and drink especially the wines. Will come here again .
Great service & great food,"My first time dining at here with my girlfriends, introduced by my colleague & give a try, we order the French Toast & Mizo Slamon was yummy & service on the top & feel welcoming, definitely will visit soon again."
food review,"The food was delicious and had an amazing time overall. The service was excellent, will definitely come back again:)"
WOW,Great foods Nice steak Wonderful coffee & desserts with Awesome service team. Thumbs up and well done. (Visited on 22 Dec) ⭐️⭐️⭐️⭐️⭐️
Lively yet classy,"Brilliant food, wine, ambience and value for money. Lively trendy crowd with a neighbourhood feel. Best in the evening"
Very nice ambiance and great food,Very lovely place for dinner. Foodies are good seletion. Generous portions. And Staff Mr. Sara given best services we will visit again and surely recommend our friends and families
disappointing food; a wine bar which needs to be told to change glass between white and red wine,"i hope this was a bad day regards service. Sunday evening, young kids, no experience. when one claim to be a wine bistro, it is not acceptable to have to point out to the waiter that we wish to change glass between the white wine and the red wine.
regards food, disappointment, and i doubt this is bad day question. duck rillette and duck parmentier suspiciously seem to have the same base of over cooked shredded duck. overcooked - not enough fat for rillette, possibly ok for duck confit but shredding way too much so that there is no texture anymore. and the pork tenderloin with creamy corn puree and feta crumble: 3 crumbles of feta and lots of POPCORN ? seriously (creamy corn puree ? don't recall, there was an apple sauce for sure...).
sorry guys. you did not score."
Great dinner,"Yummy Mizo glazed Salmon with the potato rosti & Ravioles de Royans, is my first visit here & I found the rosti very soft & tasty, service is great & warm"
Birthday Dinner,Flambe #1 is a must try!!! And the raviole is always a fave. Ambiance is soooooo nice and the staff are so helpful! Will come back for sure!
Excellent service,Had dinner last night. Very attentive staffs and knowledgeable. The cocktails they are serving is superb as well as food
Great service,"My 1st visit in Merci Marcel at Club street, 3 of us order the set lunch was very efforts price & food quality, Angus beef & chocolate is must, Service on the top side even they are very busy during the lunch but keep checking we are in good experience"
Ms,Food is perfect and the crews are very friendly. Appreciate everyone most especially Ms. Jena for giving us the best choice of food and wine. Will surely come back here! ☺️
Best French restaurant in Singapore,Fantastic food (tuna tataki and flat bread pizza) . And the service the best (Nora and Sara). Thank you! Lovely evening!
The best of Singapore,We were walking past and were immediatley draen by the ambiance of this amazing restuarant. The staff were so friendly and although they were fully booked they squeezed us in! We only wanted a snack to keep us going so we ordered a cheese board and cider..and wow oh wow. It was fantastic. Along with the great service from Jody. If you get chsnce come and find this jem of a place
Superb,Food and drinks are worth it. Will definitely come back. Friendly and polite servers too. Don't miss out!
