topic,review
Awesome Dinner,"Amazing dinner, enjoyed the cheese starter. The angus beef was done perfectly to my liking, my partner enjoyed her squid too. Service rendered by Sharmilla, Shela, Sherry and Marilyn was great!"
My go to place,I love Merci marcel I really enjoy the good food and cheese. I always come either for breakfast for early dinner with friends/ relatives who comes and visit. if you're looking for a good place to dine in with lots of choices on the menu. visit this place and you'll also Love it like a do.
Good food with excellent service,"Went there for dinner with the family.

Very nice ambience. Although there is background music, it was not overbearing. We could have decent cross table conversation.

Our food and drink orders was efficiently taken by our attentive server and was served quickly.

Food quality as very good but what impressed us was the level of service.

Well done Merci Marcel for making our evening memorable"
Superb Food and Excellent Service,We had a wonderful dinner experience at Merci Marcel. The food was superb and the service is excellent. Definitely will visit here again.
Merci marcel,"I went with my bf and we both love the food there, it’s the first time we went to French restaurant together. The food is very nice and staff are friendly too. Great environment to chill with friends, will come again next time"
"Nice decor, lovely view and good food","Had been there in the late afternoon, still it was packed with people. Recommended to book in advance to avoid disappointment. Amazing view of Thai embassy, which is filled with tranquility. Food and service is good"
Great place for Calm and Quiet dine,"Came on the 25th Dec 2022 to start the season, greeted with warm welcome and we were served by a Trainee - Melvin ( Very friendly and polite) I enjoyed his service very much - well done!!

Always a to go place for a great morning!!

Highly recommended!"
Awesome service and food,We went here for my friend birthday lunch. The foods were all tasty and we ordered an additional pizza for ourselves. We will definitely come back to this restaurant again.
Amazing Food and Staff,"It’s been my 4th time here this December,the food was amazing and the staff are so hospitable specially Mary Jane and Marilyn they made me feel home every time I visit , will definitely come back again."
Simply Fabulous!,Love the very chilled French vibe here! Highly recommend the Champagne Flight followed by Espresso Martini! The experience was elevated by very knowledgeable bartender Marilyn who was super friendly & fun to chat with. Highly recommended to drop by for a fun tine even on a weekday nighr!
Amazing place with super friendly staff,"I go to Merci Marcel Orchard every weekend. Very chill place with nice brunch menu. Outdoor tables are great if you would like some natural breeze & sunlight. I normally choose to sit at the bar looking out to the big glass window. The staff are very nice & helpful. Abiel, the bartender makes very nice drinks & super friendly!"
Decent food and good service,"Me and my friend wish to do a shoutout to the waitress Ms. Jasmine who were serving us. She was very considerate in taking into account we did not over-ordered our food and had a very jolly and cheerful face! She was sincere when she served us!

Food was decent. Ambiance was decent too! There is a impossible burger too and it was quite good. I would recommend this place to people for sure."
Merci marcel,"Very nice experience and most of all very dilicious foods...very approaching crew,most of all thank u to miss juirlyn.."
Great food,The foods are great especially the ravioli pasta. Thank you Juirlyn for your good service. The ambiance is good.great experience
Excellent service,I love the Tarte flambee beef burger and ravioli pasta with very accomodating staff Juirlyn. I really like the atmosphere.I will sure to dine again here.
Must visit!,Excellent place to visit! Staff are extremely knowledgeable and make great recommendations. Nice food nice place nice people!
Excellent food and atmosphere,"Great food, service and atmosphere. The Duck Parmentier, Ravioles and Crème Brulee taste fantastic. Staff are really friendly too. Will definitely come again."
Amazing Food and Atmosphere,Love the food here! The ambience and decorations make it a very cosy place to have dinner with friends and family. Good place to dine!
