topic,review
"Amazing coffee, food and service","Amazing place for breakfast. Coffee lovely, bakery lovely, food brilliant. Service excellent. Such a fantastic start to the day. Highly recommended."
Great family dinner,"Delicious dinner, friendly and experienced staff. I love the ravioli there. Waitress Nora was the best."
Great service,Love the selection of the wine and duck parmentier . Price Is slightly steep but worth it as the staff are very accommodating.
Nice Ambience and Friendly Staff,Our weekly go-to place for cheese platter and classic french dishes. Staffs is friendly and will make effort to remember your dining preferences. Highly recommended!
Nice place to chill,Foods and drinks was great. Place was beautiful. Good service and friendly staffs. Will definitely come back again.
Truffle mushroom pasta 😍,"Came here for a late lunch with my mother in law . Love the truffle mushroom pasta , quite big portion good for sharing too ."
Great food and service!,The food was really good and the service crew were approachable and friendly! Would definitely return here! :)
Cozy and good food,Very good food. Excellent service. We all enjoyed the dinner very much. Will come again with my family
Lovely dinner with friends,"We ordered a cheese platter with three cheeses, mains and desserts. The cheese platter came with a bread basket, butter and chutney on the side. It was a great appetiser to share among three people. Out of all the mains the ravioli was our favourite. The staff were really friendly and helpful too! Overall a great dinner experience"
Amazing dinner with friends,Ravioli was very creamy and delicious. Ambience was also lovely and overall a 10/10 experience. Great for birthday dinners :)
Brunch,"Love that their sparkling water is only $1 and is refillable . Staff here are very friendly , love how they always engage in conversation with me . The coffee and croissants here is really good . I definitely will come back."
Great food with great service,The food was great. Great service by Ms Marilyn. She was very friendly and attentive to okie food orders and requests.
Visit them👍👍👍,Its a very cozy place.the staff are very friendly and accomodating. I love their brunch its so delicious😘 I recommend to everyone! I would like to come back here again and again
It’s just awesome,"Food is on the pricier side but tasty. Ambiance was nice and the French music was good too.
Order their coffee! I promise, you won’t be disappointed. Good selection of French cheeses and French wines. Online menu wasn’t well accepted by the older folks but they do provide a hard copy menu. Service was fantastic, lot of greeting and welcoming smiles. Me and my parents were well taken by the team. They provided $1 free flow of premium water, support a cleaner planet and they mentioned half of the revenue will go for project tree planting in IndonesiaI suggest you reserve a good table online before you come. We will be back definitely. And big thanks to Shung, such a lovely person!"
Awesome brunch,Went for brunch with my bf on sunday. We love the ambianc and service was superb. We had the raviol and french toast we loved it. Our server melody was so cheerful and help us with the food recommendation. Kudos to the team its very rare to find a great service in singapre. Will be back soon:)
Pizza was great,Went in the evening where it was not very crowded. Did not have to Q in line. Pizza and coffee was great. Service was great too . Menu could have been more extensive with more choices.
Great service and friendly staff,"I wanted to look for a quieter place to read my book and chanced upon this cafe. The staff were very friendly. I chose and outdoor seating but when it got a bit hotter, one of the waiters offered the window seating inside and helped move my drink and bag in.

Would def come by again if I'm in the area!"
