topic,review
Lunch With My 96 years old Uncle,"We had a wonderful lunch with the caring and excellent service from Elaine, Abigail and Anne. The foods were excellent and my 96 years old uncle and I were throughly enjoying it."
Nice staff and restaurant for all year long,"Cozy ambience, friendly staff. Food was delicious! Celebrated our Christmas dinner over at Mikuni at Fairmont and We like everything about it. I would like to mention one of the staff Ms.Samantha he was great at food recommendations and we all really enjoy it so much. Thank you for your great service Samantha from arranging the reservation , table and recommendation (I think she should be
Promoted to manager ) and also with your team mates that has served us during our dinner."
"Appreciate the service, underwhelmed by food","The service team was lovely and attentive as I remembered, impossible to fault. The food was definitely above average but fell short of expectations - expectations that were inevitably guided by its rather high price point. Which brings me to the question of value - really not quite there. And interestingly, the salad I ordered was served with such an amusingly modest portion of dressing that I had to pay $5 for more - it was either that or having to eat a pretty dry bowl of greens; I got to admit, this is a first anywhere for me.

In my humble opinion, with respect to the main menu, I could easily obtain equivalent or better quality Japanese fare at a meaningfully lower price point anywhere in Central Singapore.

I really miss the full experiences at the teppanyaki counter (ala carte) or robatayaki pre-COVID. Unfortunately, for months now since Circuit Breaker was no more, no one could advise when they would be fixtures again. Unfortunately too, I am unlikely to return unless those sections re-open as before."
A happy Pre-X’mas lunch,"The staff including Abegail and Elaine were friendly and professional; they put the customers at ease.

The food was fresh and delicious.
We have a good Pre-Xmas celebration lunch."
Must try,"The place was aesthetically pleasing and the staff were attentive and very welcoming and polite. They also made suggestions but not imposing. The food was very nicely presented and explained and the food was delicious. We liked the truffle miso mayo Fried squid and the kampachi capricio black truffle sauce amberjack their signature starters. The sashimi and sushi was fresh and perfect cut, and very nice. Tempura batter was very nice and light, the prawn very fresh and crisp.

Only negative I can think of is the udon which was nothing special for that price; I works say overpriced.

We had a birthday celebration and the birthday cake was a vanilla ice cream with a candle - very nice ! Anyway, we tried different desserts and they were good. Maybe restaurant can consider adding two or three varieties of ice-cream flavours.
Special mention goes to Abegail, Johnson and Ann. Thank you for a lovely night and your wonderful hosting."
Great dining experience at Mikuni,"Felt so welcomed every time I visited Mikuni
Thanks so much to Abegail, Ann and the team
Thanks and really appreciate the attentiveness and great service! Definitely will come back again!"
Don't believe the reviews - Go somewhere else,"Raffles Hotel booked this restaurant for us which we were surprised by. They said it was very good. We are 2 adults and 2 teenagers.

In essence it is a dimly lit shabby, hugely overpriced, characterless restaurant.
We went for Tepanyaki but didn't have any as the entry level for a small bit of meat was circa a whopping 240 Singapore Dollars! The wagyu on top of our daughters noodle dish was a rubbery boiled bit of inedible meat. Poor quality ingredients in the noodle dishes in general. The sushi and vegetable tempura were very good but again, very expensive.

Service ok and friendly but no absolutely no atmosphere in this place.

We wasted one of our precious nights on holiday eating in this place. Don't make the same mistake we did, don't trust the reviews, go somewhere else."
Pricey freshness,"Excellent freshness of fish in the sashimi, sushi and miso marinated black cod. Better eaten in these styles as the dish of abalones and scallop simmered in butter soy sauce was overwhelmingly sweet which overpowered the shellfish - pity.

Lobster maki was a disappointment as hardly any lobster meat.

Very high price points not withstanding the freshness of fish. Meant only for indulgence."
Good food we can recommend,Mikuni is famous for good food...nice atmosphere too!!! Service is so-so but maybe this is just because of the labor shortage in Sing.
Nice experience.,The ambience and staff was rather friendly. It would be better if there are more varieties of food menu choices as compared to before.
Family gathering,"Overall, the food is excellent especially Tempura Mori, Dragon Maki and Tendon. The environment here is ambient and the atmosphere is very suitable for family gathering. Last but not least, we would to express our gratitude to the marvellous waiter here to make our dining experience even more wonderful. Thanks to Junior and Abegail for your warm service to us."
Family trip,The restaurant are giving the best service to my family. food was very nice ， the server Alan & Yimun making us feel comfortable ，very kind person
Wonderful dining experience,"My husband and I received as gift a voucher for a 7 courses Omakase menu and it was a wonderful culinary experience. We enjoyed every course, but the crystal caviar soup, abalone tempura and wagyu definitely stood out. The dessert too was delicious (shaved summer truffle on japanese egg ice cream). Beautiful ambient, excellent service."
Birthday dinner,Excellent service and wonderful food. ABIGAIL and Elaine give personal attention and excelent service. Kep up the good work.
Always Wonderful at Mikuni,"It was a special birthday treat.

We each had the lunch bento set (S$128/USD92/€88/£75), comprising an appetiser, sashimi, tempura, Wagyu beef, sushi and a grilled item of unagi (eel), as well as an intricate macha ice cream-and-biscuit dessert.

Everything was very delicate and pretty, like a mini Kaiseki. The Wagyu and Toro were melt-in-your-mouth delicious, and were the standout items. Service was attentive yet unobtrusive.

What a lovely lunch, especially given the fabulous company!"
Excellent Service at Mikuni,Abegail is very polite and friendly. Good quality food too. Ambience is good. Service is excellent. My unagi don was very tasty and I was also impressed with the Tempura. Crispy and fresh.
Excellent Service at Mikuni,"Recommend Mikuni for ambience, service and food quality. Abegail and the others pay attention to service."
Excellent service,"1. Excellent service
2. Good value business set lunch
3. Great ambience
4. The service staff are attentive"
Mikuni - Good Food / Good Service,"Mikuni is one of the best Jap food in Singapore. Their food is fresh and taste food / Service is good, especially Ms Elaine. She remember her customer profile well and also present with lots of personal touch. Felt warm and friendly to be seeved by her. Thanks for the great service with always good recommendation of the food."
Fantastic lunch,Food and service was great. Samantha was really attentive and provided excellent service. Great ambience!
Great dining experience,"Food was lovely as always. Generous portions and fresh ingredients. Samantha was very friendly, well versed in the menu and gave us great recommendations. Will definitely come back!"
Dinner at Mikuni,We came here for dinner to celebrate by Husband’s birthday. Service and food were impeccable! Thank you Mikuni for your hospitality :)
Lunch at Mikuni,The foods and service was excellent. The Waygu steak was very nice and my family and i had a wonderful dinning experience there.
Food & Ambiance,"Went there for family dinner & early Mother’s Day celebration. Food was fresh and great, with wonderful service. Enjoyed ourselves."
Food & Ambiance,"Went there for family dinner & early Mother’s Day celebration. Food was fresh and great, with wonderful service. Enjoyed ourselves."
Night out with family,Very enjoying evening out with family especially from Elaine and her team with good foods and services as always. Well done! Will be back next week for more…..
A great dining place for friends and family,Visited Mikuni many times and I have always receive great service from the staff. Special thanks to Elaine who will always be friendly and attentive to our needs as diners! Always pleasant and happy being served by Elaine.. thanks so much
Dining at Mikuni,It was a delightful experience as we were first time dining at Mikuni. The wait staff were very helpful in helping us choose our dishes for the night. Service was above excellent and the staff were very friendly and supportive. The food preparation was truly an artform by itself - three cheers to their head chef!
