topic,review
"Authentic Chinese food, great ambiance and service","This is our second visit to this restaurant whilst visiting SIN.

The food has been amazing and we have loved all types of dishes we have ordered. The waiting satff are always ready to provide you some recommendations depending on what time of the day you dine."
First timer,"Cantonese restaurant, food is pretty decent. As we were only have 3 person, didn't order the duck. We ordered pork, ribs, noddles, veg for a simple lunch. Desert is pretty nice. Service is good. Overall a good experience."
Food quality has dropped so much that you won’t want to go back again,"Food quality has really dropped. Eg The egg tart looks uncooked and could taste the floor, egg has sunken. XO carrot cake has no XO sauce taste. Skin of Xiao long Bao was too thick and dry. Overall food taste was not good. Service was bad. What a disappointment !"
Poor service and just OK duck,"I've been to Min Jiang several times, but this is the first time in 3 years. Service was way off, and duck was just OK. We ordered a full Peking duck. We are used to the usual presentation of the skin being rolled for us as the first course They just plopped it at the table and left. We had to summon a server (not easy to do) and asked her to roll it - she was put off, rude and complained it would take some time. Seriously poor service when paying this much $$$. The duck itself was just OK, not great as in prior times. Generally impossible to get a server's attention for more water or drinks.

Next time I will go elsewhere for my Peking duck fix."
Better value elsewhere,"It was raining and we were reluctant to get wet. We were staying at the hotel and ordered a take away meal from the restaurant because there is no in-room dining. Two servings, some rice and beer cost over $100. Dried chillies made up half of one serving and they had the mouthfeel and taste of heavy plastic with a slight hint of chilli. The other dish was an unimpressive serve of vegetables. What a waste of money!"
A shadow of its former self,"Been a regular at the branch in Dempsey and also occasionally at this main restaurant at Goodwood Park Hotel over the years, but regrettably the service standards have really fallen through the floor.

Eventhough they weren't particularly busy, the staff were really inattentive and calling out to (and gesturing) their colleagues at the other end of the restaurant - I did have to wonder whether we were dining at a hawker centre or 5-star hotel restaurant?

Food was OK (although be warned that their 'signature' Peking Duck is served in a totally different way to most other Peking Duck speciality restaurants, including their brand at Dempsey) but the overall ambience really spoiled the meal and when you're paying $400 for a meal, there are certainly restaurants which offer a much better experience at that price point! Definitely not going back......"
Worst dining experience ever in Singapore,"We pre-ordered Peking duck before our visit and other dishes upon arrival.

Took 30 mins with several reminders for them to serve our food. Peking duck is supposedly the signature yet they ran out of cabbage for the second serving of the dish (7 pm on weekday).

Appetiser did not come despite multiple reminders - eventually came after all other courses were served.

No apologies whatsoever. Not experience such inefficient service in Singapore, let alone an upscale restaurant.

Nothing special for the dishes nor Peking duck. Your bucks will go further elsewhere with a better dining experience."
Chinese,"A popular chinese restaurant for many years. Popped by for weekend lunch. Had dim sum as well as dishes like crispy chicken, lobster broth crispy rice and spinach. All good to very good. Service is ok, i wish they pretended to like their jobs more"
Great Dim Sum & Serene Atmosphere,"I was invited to lunch at this wonderful Chinese restaurant. The grandness & attention to detail is the 1st thing that caught my attention when i stepped in. Part of the restaurant also overlooks the pool which gives you that resort type of atmosphere.

Had Dim Sum that afternoon & the dishes were beautifully plated & tasty. I was most impressed by the fish soup & avocado coconut dessert which had an interesting twist to it.

Staff there are extremely warm & full of enthusiasm. Will be visiting this restaurant again for sure."
Standard has dropped; disappointing lunch,"Minjiang at Goodwood has been a stalwart favourite of my family for years, but the experience at the last couple of visits has been somewhat disappointing. To be fair, we had ignored it before and considered those as perhaps ""once off"" incidents, but this most recent experience really takes the cake.

When we arrived, there was nobody at the reception for nearly 10 minutes. The wait staff could see that a line was starting to form at the reception, but none of them acknowledged the presence of the waiting guests. Finally someone arrived to confirm the reservation, and subsequently left us waiting again for another 5-10 minutes. It would have been nice to at least even be informed that we needed to wait for the table, rather than leave us out cold. When we were led to the table, I was called by my first name, not a formal address with the surname, which was really not professional.

If we were off to a bad start, the food certainly did not redeem the rest of the experience. The first couple of dimsum dishes in the bamboo holder actually arrived cold, and we had to send them back. The rest of the food was ok but not great. When the dishes came, the wait staff did not state what each dish was; just plonked them on the table and walked away. The restaurant appeared short-handed, nobody was free to help pour the tea and we helped ourselves throughout most of the lunch. For dessert, we tried the christmas durian combo, which was nice except that it was rather frozen when it was served and we could barely cut the cakes with a knife, let alone a fork.

There are definitely other Chinese restaurants that I can count on to always serve piping hot food and provide much better service and overall experience. For a brand name like Minjiang, it can definitely do much better."
