topic,review
Very Good,Service was very good and polite. Food was good. Ambience was spacious and good too! We enjoyed our dinner. The sashimi cuts are very thick and generous for the buffet.
Buffet lunch,One of the best Japanese buffet. Sashimi is very fresh and other items are very delicious. Staffs are friendly and service is efficient. Will definitely come back again. Highly recommended.
Wonderful food reasonably priced,"Love the sashimi which is of generous cut. Love the cooked food as well, Good selection/choices Overall, value for money, you won’t be disappointed"
Sashimi Lover,"Great restaurant buffet for the whole family with range of sashimi, sushi, tempura and grilled stuff."
Great Dining Experience.,"Had the buffet dinner for 2 pax on 28-12 22. My nephew and I enjoyed ourselves very much. Some feedback on how some of the food could have been enhanced. Breaded Oyster needed some sauce to give it a bit more lift. Also the Grilled Gindara could nave been accompanied by a little teriyaki sauce.
Noticed the servings have shrunk a little. I suppose we could have ordered more of the same and we did.
I would like to be a loyal customer, will you consider offering a senior's discount?"
Good food with good view of Clarke Quay,My overseas guests enjoyed the wide and quality offerings on the Premium Buffet spread. The cheerful and pleasant service staff were very attentive and the food ordered did not take long to arrive at the table.
Not worth the price for premium buffet,"Paid $470plus for 4 pax. I find that food is so average , really not worth the price. Sashimi is cut too thick and not that fresh . Oyster has fishy smell. Too much cheese on crayfish. Unagi is so salty. The atmosphere and setting is cheap looking after their revamp. More like a Foodcourt , with cheap table/ chair quality."
Good food,"The food had a wide selection - Sashimi was fresh, and especially enjoyed the ikura maki. Would not recommend the chawanmushi as it had a really strong bonito taste. Service was very warm and friendly - they were proactive in clearing the plates, greeted and attended to us with a smile, and also nicely wished us a merry Christmas as we left. Unexpectedly, it wasn't too crowded for the Friday night before Christmas. Overall would come again."
Value for money,The lunch promo was very good value for money esp. on Christmas eve. Food was fresh and service was prompt. Lots of variety and sashimi cuts were thick. My friends and I left belly happy.
Mitsuba,"1. The quality of sashimi is good, though not very good and not many varieties
2. Overall, quite many varieties on the buffet menu, but only a few are nice, like tempura, grilled beef and some sushi, the rest are so-so.
3. The price is a bit expensive. If it can lower its price a bit, it should be very attractive to more patronizers"
premium buffet not worth,"brought my bosses and colleagues here. went for the premium, but food was of poor quality, no point going for premium buffet. out of all the premium buffet items, only the Hotate and prawns were good. wagyu was poor. if you really must come here for the sashimi buffet, just go for the normal one. Sashimi quality also wasn’t good, you have been warned."
One of the best Japanese buffet restaurant,Love their thick fresh sashimi slices. However that is not the only item on the menu that is delicious! HIGHLY recommended!
"Great food, great service",Really value for money if you are a seafood lover and go for the premium buffet. Food was fresh and delicious. Service was superb too - tables were cleared promptly and requests attended to swiftly as well. Pleasant dining experience. Will be back!
Nice Portion Size,Quiet ambience. Fresh food. Portion size just nice for 1 person. Attentive staff. Variety not as much for a buffet.
Worth the buffet price.,"Food arrived quite fast, and the pictures that you see on the menu is what you get. The sashimi was fairly thick cut and they didn't skimp on some of the more expensive items. Most restaurants would lower their standards over time if they get consistently big crowds, but this place is as good as it is 4 years ago."
"Good food, good time.",Went for bridal shower dinner. Ordered ala carte instead of buffet Cz my friends are small eaters. But we still had a great variety of delicious food served. And food was great. We had a good gathering. Time well spent.
Good experience we will go back,The sushi and sashimi quality were decent and portion was large. Waiting staff was polite and professional. We truly enjoyed our dining at Mitsuba. The buffet offers good value.
Dining @ Mitsuba Japanese Restaurant,"Was recommended by frenz to book for the Japanese Buffet. Restaurant is clean, good and spacious. Portion of the servings are good and reasonable. A small queries if the Chef can slice the sashimi at a slight thinner portion instead ? Cos the portion abit too thick and frenz commented like 烧肉 - feel qte ""jer Lak"" after having 2-3 plates (2pcs per plate). Other than that, the Staffs are friendly and helpful and explain well. Price wise are reasonable and will still recommend for Jap Buffet."
My favourite Japanese Restaurant,"Years ago it was started by one owner chef from the original and famous Wasabe Tei at Far East Plaza. Since new owner and management took over, it has maintained a very high level of service standard, and it has expanded its premises to serve more customers thus cutting waiting time. It has always been my favourite Japanese Restaurant."
"Nice restaurant, food was great","The slices of sashimi were thick. We had the buffet which made it worth. The other good was great too especially the beef, that was an unexpected surprise."
Buffet is Great!,"Fresh Sashimi and wide selection of buffet menu. Clean and spacious environment, staff was friendly and helpful. Service was fast too!"
