topic,review
Good hearty Italian food,It has been awhile since our last visit. The pizza and pasta are still as good as before! Had a great hearty meal and service was good too.
Meeting with Friends,The staff were polite and courteous. The food was delicious. I was able to catch-up with my friends and enjoyed my visit there.
"Lovely dog friendly restaurant, with extremely nice staff who kept checking in with us",Contrary to the negative reviews I had a fairly decent experience at this restaurant . Food was slightly above average and I thought the staff was really nice to check in with us on the food and wine. Agree that the pricing is on the higher side. However a generally pleasant experience and will come back here as they are tolerant to having dogs outside
Very below average,"I came back to Singapore to visit my family and we went to Mondo Mio for my farewell dinner. I remember that it in early 2021 the food and atmosphere was pretty chill and certain dishes were exceptional (such as the rissoto). I went there again recently and it had completely changed. The service was quite bad with very inexperienced servers who were quite awkward (the server didn't know the menu, they had to read out the food item as practice). The food? Expensive. Very average. The salad was extremely oily, the calzone was horrible, the signature pasta was bland and it didn't even come with parmassan cheese, we had to request for it. For deser I didn't want to be dissapointed so I ordered ""gelato"" which was obviously a very cheap ice cream that was very average as well. Overall I remember this restaurant being much better than it is today. If you plan to come here for a special occasion I do not recommend it."
Good food and affordable cocktail,Cocktails @ sgd 12++ i would consideraffordable given the location. We had a tequila and a pina colada both nicely done. I really liked my calzone ( more than Rosso vino's) and my wife equally liked the casarecce mondo mio suggested by Ganesh. We were full else i would have tried some other meat dish ( saving for the next time) - one improvement point it took more than 20 mins to wait for the bill. We will definitely come back
Soggy Bottom Pizza-Twice! and false advertisement.,"Beware of restaurants that have pictures of the food, not only throughout the menu but on the walls as well. I ordered the Capricciosa Pizza: the outside crust was burnt and the middle was so soggy that when I picked it up, all the toppings sopped off into a pool of undercooked mess. It was sent back only to get the same thing again. At least the cooks have consistency.
The wife ordered the ""fresh"" pasta bolognese as advertised. Definitely NOT fresh-made pasta. Didn't look fresh, didn't taste fresh. When asked, the waiter assured us that it was fresh... but then came back to say that it wasn't. We know Barilla pasta when we see it. Thanks.
Besides the food being falsely advertised and the crap pizza, the service was good until it was time to pay. I had to harang a few people for the check. No apologies, no discount. Not returning! Ciao"
Poor Start to a Singapore break,"We arrived on a late ish flight and fancied a beer and light snack for two couples. We ordered to pizzas at the same time with fries.
Both fries and our pizza arrived at the same time the second pizza some 25 minutes after, the pizzas were average at best.
To add insult to injury the average food plus two beers and a small carafe of wine came to £83. Exceptionally poor value and service"
First try at Mondo Mio,"Food is mediocre or below par for the price point, definitely not worth the visit if patron do not have entertainer app to back them up. The vibe and interaction between the service staff and client are applaudable, However, as we are seated near the open kitchen, with the kitchen staff shouting and hooraying on some football match on a phone during cooking session is really a bad start. In the end, our food served is over seasoned (too salty) and over cooked. We didn't bother to request for a change of meal as we thought it will end up the same since the cook (cant use chef here as they aren't professional) are all engage with the phone except for the Indian sous chef.
Not gonna be back even if its 1-1."
Awesome dining experience!,Awesome dining experience! The food is v delicious and their tiramisu is a must try!! Definitely will be back again!
Bravo lady 👏 service staff deserve applause.,"Came 4 dec Saturday around 2pm. Its was quiet and sunny day. But this lady staff whom she end her shift like 3pm , gave a memorable service even its my 1st time there. She willing strike conversations with almost any customer. She make this warmth afternoon so comfortable to dine here.. She create simple humour that keep conversations lively. She can be public relations to mondo mio..

Even the Italian owners or the chefs pass by us in and out of the restaurant just to smoke, they not even bother to look at us or even smile or acknowledge us..

Food wise was pizza affairs. Its was fragrant from the wood oven probably? Its has thick crust but was deliciously to munch suit my taste.. My friend did not fancy it. Its was generous portion.

Zul guess its the manager gave a obliging service to us..
No complaints though... chinese looking server and indian server was also ok.

Overall was pleasant experiences..

Stoat."
