topic,review
Good food and services,2nd visit to Mott32. Ordered the cny set. A bit on the pricy side but quality and taste of food are good. Only found the noodle dish in the set a bit too salty. They offered to redo the dish after we reflected it. Service staff is top notch too.
Expensive but worth it,Located in the MBS mall this is a branch of the famous Hong Kong restaurant. Possibly some of the best duck and pork I have had in a long time. You need to reserve a duck for your table weeks in advance but its worth the trouble. The dining room is elegant and the service was superb. It's really worth the splurge.
Great food and good service,"Peking duck is a must! We love the charsiu, double boiled soup, crab vermicelli and string beans best! (We have other dishes which we like too). Dim sum selection at dinner was a bit disappointing and wished they have more traditional desserts."
Best festive dining place,Most restaurants are either overly crowded and limited service and food selection during festive period. Mott32 manage to deliver same good quality and excellent service. Really make it a place for all occasions
Roasted Duck at perfection,"Loved every single bite - will come again!!! Service was great food delicious, cocktails amazing. Price is very ok for what you get"
Loved their dim sums. Worth trying,"Really enjoyed their dim sums so will need to try their lunch where they will have a much wider range of dim sums. Also enjoyed the cod fish and crispy noodles, as well as their different Chinese teas.
Service was good though not consistent between the different staff but overall they give their best.
Enjoyed their ambience too. Beautifully decorated."
"Great food, service and ambience!","Here the first time for a birthday celebration and we both had a great time. The food were all really delicious and of great quality, which justified the higher price point. Loved the black cod!

We were seated at a cosy area away from the bigger tables, but had zero issues getting the staff's assistance as they were all very attentive. They also served us a complimentary dessert for the birthday celebrant :)

All in all a great experience; would highly recommend to visit for special occasions."
Good in overall,"We had Peking Duck there. It was good, however if you want it, make it very clear at the reservation, as it is not always available. One star less, because the duck was served before the starters. Restaurant has nice ambiance rather expensive"
Exotic Oriental Experience,Great food. The Peking Duck is a must but need to reserve in advance…would recommend at least 3-4 days in advance
Must try!,"Great ambience. Food is really yummy and good. Good size in terms of portion of food. A little on the pricey side, but for the quality, it is still quite worth paying for."
Absolutely great food! Service exquisite. Different than what I have been used to,"Best Chinese restaurant, gourmet approach, Michelin star quality. Everything clean and very very carefully served. Need to book the Pecking Duck for my next encounter"
(Not only) for Peking Duck lovers,"Mott 32 is a very good restaurant and they serve an excellent Peking Duck. The appetizers we had were great too and their menu offers so many other delicious things - we definitely will come back. The staff was friendly and the restaurant has a good atmosphere. The Duck is worth the money - we never had a better one. We reserved in advance and this is recommended. The staff noticed that we were there for an anniversary and so a nice greeting from the kitchen came - a delicious Litchi sorbet (which was perfect after the duck) Its not a restaurant for every day - but if we could, we would be there every week - we definitely will use every occasion to come back and are very much looking forward to it. Thank to the Mott 32 team!"
Mott 32,Excellent food and ambience with impeccable services. The variety and matching of food with the tea exceeded expectations.
