topic,review
Authentic British food here,A proper Irish pub that serves authentic British food and of course draught stout. English football was on the TV of all the corners in the restaurant. The snapper. fish & chips were tasty and not to be missed was the beef stew pie.
Authentic Irish Pub,"Nice ambiance, Spicy chicken wings were delicious. A nice simple Irish pub, convenient but overcrowded I guess we picked the wrong night due to Thursday Triva Quiz night. Staff very friendly and obliging. Overall, just other crowed Irish Pub."
The best pub in Singapore,"Good prices for central Singapore (expensive to most tourists, obviously). Lovely staff , many working here for twenty years, which speaks volumes for this Sg institution. A proper kitchen producing high quality, calorie-counted food. It’s simply the best pub in Singapore 👍"
"Crowded, expensive, and unappealing",No tables available because they were filled with yelling and screaming foot ball fanatics not even eating a meal. Absurd priced for drinks two pints $33!!! Standing room only.
Excellant,"Located in a side road off the top end of Orchard Road. Location is a major plus and I believe it periodically has live music.

Service was excellant, waiters were very friendly and food was received quickly. When food arrived they were of a decent size, so much so that both of us had difficulty finishing."
Has outdoor seating,"The Fish and Chips is simply great! Filleted whole Red Snapper crisply fried. The beef pie is not reviewed here, but it is good! With a strong taste of stout deeply marinated into the large chunks of beef and plenty of sauce.

Staff are rushed off their feet, but still find time to see us as humans rather than just patrons."
Amazing Shepherds Pie,Better than my Gran used to make. Very hot and wholesome traditional food. Tasty and full of flavor. Washed down with a perfect Guinness
"A proper pint of Guinness,","A proper pint of Guinness, a delicious Sunday Roast, what more can you ask for the day you’re released from quarantine. Very nice time with friends."
Sunday Roast a decent deal,Ok. It’s a pub so it centers around the bar but the food is decent and you can get decent pints on tap for reasonable prices in Singapore. We had the Sunday roast set meal which was yummy.
Like old times.,"Been here many times over the years and it's always been good, the staff are nice and the foods good. it's much better now that it's moved back to it's old location."
Nice quick pint,"Nice quick pint, fries and bread. All were delicious. A nice Irish pub, convenient and quiet. Not much more to say really."
Smoking in the covered area in prohibited smoking area spoils first class food,"I am currently sat in Muddy Murphy’s. We’ve just had a lovely meal spoilt by the party on the next table smoking throughout our meal. It’s a clearly marked no smoking area!!!! It’s illegal to smoke in public areas in Singapore, but despite us eating the party were not challenged?? The food is first class but don’t sit outside in the covered area unless you want food spoilt by selfish smokers !!!"
Enjoyable,"Everywhere in the world you will find an Irish Bar. Muddy's is just one in Singapore but popular. Next door to the Orchard Hotel inside the small shopping mall. Friendly service, good food at reasonable prices and sometimes live music. Recommended."
Smokers in a No Smoking section. Waitresses ignored it.,"My family and I just finished eating at Muddy Murphy’s tonight. While the food was very good, there was a group sitting next to us who were smoking. There was clearly a ‘no smoking’ sign posted in the area. We complained to the waitress but the waitress just said “I’m sorry” and smiled and walked away. Two other tables ended up complaining and moving because the waitresses would not enforce their own rules. I was hugely disappointed in the waitresses behavior. I thought Singapore was a law abiding country?"
Medium choice... not something special,"The salad was ok.
The steak was small and not that good.
Apple cramble medium...

Overall it was something quite medium...

The are other options that are better in this range of money..."
At least Dick Turpin wore a mask!!,Very busy but EXCEPTIONALLY expensive. $16 (£10) for I pint of TIGER! Trust me- I'm going to make it last...
Irish (?) Pub,"Well... coming in to Singapore on Sunday late night that was the best option for a beer and a snack just downstairs of the hotel.
Being European I didn't really look for Irish pub but.. it did what it was supposed to do.
Nothing to complain and nothing to wow over."
