topic,review
ADK team building lunch,Food was yummy yummy. Prawn curry was really nice.Had a good time bonding with my colleagues. The Naan was nice.
Totally delicious!,"Moist Brown chicken tandoori (no artificial coloring), love the presentation of prawn curry in the coconut, happy place!"
Not as good as it was,We've been here twice before on our way back home to Aus and loved it. This time however we were very disappointed. The quality of the food was not to the very high standard we've previously enjoyed. My wife noticed our order sitting on the counter going cold before it came to us. Service wasn't great either.
"Wonderful food, warm friendly service in cosy restaurant. Must visit.","Fantastic Bengali dishes beautifully cooked. Wonderful complex flavours. Chef skillfully uses the palate of spices to produce excellent dishes.
Great advice to guide you through the more unusual Bengali and Punjabi dishes which are very special.
Lovely cosy room enhances the special experience.
We will visit again and again."
Cannot speak more highly of this restaurant!,Fabulous cuisine and service. Loved our night here : I like the way to order a few entrees and mains for us and we were seriously not disappointed. I cannot speak more highly of this place.. we BYO’ed a nice bottle of red and this exquisite dinner was only $120!
Truly from Bengal,"Did a takeaway to celebrate the birthday dinner of my friend , who comes from Calcutta

Right from ordering (Meera on the phone was attentive with great advice ) to picking me up the order , the whole experience was outstanding

Maacher Paturi, Kosha Mangsho and Amer Chutney . The feedback given by my friends on these dishes as I am a vegetarian was simply outstanding and a BIG THUMBS UP !!!!"
Pretty satisfying indian cuisine although portions are not always consistent.,"We often opt to get our orders delivered. On good days, Mustard is generous with their portions but on bad days, the delays and reduced portions can be frustrating. Wish they would just stick to some consistency... of being generous:)

Apart from the issue above, this place serves tasty, delicious, unpretentious grub. They're big on taste here so move along if you're watching your salt and oil intake. It's the very reason we like what they whip up most times.

We find their signature punjabi dishes rather too spicy but once you know that, either steer clear or dive in and brace yourself. The dals are rather too watery too.

Our pet faves are their lamb and prawn curries. Can't go wrong there. Prepare a good portion of rice, prata or noodles at home and you're all set.

Just know that breads don't pack and travel well. Best to eat at the restaurant itself."
When Indian food is on your mind…,Great experience… food is delicious! We tried a few times and most times we ask the waiter for recommendations just telling them the type of meat/spice we look for! Always great suggestions!
Twice a week at Mustard makes Singapore life happy!,"In my mother's village, you could stop by any home and they would serve you delicious home-cooked food. Those times are gone, but Mustard is still here. Dishes that I never found anywhere in the world, and the joyful warmth of service makes me feel I am back at my mother's village home. I tried every Indian restaurant in Singapore, Mustard is #1 in food, service and value. Food you can be thankful of receiving twice a week!"
The best Indian in Singapore!!,The best Indian in Singapore!! Small quaint family fun restaurant! Service is amazing and the food is Devine. The quality of food has been consistent over the last 10 years (this says something for singapore) consider it a crime if you have not been!!
Surprising Enjoyable Dinner,"My friend invited me & another friend to dine in Mustard. It was my first visit trying punjabi & bengali cuisine.
We ordered
#1 Onion Bhajia
#2 Damodar Chingri (cocont prawn curry)
#3 Kadhai Paneer (cottage cheese)
#4 Bhindi Masala (lady finger)
#5 Kosha Mangsho (boneless mutton)
#6 Begun Bhaja (pan fried egg plant)
#7 Naan
#8 Mango Lassi

Due to my vegetarian diet, i had enjoyed the above vegetarian dishes as it was pretty authentic with balance flavor.
However the egg plant was a bit oily & did not have the crispy texture.
My friends have enjoyed #2 & #5.
The prawn curry is Mustard's signature dish & crowd favourite.
The mango lassis was intense with milk & yougurt flavor.

The restaurant was rather small & it is recommended to make reservation in advance.

I would like to visit again for other vegetarian dishes.

Regards
ML LEONG
SINGAPORE"
Awesome Awesome,"This restaurant is something of its kind
Chef Bijay is one of the most accommodating Chefs I have come across.
The mustard Chicken is amazing coupled with the Achari Chicken and don’t forget the Kosha Mangsho if you’re not a beef lover Chef can make a Chicken Mangsho
The puris are like having a foodgasm it melts in your mouth with the the food
Having had a wholesome dinner we were done
But were surprised with a round of homemade kulfi and being so stuffed, my wife and I couldn’t get more of it after the first bite"
Good ambience and food!,"Mustard is good for any occasion! Birthday, anniversary, etc. We came here for our anniversary lunch after exploring the Mustafa Center in Little India. There are many busy restaurants nearby that also looked delicious and with long queues. So it was nice to have the reservation set at Mustard. The food was some of the best that we have tried."
Excellent Bengali food.,"The food was awesome, authentic Bengali fare and service was attentive and efficient. Highly recommended."
Well balanced flavours,"I had prawn in coconut gravy served in a coconut, mustard fish wrapped in banana leaf, jeera rice, salad and garlic naan. Flavours are so well balanced. Yes it's pricy but the food is of quality, service is amazing and ambience is cozy."
"Homely, cozy, warm and delicious food",The staff here are amazing. They go out of their way to make you feel comfortable. The food is delicious... beyond words. It is owned by a lady and you can see it has a special touch. One of the very nice Indian boutique restaurants on Race Course Road.
