topic,review
A real curry,"Fantastic, I’d forgotten how bland our uk curry houses make the food. This packed a real punch. Chicken tikka masala was delicious as was the Aloo Gobi. Fresh coconut milk for my drink. I will be going back."
Nice Indian cuisine,"Had some time to spare following a business meeting and waiting to do the ‘three rounds’ on the Fountain of Wealth opposite.

Nice restaurant with a free flow of popadoms. Chose a couple of kebabs and rice between two. Good flavour and although we were there for almost two hours there was no hurry to leave from the staff - restaurant not too busy as many of Suntec staffers still working from home. Nice place for lunch. Not overly expensive."
Good restaurant,Authentic Indian restaurant with good food. appreciate that they have tender coconut as well. will visit again.
Much hyped regarding authenticity - but eating their food here in Suntec tells you otherwise.,"Maybe once the ( apparently earnest & maybe excellent) cooking at Muthu’s was the real deal— alas no longer.
The re-cooked tandour chicken ( quite expensive $14++) was mostly dry & barely warm....the Black Daal weak in flavor & not ‘rich’ as it should be & therefore just so-so...
Better was the Palau Paneer & curiously the finely achieved Curry Mutton quite lovely.
Part self service, the operation here isn’t a particular nice experience & certainly isn’t worth the money.
Forget it."
Eeks - - $3 per customer for rice,"Each person is charged $3 for white rice (or $4 for biryani). That makes this place really pricey -- most places charge $1 a bowl or $3 for one large pot to share among everybody.

One dish and one rice per person is $20 / head -- which is a little too pricey for an everyday meal. Food was good -- fish curry had 2 pieces of fish, and chicken curry had a nice charcoaled flavor.

You will definitely leave full because of the free-flow of rice. I don't like carb overload, but you won't starve.

I would maybe take out-of-town guests here, I think most locals would feel ripped off. (I heard another table also questioning this rice policy)."
Standard Has Dropped,"Came here for dinner and had the fish head curry. The curry was a let down for us, not spicy at all, they used to be spicy. Only good things they having going is the free flow of papaddum which many places have stop and the service standard is still good. Also free flow of rice and a one serve of complimentary cabbage and brinjal"
"Casual restaurant, tasty vegetarian","We arrived at this restaurant as walk ins while traversing the Suntec building. We had no prior knowledge but high hopes, and it did not disappoint. It’s a large dining area with warm woody decor. The naan is light and crispy. our spicy potatoe cubes and Paneer in Butter sauce were delicious. Prices are reasonable and we would definitely return in future when we are in Singapore. Good casual Indian food."
It is what it is,Basically it’s a quick Indian delivered with dispatch and not too bells and whistles. A mutter paneer and vindaloo were fine for a quick lunch.
One of my all-time favourite,"Muthus Curry is one of my favourite restaurants in Singapore for Indian Cuisine. Recently, the egg fried rice became my favourite. Their Mutton Vindaloo and Aloo paratha are my personal favourites. Biryani is quite similar to other restaurants. Aloo paratha is so thin and mildly spicy, mutton fry is also very yummy and not overly spicy. Kebabs are nice but I find it dry. Chicken fry and curry are subtle and never hard on stomach. I strongly recommend this restaurant for Indian non vegetarian cuisine lovers."
Authentic South Indian food,"We ordered the fish masala, chicken chettinadu and tandoori rotis. Every gravy had a different taste which is great! Free flow of pappadum and water to drink which was a plus. Our fav go to place for South Indian delicacies when in Suntec City!
The picture is proof- we remembered to click only once we finished the scrumptious meal!"
Good food,"Comfortable seating, good ambience, good food with free flow papadum and water (self service).

Ordered briyani rice ($4), white rice($3), butter chicken ($13), small curry fish head ($22) and garlic naan ($4).

The rice is free flow and comes with small side dish of eggplant and cabbage.

Butter chicken is really good!
Curry fish head is their award winning dish, it’s sour and bit of spiciness. A small curry fish head is good for 3 pax."
Good curry and great service,"Fish head curry was good, no complaints. Portions were decent sized. We ordered a small size and we couldn’t finish it! Chicken tikka masala was very good, would come back for that! We loved the garlic naan as well There is also free chips and self serve water. Also love that they are straw free! Servers are very friendly as well"
Curry fish and muthu’s chicken chukka,Super good ;) and friendly serviceeee !! Curry fish and chicken chukka !! The customer service is also great here ! Friendlyy and definitely will visit again!!!!
Recommended,Portion is just nice.. free flow of crackers & white rice.. Good.. My first time here.. Price affordable..
Good food!!,Good environmient giod with family amd friends Butter chicken nan reasonable price Weekend good crowd
Great food and ambience,Great food and ambience. Recommended restaurant in the heart of the city. Will be back in the future.
Muthus curry visit,"Awesome ambience,good service and awesome fish head curry. Makes you come back for more every single time."
Straw freeeee!!,Enjoyed the butter chicken and palak paneer. Was able to try their lamb w pineapple and it was surprisingly tender! Very happy to know they already went straw free when the mango lassi came
Food is good,"We ordered the fish head curry, which is the signature dish of the restaurant. The fish was fresh, would come back again."
Lunch,Free pappadam. Pls come. Nice lunch and good ambience. Good customer service. Clean and hygienic....
Authentic Indian food,"I have been a regular patron here as it is not far from where I work. Affordable, clean, authentic Imdian food.
The Fish head curry is a dish you won't want to miss!
Good selection of veg and non veg dishes and very popular among locals. Free flow pappadams.
Food for every taste buds from low spicy, vegetarian, spicy to kids friendly."
Best Lunch ever!,They always make you feel at home! It’s an excellent lunch spot to be in! Bring your family here with no regrets...
Great service and great food!,Their fish head curry is a MUST TRY! Everything we ordered was great! & they have friendly service staff too!!
Good food great service,"The service is excellent, we’ve always enjoyed our experience at Muthu’s! Try the cottage cheese, both are good"
Recommended!,Great food and will definitely coming back! Eat all you can pappadum 😃 must try the spring roll. Good service and friendly staff.
Great food!,This is my second visit here and the quality of the food has been consistently good! Very tasty food.
Always a delicious dining experience!!!,We have been regulars here for a while and the place never disappoints! Food is served piping hot and each dish has a unique taste! The staff are pleasant and friendly and make sure to remember your favourite dishes too! Highly recommend to anyone in or visiting Singapore!
Delicious food,"I come here at least once a month! Delicious food! Professional service and cool ambiance My favourites are Nan, chicken tikka, palak paneer, pistachio kulfi. Will be keep coming back!"
Best Family Dining Experience,"Our family of 15 came to this restaurant to savour some authentic Indian cuisine. Not only was their curry a tantalising treat that teased our tastebuds,the service of the staff was also exceptional.10/10"
Fish head curry,Good customer service by staffs who come to check with us on our food & ask if we need more top up for rice/vegetables. Crispy spring roll. Nice Fish head curry.
Best indian food in singapore,Fish head curry is the best. Must try. All kinds of lovely indian food. stir fry Mutton is 2nd best.
"Excellent service, good food",Brought our helper here for her birthday dinner and they gave us excellent service! Food was quick and delicious and everyone enjoyed themselves!
5stars,"Good and Nice Food! Good portion of food, no wastage. Friendly Staffs! Nice ambience. Vibrnt energy."
Birthday Dinner,Good food & service! Friendly staffs & pleasant environment. Definitely return back again for the Curry Fish Head!
Great veg and Non veg food,"Chicken Tikka masala and tandoor paratha are the best, recommend. Nice ambience and service is also fast. ."
Review,Food and quality of service is excellent. Restaurant is clean and has very good variety of dishes available.
Value foe money,Good food at decent prices. Everything was good except the mutter paneer which was a little sweet. But everything else was great.
Food,Excellent and good service. Waiter served the food very quickly and was very satisfied wth my food thank you so much.
dinner,"The food is yummy and traditional. The food is also served hot, with good service. Really does recommend to tourists."
Arun,"Very good restaurant, friendly staff and food was delicious .. Will come again with family and friends.."
Lunch,It was good lunch gathering. Place is big and food serving is generous. Fish head curry is great too.
Good Indian Food at Suntec,We ordered vegetarian dishes which were well made. The Tandoori Rotis and Paratha were crisp and nice. The staff were very hospitable and warm.
Pleasant visit.,Staffs were considerate and relatively fast in service. Most of them were kind and that brings a good atmosphere.
Casual,"We had a great experience at muthus curry, their Food was good and the service was great... I recommend this restaurant to my friends"
Muthu's curry review,"This is a great place for a nice Indian dinner. Very cosy, ambience was great, food was great and staff is friendly."
Celebration birthday,"Food nice , staff friendly Especially friendly manager Thanks for the service Especially chicken briyani is the best"
amazing food,"To all dear patrons, the butter chicken and garlic nan is fantastic! it's a must try when you visit!"
good food,"It was very nice and delicious. Unique experience. They have very traditional and good Indian food that’s surprised me. They even have the food eat on a big green leaf which is very fun, traditional and environmental-friendly."
Mr,Veryy Awesome food and service by muthu curry. Excellent variety and authentic indian food. Highly recommended
"Good fish head curry , limited options for veg (jain)","WE went for lunch. for non veg eaters it was a treat but for one fried who was jain, didnt get anything to eat practically. Fishhead curry, chicken tikka, squids fry and prawns 65.. recommended Service quality has scope for improvement."
