topic,review
AWESOME EVERYTHING,The guys welcomed us like old friends and we adored the place. So friendly and delicious food. We had a wonderful connection from France and I shall be a regular visitor when I’m back in Singapore for my show in 2024.
""" Awesome"" experience.","Love their story. Laugh, Dream, Clap, Share, Forgive, Celebrate & Love.
Vibes and friendliness amazing. Food was the best, especially as we were craving vegetables and wholesome food. Loved the Protein Shakes and the Prosecco Spritz's. Franck and his team were Awesome- attentive and helpful and happy to take photos too !! You must visit this Cafe when you are in Singapore. Sue & Grant"
Love this cafe!,Fabulous restaurant and wonderful experience celebrating a family birthday. Extra special and perfect ambiance. Gluten free and vegan options.
Thank you Jolynn for your great service today (28 Dec 2022),"We walked in and met Jolynn. She helped us to get a table even though we had not make any reservation.
I like the way she served us. First to check if this is our first visit. Then shared with us the signature or recommended dishes. She gave us ample time to consider before coming back to take our orders.
Great service. I will definitely be back.
Happy Birthday Jolynn :)"
Awesome- all the way!,"Right from the WhatsApp booking, you could notice the warmth and friendliness of the place. The setting was awesome, the food was even better! Highly recommended!"
"Festive Decor, Great Service and Food","We had a lovely lunch with friends at this hip and awesome place on a busy weekday afternoon. I loved the vibe which was lively and festive with all the colorful decor. It was bustling with so many patrons filling the whole restaurant, but that did not take away from the timely service and friendly interaction with the staff. We had a delicious pumpkin salad, perfectly spiced shrimp curry and the best pineapple cake we’ve ever had. I’d love to be back with more friends and my young adults kids whom I know would love the place!!"
a awesome place!,"Good food, welcoming atmosphare and really friendly staff!! anytime soon again!!! and so good to see that you are still open and in buisness after pandemic!"
Cool place with nice beer,"Came here on a hot evening for a quick break and a fresh beer. The beer is delicious, the staff friendly & attentive, and the decor really great. The whole place has a great vibe. It's a bit on the expensive end, but frankly we had a great experience.

The burgers look amazing too."
Truly Awesome,"This cafe is so awesome. The food was amazing, the drinks were amazing, the staff and the service were amazing. This cafe has the formula right. We will definitely be back again and again. We had an awesome time."
Good food & ambience,Tried this place on a weekend morning and it could get really busy by 11am…. The bread was of very high quality and I was quite happy with the duck burger. They have taken extra efforts in making the decor stand out from other cafes.
Still One of My Favourite Cafes in SG!,"Ever since it's opened in 2014, it's been one of my favourite cafes to bring new friends to or even for a nice quiet meal on my own. My office was at Ann Siang previously so it was walking distance to the cafe. I have since moved on to another industry and office for a few years now, let me tell you, the quaint, rustic and authentic, albeit quirky vibes have not changed these 8 years.

Brought my French friends whom I've just met during my Thailand trip couple weeks ago over to My Awesome Cafe for a nice French fusion treat two nights ago (cos they said they miss French food so much after travelling in Thailand for 2 months) and THEY HAD A HUGE BLAST!

Franck and the team were wonderful and food was great as always! That said, I've been waiting for years, please bring back the Duck Rillettes, Avo & Pesto into My Awesome Salad if you guys can! >.< That combi was just absolutely awesome! <3

Quick Facts: This cafe was transformed from an old shophouse, which was previously the Chung Hwa Free Clinic and is now filled with vintage furniture and bits and pieces from the past.

If you're looking for a really cool place to chill that has great food and drinks, and mostly importantly awesome people and vibes, this is it!"
Thanks Kumar,Really happy with Kumar’s recommendation! really nice and did not fail me ! will come back ahain for the beef burger ❤️🫶🏻
Uniquely different !!,"Came with two of my girlfriends for dinner tonight (10/5/22). First time for the three of us!! Such an awesome experience - totally impressed with the top notch service - they go the extra mile to make our dining experience a memorable one!! When trying to divide our acai dessert, I spilled one scoop on the table, without any prompting, Sue immediately came to the rescue and readily offered to replace that scoop. Thankful for her prompt remedy. Also today was another staff Abigail’s first day on the job but she was so helpful and knowledgeable that I thought she was a long term staff! . Anothe staff Debbie explained the menu so well and we were so glad to have taken Her suggestion for all our food and drink items!

Salmon and duck main course were good and portions were huge!! Drinks were healthy and yummy!! We will be back again soon!!

All the best
Fiona"
Staff to compliment for Priya and Kumar,"Nice environment. Love the place a lot, quite chilling. Good staff service as well, especially to highlight, Priya and Kumar very polite and friendly. Will come to visit again, because of their sweet welcoming, just like a home."
Favourite cafe in Singapore,Excellent healthy food and wonderful staff and people. The decor of the place makes it unique and you are always greeted with a smile. Top recommendation in the area.
Very good Experience,"place, food, welcoming...all is really good Specially the desert ; fondant au chocolat and coconut ice cream"
So enjoy ，nice food ，nice place,the food is very nice and the drinks （ Lychee Mojito） ( Long Island Tea ) made by Donald are super good
Awesome Cafe indeed!,"What a delightful place this is! Delicious food, served with a smile and good conversation. The portions are very generous and the menu very extensive. The ambiance and decor are charming and whimsical. Would highly recommend for a weekend brunch or a weekday coffee. Contact them via WhatsApp for a reservation."
The name says it all.,"This place is one of my go-to venues as it never fails to deliver. It always has a great vibe and atmosphere, not to mention fabulous food and staff."
Brunch,"Exceptional service by Kumar. Enjoyed my time and the prawn curry was nice ! If you can ask for the dark cubicle in the wall, nice and private and cosy ;)"
Awesome,"The best place in singapore with awesome drinks and huge portions of platters the decorations will attract u and the food will make u happy I can’t admire this place in words special thanks to jassie, Franck , bong, suresh and the whole staff you all are awesome
Awesome cafe will be awesome forever
You guys r in my heart :)"
