topic,review
Experience the darkness,"I went to Nox with my family and had an absolute fantastic time. Eugene, the manager was so friendly and accommodating. Kyla the hostess was amazing and was so helpful and friendly. My server was Kevin was very funny and served us 12 courses of delicious food. It was truly an experience unlike any other I have ever had. I will definitely come back and try the ever changing menu. This is definitely not to be missed!!"
NOX is an amazing experience and great food!,Kevin did a great job serving us at NOX. The food was great & the experience was wonderful. Will definitely come back and eat here again!
Everyone should try this!,"Visited Nox with my husband and it was an amazing experience! You get to dine in pitch darkness except for some small rings of red lights on the ceiling from ?security cameras and the occasional opening of the door with someone entering, but these hardly affected the experience.

Halimi was our server and he was fantastic! Very cheerful, funny and inspiring, with excellent service having worked at Nox for the past 10 years. He was able to give us clear instructions and answer our queries, and made us feel comfortable.

It was great fun feeling around for cutlery, food and glasses, and guessing what we were eating through the flavours and textures, and then confirming our findings after dinner when you are shown pictures of what you ate, and informed of the main ingredients.

Would recommend that everyone experience this if possible!"
Amazing Experience,"The experience really blew my mind. Dining in the dark was a little frightening at first but our server Bernard gave us great assurance and settled us down comfortably. He guided us clearly where each items were and attended to us whenever we needed help. He was also very humorous so that helped to calm my nerves. The process of guessing our food while eating in the dark was also very novel and a very fun process. Overall really love the experience, more people should come and try it out for themselves, it will be a very memorable experience."
Amazing. Best thing we have done in singapore.,"The most surreal experience I've ever done. When it says dine in the dark, it really is! You can't even see your hand in front of your face. You get 3 courses with 4 bowls on each plate (course) and you have no idea what you are eating until the end. Maybe not the thing if you are an extremely fussy eater but it is a lot of fun & the food was nice. The staff are friendly. Kevin was our waiter and he was great. I would 1000% recommend this to anyone visiting Singapore. Thank you for a fun evening"
"Amazing, out-of-this-world experience!","The service rendered was excellent from the get-go. They were careful about our special diet requirement (halal meat, no pork, no lard, no alcohol) over the phone and in-person when we were at the restaurant.

We were served by Halimi throughout our course. He was witty, knowledgeable, (really) patient and truly inspiring. He shared his life stories with us and I truly felt humbled to have cross paths with him.

I will totally recommend NOX, Halimi and Bernard to everyone I know. =)"
❤️❤️❤️,Had a marvellous time at NOX. Our hosts were Bernard and Halimi and they took such great care of us. It was definitely intimidating in the beginning when we were in total darkness but they reassured us & gave us an unforgettable experience. They were extremely lovely & were super attentive. The guessing element made the experience even more fun. Will definitely be back and thank you to the entire team!! ❤️❤️❤️
Amazing Experience at NOX,"Had such an amazing night at NOX with our hosts Halimi and Bernard! Halimi was so engaging and my friends and I had such a fun time communicating with him throughout the night. Food and drinks were delicious too!

Thanks so much Halimi and Bernard!! You guys really made our night. We’ll be back for more! ❤️"
Definitely an experience,"Came for the experience of dining in total darkness, and boy, was it really an experience. Halimi and Bernard were awesome hosts! They were funny and inspiring, and definitely entertaining. Must come for the experience."
Just a brilliant evening,"We had an absolutely lovely evening with Bernard and Halimi. It was such a pleasure to experience Nox, because it was really not just a dinner, it was a full experience on so many levels. Thank you to Eugene as well for creating a good part of the magic."
