topic,review
"Chill, casual eatery with all the standards for brunch and lunch","Trusty standby in orchard road area with an ""everything"" menu for western style brunch and lunch. In keeping with their ""something for everyone"" menu, they offer a variety of seating : inside or outside, bar height or regular height tables, communal vs individual tables, Very friendly staff. My only gripe would be that the food for the table doesn't arrive together or in any particular sequence, and some requests (e.g. for ketchup, more drinks) need to be made 2x."
Overview,"Best food I had in a while, brought my friend here and just realised how nice the atmosphere it is; how nice the staff is. Always went for my usual orders the chicken pesto panini with sweet potato fries. Muah! Chefs kiss"
Nice food but pricy,"Had breakfast on Christmas Eve. Nice food but a tad pricy, $30+ per pax. Service staff were ""busy"" and tend to not at customers. You have to walk to them to get their attention. Note the place was only half full. Good for occasions."
delicious and happy!,"foods are nice especially T-bone steak is tender and tasty. prices are reasonable. we enjoyed the night. special thanks for Mr.Denzel, his warm hospitality made all of us happy, thank you Denzel!"
Great food,"Great food for a get together. Just a little feedback, lower music for better conversation with friends"
Tasty bite,"My go to Cafe in Singapore for the past 5-7 years. Superb eggs dishes, particularly love the shakshuka, eggs Benedict, waffles & the detox salad. The salad in particular is superb, with fresh ingredients including avacado, mixed greens, a variety of nuts & a delicious tangy dressing. My family love the Ag Li og Lio here, with the mushrooms. Also like the truffle fries. Mostly everything on the menu is good. The place is definitely worth trying."
Love @ 1st sight! :p,"Simply love this place when I first patronized on 04/11/2022 with friends and have repeated visits on 16/112022, 24/11/2022 and 09/12/2022 haha...the staffs are friendly, food are yummy and great atmosphere."
Good place for a good meal,"Our server was warm annd friendly. Because I was using the Chope voucher, she helped to check the price of food we ordered against our voucher value. Appreciate that. Food was delicious. Love the sweet potato fries and dipping sauce."
A great time!,It was my birthday and I wanted to spend it with my partner as a good time but on a budget! Looking at their reviews it was certainly worth a try. Came on a weekday afternoon for their dinner service and was pleasantly surprised at cosy rustic decor and my partner was pleased with the choice of music played. Ordered the Porterhouse that came in huge serving enough for two and the pumpkin soup was the highlight of the meal
"Decent food, poor service","Had lunch here with a friend. The food was quite good. We ordered the Cheese Crusted Steak Sandwich and the Hot Reuben Sandwich.

The service, however, was quite appalling. Staff generally did not care about diners. It took a long time for us to order. Also, the timing between dishes was ridiculous. My friend had finished her sandwich and mine still didn't arrive. We tried to get the service staff to check, but they were talking among themselves and did not look at the customers in the restaurant.

I wouldn't recommend coming here given the poor experience we had."
Not horrible but not good,"We ordered pasta, pancakes and pizza. The only decent dish was the pasta. Out of the 3 pieces of pancakes, 2 were pale and undercooked. Pizza crust was dense and hard. Would not go back again unless for their apple crostata."
Delicious food,The food was really good. we somewhat ended up ordering 3 dishes with bacon and enjoyed all 3 thoroughly. The service felt slightly lu slow seemed due to short on staff.
Nice place for friends get together,"Nicely located, nice decor and small car park available Mix of all, bakery, finger food, bar etc, nothing favourite though so far for me"
Service & Cleanliness,"Service was alright although we had to repeat our request for children's cutlery to several wait staff as each one of them seem to have forgotten our request. For some reason, the floor area was sticky that day too."
Going downhill,"It used to be one of our favourite go-to restaurants. Food used to be delicious, portions satisfying, service never a star, but decent. Went there Friday evening, was practically empty, guess other customers tried a ""new menu"" or is there a new chef?

Fried calamari tasted like they were kept in fridge and warmed up. Not good. Quesadilla were soggy and running. Chicken was almost underdone and so bland, not even a drop of salt. My wife's rack of lamb was overdone and, on top of things, only 2 chops were on the plate, in the past they used to put 3-4, and now only 2 thin ones and, once again, tasteless. We left without trying dessert.

What a shame, how quickly it went from very good to never will return there...."
Blissful dinner,Tantalising and yummilicious good food. The male server missed out my son’s Mac and cheese and he had to wait for 1 hour and 15 min to finally dig in.
Great Restaurant,The food was lovely and family friendly. The restaurant was clean and staff were friendly. The location was easy to find.
Not recommending or going here again,"Never going or recommending anyone. We used to go to this place coz it's dog friendly but our last experience was really bad. The food quality has definitely gone down. The bread basket came up with dry bread unlike the usual soft buns and when asked for that since I saw other people still eating those buns, I was told they ran out. We ordered bacon as an add on which came almost 15 mins later after 2 reminders when the main was already cold. And ofcourse the staff never bothered to come outside so I had go in twice to remind them. This is despite the fact that I paid first as I wanted to make aute the staff keys in the order coz in our previous experience they have forgotten orders. On top of this, mocha came with what felt like cheap really awfully sweet chocolate syrup and when I wanted to highlight this to the staff, they were talking to me over another customers head standing with bad body language no smile which I think is really rude. The staff hardly smiled which shows their motivation to work at this place. And lastly, the table and the area underneath were badly maintained. I understand this is restaurant known for experience n ambience, atleast make sure the tables aren't rusty and rickety. Overall, bad experience!"
good food and coffee,"location not really convenient but it's worth the visit. food portions are generous. ordered a Nutty Salad, Poutine and Lala in white wine garlic butter. coffee was great. used a $35 for $50 voucher."
Nice ambience with good food,Enjoyed ourselves in good food and nice ambience. Tiramisu is fantastic. Would definitely order it again. The cost of the food is on the high side as the portion served was lower than expectations.
Lovely breakfast,Went there with a colleague. Service was great and food was tasty! Ordered the eggs benedict and love it! Very comfortable seating. Carpark is convenient.
