topic,review
Unique and Outstanding experience in Singapore!,"This place is really fantastic !

The food, the drinks, the ambiance, the people involved in the service … we were so, so impressed!
Gives you the vibes of a sky bar, but at the same time, keeps you connected with the modern and unique concept that they have.
Perhaps that is why they have this name “Neon s Pigeon” :)
Hats off to Duke and to the entire staff that made our experience so very memorable! Well done.
Looking forward to return."
Cool bar,"Cool popular place. Prices around 50EUR pp with some drinks. Service is good, food is quite nice. Good for Sunday dinner and drinks"
Worst Service Ever Experienced in a Restaurant,"Food was pretty good but unfortunately negated by the worst service I have ever had in a ""restaurant"". Was never sure who our server was and sat for most of the time without drinks and a glass a water that was only filled once. Had the tasting menu which had some delicious dishes but we were never served one of the dishes and some of the items were served out of order. But honestly, by that point, we were full and had frankly had enough of the non-existent service.
They had a special event (on which I get), but if you're not going to pay any attention to your guests who are willing to pay, then don't accept dinner reservations, or at least have wait staff who will work instead of partying and taking shots."
Great service and atmosphere ut high prices,"Entering Neon Pigeon is a good experience.There is a vibrancy and buzz to the place and the staff are helpful and friendly.We had a table booked but the staff were happy to move us to one in a corner which we preferred.(Incidentally the staff all seemed to be non-Singaporeans and certainly Singaporean themselves do not have a good service culture).
The much heralded cocktails were good and the knock-out we had heard about.
The food is interesting (we believe the chef from New York was there that night) and tastes good.However the pricing is high:for instance Miso black cod at $39 and smoked leek at $20.
For me the biggest negative was the wine-list.The cheapest wine was $95 and the rest of the small selection were very expensive and very uninteresting.It's a bugbear of mine here where many Singaporean restaurants do not allow corkage but offer only ordinary wines at very high prices.It is rapacious price-gouging as there is no value added by themselves.I'd recommend diners to stock to the cocktails and forget the wine.
We left feeling well fed and with a good buzz, but not feeling we got value for money."
"Impressive customer service, and creative, flavourful food","My friend and I had a fantastic dinner at Neon Pigeon last night!

I was most impressed with the service, including Belinda and JP in taking the time to reply to my emails beforehand, and for someone who took the initiative to share my requests regarding the beef short ribs with the chef, who went out of his way to prepare us a smaller portion of the new Japanese beef short ribs now on the menu, knowing we wanted to try this dish but were worried about the size being too large for two people. It blew me away, that level of thoughtfulness and customer service is truly impressive and one of the reasons I will keep returning. The service was great throughout the evening, we loved that the chef took the time to come out and explain the dishes to us, and make recommendations about the size and number of dishes to order (spot on too, we had just the right amount of food). The rest of the servers were equally attentive and helpful, refilling our water, checking on our drinks and clearly plates promptly.

We also weren't rushed out at 7:30 when our table was meant to be returned. Even though we knew we had a 90 minute dining limit we only noticed at nearly 8:00 that we'd been allowed to stay longer as the table wasn't yet needed at 7:30, which we really appreciated, to have that extra time to visit.

And the food! So good! I've always loved the food at Neon Pigeon, and once again it was fantastic. The pork and langoustine dumplings were awesome, stuffed full of meat with thin, tender wrappers and that amazing curry sauce, and the truffle mushroom rice was incredible, so rich and absolutely packed full of so much umami mushroom and truffle flavour. And the highlight was undoubtedly the beef short rib galbi. The beef stole the show, it was a great cut with just the right amount of marbling, and cooked to perfection, unbelievably tender. The sauce was divine, with just the right amount of sweetness which worked perfectly with the pickled veg, and the steamed buns were warm, fluffy little pillows of goodness, which your chef happily topped up for us when we asked. The drinks were excellent too, my friend enjoyed her cocktail and we both enjoyed our wine.

So once again, Neon Pigeon has lived up to my expectations. I will be back again soon!"
"Good food, even better cocktails","Visited with a group of girlfriends in April for lunch. Enjoyed all our cocktails and lunch dishes! Recommendations given by the server was spot on. Lively ambience, great music."
Amazing staff and drinks,We did the brunch and the staff were so accommodating. The drinks were delicious and the food was great. Would highly recommend!
"Portion was small, average food","Staff seemed confused when we asked about the sake taste, all he answered was ""good"". Food was pricey and portions were small. $24 for 2 scallops? Mask not worn properly (below nose) while grilling our food. Overall not worth the money."
Lovely nice place in carpenter street,"I have been here few times, super friendly staff and lovely cocktails and nice Japanese food. Few rounds of free drinks, nice cozy ambience. Not many vegetarian dish though, asparagus something is must try"
Hip restaurant with good small plates,Fun restaurant with good food - we liked every dish and loved some - good cocktails and a friendly staff. Enjoyed our evening and would go back!
