topic,review
"Amazing open air market , busy, lively . Great grilled stingray dish😋","Close to Newton station , we came here around 9pm and the atmosphere was great. Very busy , lots of food stalls. Tried the Stingray for the first time and it was delicious. Highly recommended it💯💯💯"
The place to go to try authentic Singaporean food,"A Singaporean friend took us here to try authentic Singaporean dishes and it was a delight.

There are several small food stalls serving all sorts of food you can imagine.

My friend assured me that the food was fresh and that we could trust the place.

I tried the chilli crab, as you should when in Singapore. It was fresh, sweet and not very hot. Delicious.

As a suggestion from my friend, I tried the black pepper crab and it was even tastier.

The dinner menu also included grilled sting ray , cockles ( a shell fish similar to clams that are found in Singapore), chicken wings , calamari and fried rice.

There were no room left to try the white pepper crab and the butter crab. Maybe next time!

Most booths only accept cash payment.

As for the drinks, well beer is the best you can get ."
Stanley at Stall 66,"Watch out for Stanley the old b@stard tout @ stall 66 and his attempt to fleece the unsuspecting.

Grilled King prawns advertised at 16 each, but informed us they are by weight, and the price now is $22 each.

He soon changed his wayward thinking when he received some good old-fashioned verbal abuse

I didn't think people like this existed...

His english is very good and very skillful at luring you in.

You have been warmed..."
"Food, food and good at affordable prices","Close to the Newton SMRT is this busy market that oozes with the fragrance of spices and yummy food. Prices are reasonable too. Just have to find a seat and what you want to eat as there are many choices. Lots of tourists and locals , so that’s a good sign. Browse and don’t be discouraged by some of the pushy staff enticing people to try their delicacies."
Frosty cold beer & amazing food.,Had three evening here sampling the delights of this place. Loved the icy cold beer bottles that offered coolness while deciding which of the many foods we should sample. Highlight was the bbq grilled tiger prawns with serve of rice and yummy chilli-lime sauce.
Don't Come Hungry,"If you're coming here on a peak period like a weekend evening or as in our case the eve of a public holiday, best have something in your stomach. We arrived at 7pm and the place was full. Took us half an hour to get a table for 4 and another hour to order and get the food. A measly plate of chicken wing and assorted satay. The food was ok but was it worth all that time and effort? Not in my view. People come here for the vibe but I think there are other places where you can get a similar atmosphere. If you've never been then I suppose it is worth a visit but best come early or prepare for the long waits."
great street food various cuisines,"open air food court and one of the places for food in singapore , however prices are bit high as compared to quieter places .."
Vibe on point,Ok so this place is definitely cashing in on being in the spotlight a little more thanks to its appearance on “Crazy Rich Asians” and good on them. The food is a lot more expensive than your usual hawker hall in Singas so if you want the deals the don’t go here. However the food is just as delicious and the atmosphere is AMAZING. When I say expensive I’m talking 15-20 dollars for a main which for those of you on holiday there is probably not a lot. Highly recommend the dumpling place it’s next level. Don’t be fooled by Michelin man signs here it doesn’t mean they have a hat. Definitely recommend you check it out and live your best Crazy Rich Asians fantasy.
Local Recommendation - Awesome,"Friends ours who live in Singapore recommended this place. It was a short walk from our hotel Grand Hyatt in Orchard. There are many stalls serving seafood, meat, drinks and deserts. It is super cheap and the seafood and fish was by far the best. It is relaxed, and very covid safe."
poorly managed,"This used to be one of my favorite places to take out of town visitors to explore the Singapore food culture, but not anymore. I understand that seating is limited during covid, but the way it's handled is poor beyond words. There is no crowd control or table management. They let people flood in even with no tables available, and it's a squid game kinda fight when a table becomes available. The management of Newton Food Center should be ashamed."
Great Cheap Food,Really good variety and quality. Price can be alittle pricy but worth it. Definitely would recommend
"Cockles, Satay, Oyster Omelette!","Newton Food Centre is my favourite food centre in Singapore. It is always clean and a popular choice for people wanting a large feast with their friends and family. I like that majority of the tables are outdoor which means all the smoke from the food stalls do not affect the dining experience. My favourite dishes are their pork satays, cockles, chicken wings, chilli crabs and oyster omelettes. Yum!"
Lots of variety and buzz!,"We came at 6 pm on a Sunday and found the carpark getting quite full. There were many families eating alfresco together, ordering a range of their favourite dishes. Certainly a popular outdoor dining place with lots of space and open air. There were many stalls serving Satay, Hokkien Fried Noodles, Popiah, Oyster ommelette, Seafood, Char Kway Teow, Fish Ball Noodles, BBQ chicken wings, Otak, Chicken Rice, etc. We tried Stall 51 for their Hokkien Mee - moist and good enough. We bought BBQ chicken wings, Satay and Otak from TKR stall- all good."
Excellent place,Excellent place to stroll around and grab a bite from several different restaurants. It's located right by the water. Definitely adds to your experience.
Good atmosphere and the best mango juice ever,I visited at lunch so not all the stalls were open but there was still a good selection of food . My vegetarian biryani from vendor 01-44 was very good - bit too much coriander for me - but the mango juice around the corner was the best ever - see photo ... I'll be coming back @fishtaleswithtim
"STALL NO 32, AL RAYYAN FRUITS JUICE","Stay away from this stall. I ordered 3 local coffees and got 3 coffees diluted with water!!! Unfortunately, paid them without trying the coffee and it was the worst ever. We took the coffee back to them only to find out they made 3 in 1 instant coffee packets instead of what we ordered. As we questions them, the Indian lady pretended not to understand and just said ‘sorry’ . Don’t EVER buy anything from them as I feel , they just do not deliver what they advertise and are out to just take your money."
Last of the Best Hawker Place for a Beer,"Lively hawker foor centre with a great beer atmosphere has been vanishing in Singapore. Newton since decades ago had been a well known touristy hub for hawker food, beer sessions with friends and a down to earth Singapore street scene feel. Through the years renovations and trends changed the many stalls here. Today, it still feature quite a few stalls offering bottled and craft beers, many grilled seafood vendors, nice satay and charcoal grilled chicken wings. Still a great place to chill for a beer and some local beer food, though seats are now quite limited, no thanks to social distancing. Teochew Fishball Noodles, Heng Chai Tao Kway, Guan Kee Grilled Stingray and TKR Satay and Chicken Wings, or Michelin recommended Alliance if you're up for some chilli crabs. Lastly go for Asahi Black or 1664 Blanc by the tower for $50 to wash all that down. Great value eat!"
Fantastic!,"We came here on a Monday at lunchtime. It was quiet and quite a few of the stalls were closed. However there were still a lot of delicious options to choose from! Not the best place for Satay, go for some of the other options. Prices were a little more on the expensive side compared to some other hawker centres. It's a short walk from the Newton MRT station, easy to get to. A must when visiting Singapore!"
