topic,review
As good as in the movies,This is a must if you are visiting - a relatively short taxi from Marina Bay and worth the journey - better the the food halls located in the CBD.
Average quality open late always good for the new tourist,It’s open late around 2 am but the shops close around 11 pm. If need something to eat go here for sure but I found the quality so-so. Lots of stands but a bit repetitive.
For all family and budget friendly,"Surprising find! We came late afternoon and the center just started filling up. The food was tasty, quick service, friendly and prices reasonable for Singapore. Except for prawns and crab, that is still pricey (18$ for 1! tiger prawn). I decided to try durian ice cream - I got and extra big portion and it was excellent"
Fun night out,Lots of food choices with good options for all tastes. Must try the oyster omelette. The BBQ wings and satay is also great.
Good eat out stalls,"Very close to the Newton metro. We just went for a chicken stuffed paratha called Murtabaka. It was just too good. The dish was prepared in 5 minutes and it was yum.
It is worth to eat here. The food is not at all expensive. There is ample space to sit and eat in their courtyard."
Mainly cater for tourists,"Nice foods mainly cater for tourists, because it slightly more costly then other hawker center if you want to eat local foods.

Foreigners enjoyed the outdoor dinning, and 80% of the foods is BBQ chicken wings, Satay, stir fried seafoods etc. We tried Oyster ommelette, fish porridge, fishball noodle (stall locate facing the carpark, with old couple doing it for the last 40 years)."
Lunch at Indian Kitchen #01-44,"Genuinely excellent food. Freshly prepared mutton Rogan Josh and Kheema Nan were incredibly tasty but ok much for a quick lunch. The menu is very comprehensive, something for everybody, but I’ll be coming back for exactly this with a few beers. Great stuff."
Alliance Seafood No.27,"Had food from Alliance seafood Stall no.27, it is a Michelin star rated food place with an excellent variety of food. There are many delicious food there such as cereal chicken, black pepper beef and the fried egg with oyster. One of the better food centre in Singapore."
poor management,"I understand that there is a need for limited seating during covid, but the management lets more people in then there are seats, creating many problems. Poorly managed, very poorly managed."
One of my favorite Hawkers in Singapore,"This was one of the locations featured in crazy rich Asians movie. Very touristy and the prices are slightly higher than other local hawkers, but the atmosphere is very cool and the variety of food is great. Definitely worth a visit, regardless of how short your stay is in Singapore."
Dishonest lady boss drink seller,"First time went and the kopi c kosong peng(ice coffee,evaporated milk without sugar) cost $1.50.
I found the coffee taste quite good, so I went back in less than a week to order my caffeine fix again on the 03-April-21. Wow it suddenly cost me $2. Curious, I asked the lady boss why the sudden surge of 50¢
She gave a quick guilty and lame reason that because this is not teh peng(ice milk tea). Wow! I guess no more next time. For me integrity is more important than the quality of your food or drinks."
Authentic spot to eat,You'll have a taste of authentic Singapore cuisine. Tons of food vendors that you can choose from. Everything is made fresh.
Stall 30 stay sticks,"Ordered 10 chicken stay sticjs, git home only received 9 and they were tiny, not at all what is advertised, terrible value and very poor quality so much better food at other stalls, will not return."
Hawker food is a Singapore highlight,"Singapore is famous for hawker food. The hawkers set up their stands each night and people came to eat their dishes. If the food isn't good, they won't survive. Singaporeans are notoriously picky about their food. There are a number of hawkers centres, Newton Circus is one of the best. Newton Circus is about 1.2 km from Orchard Road (about 3/4 or a mile). If you ask your hotel, they will probably say ""take taxi"" Anything over a kilometer is considered to be a marathon in Singapore. Everyone knows Orchard Road, it remains one of Singapore's prime shopping destinations. Hotel food is much the same everywhere, but Singapore's hawker centres are unique.."
Eat! Eat! Eat!,"I apologize that I can't recall exactly which vendors we visited, but everything was absolutely delicious. And we ate some weird stuff."
No no NO!,"Oh my gosh, if all the hawker centers we’ve been to this is the absolute worst! Reasons:
-Hot and dirty tables and area
-Very expensive
-Mediocre food taste to other places in Singapore
-All the taxi drivers agreed with us that it is just hype and overrated due to the movie “Crazy Rich Asians”
GO SOMEWHERE ELSE....GO ANYWHERE ELSE!"
Disappointed!,Disappointed! walked 2 km to this place and was looking forward to have some local food. But disappointed with the whole thing. Unpleasant and rude guy at the Nasi lemak stall! The only friendly service we got is frm the drink’s lady. Don’t think we will rush back to newton hawkers centre anytime soon.
Alliance Seafood Stall Rocks,"With limited time in Singapore, we decided to focus on the food centers and we were not disappointed. Wandering around we just happened to notice that Alliance Seafood was open and Michelin rated! We were not disappointed. Great food, great service and a casual atmosphere. Great bang for the buck."
Almost great,"I decided to check this spot after I found out that Crazy rich Asians was filmed here. It's a really nice place with many food options, but unfortunately half of them were closed due to Chinese new year, which limited vegetarian options. In the end I chose navratan kurma - a mild vegetarian curry. If you're fan of street food and hawker centres, it's a must go."
Hawker Centre,"well there was something here for everyone, brilliant atmosphere, so vibrant, inexpensive priced food, good location, cold beers, one of the better hawker centres I think"
Amazing food and atmosphere,"We visited a number of Hawker centres whilst in Singapore and whilst all had great food, the Newton centre had the best atmosphere and food. We did struggle to find a sweet treat to end our meal with and It was harder to find a seat for the 3 of us but everything else outweighed this"
Wow. Go,"Love this place. Few min drive from Orchard Rd. We had pepper crab, Popiah rolls, stir fry carrot cake etc etc All delicious and bargain priced"
Why wouldn’t you ?,"The location is perfect. The beer is freezing cold, food is uniformly good and atmosphere is as you would hope for in a busy hawker centre in the centre of Singapore.

It’s been an institution for so long that you may think it could have become a bit of a tourist trap, but most of the people there were locals when we visited.

The stalls serve up a range of Singapore favourites and we went twice in two nights, and had a great time, with a variety of excellent dishes.

I’m sure there are more cutting edge hawker centres in Singapore, but Newton was just what we needed. I’d strongly recommend it."
Great food Hawker location!,"We went to two food Hawker locations in Singapore. This one was the best.

Great experience that is a must-do if you ever go to Singapore. If you haven't watched Crazy Rich Asians - watch it. It's not only this location, but you'll get a great idea of how to actually order food. (You don't do it like at a food court in the mall.)

You pick-and-choose a-la-carte from each food stand, you cobble together whatever combination you want, you tell them your table number and they deliver it straight to you.

Great experience!"
Hawker markets rock,"We go everytime we are in Singapore.
Great atmosphere, incredible selection of (nearly) perfectly made dishes.
Walk the stalls and find the ones you like, find the owners who are the friendliest, as they generally have the most trade becuase of their quality.
Base costs are going up so these won't be around for much longer...a must do in Singapore."
One of the best...,"Newton Hawker centre never fails to impress. Stalls are plenty and so is the choice of food. Chilli Crab, Oyster Omelette etc are wonderful. It is not all that economical as it used to be 10 years back but still good value for money."
"Worth a visit, lots of choice","Dropped in to Newton for an afternoon drink having seen it featured on Crazy Rich Asians... Large Tiger beer bottles were SG$7.50, which felt like pretty good value. We didn’t eat here but there were plenty of choices of very good value food had we wished to. Plenty of seating, and open until 2am. Plenty of staff keeping the area clean."
"Pretty good, but try try Tiong Bahru also","Food is good, but the touts can be a little in your face. Apparently the prices have risen since scenes from Crazy Rich Asians were filmed here and the crowds followed. The food is just as good at Tiong Bahru but half the price. Still, a vibrant, fun place to eat that we really enjoyed."
A fun experience!,"We had our last meal in Singapore here. It’s a very fun, lively place where you will see lots of people of all ages. There are many different food vendors, and since we hadn’t done our research, we just picked two randomly. (Note: the vendors are quite aggressive about luring you to their place, so be prepared!). My husband had chicken satay which he thought was a little tougher than it should be, and I had vegetable fried rice, which was very good. (We weren’t super hungry so we only ordered two main dishes). I would come here for the atmosphere, and perhaps ask a local which are the best vendors for food!"
Worth Visiting,"Going to a Hawker food centre while in Singapore is a local custom. Plus it's about 1/4 the price of the restaurants. :-) Lots and lots of food choices, and as the name implies, lots of people trying to sell you their food. Take a walk around the different stalls - try something from more than one stand. Satay sticks and/or fried rice are an easy entry-level for someone who isn't as adventurous as others. But it's worth noting that the Chili Crab is also something worth trying if you like good food! All the prices are pretty low, except for alcohol. I spent as much for a pint of beer as I did for all the food I could stuff in. But the Newton centre is pretty large - lots of choices. I recommend trying it if you haven't before."
"Fun place, tremendous variety","The Newton Hawker Centre is one of many with a multitude of food stalls. In our limited experience, it offers one of the most varied selections of ethnic foods. People are friendly, often your order is brought to your table. Stay away from the center of the court if rain expected."
Outdoor eating at it's best,"We got to Newton Circus pretty early (before 6pm) and there were a few patrons already eating, but by the time we left the place was booming. We were worried about the weather and didn't want to have to sit around the middle of the hawker centre, which doesn't have shelter. It didn't end up being an issue as the weather cleared.
The stall owners will encourage you to sit at a table near them, but you can still order from any of the stalls at the centre. If you're ordering seafood, make sure you're asking the price before ordering.
The centre has such a wide variety of local foods, drinks and desserts - we ordered satay, noodles, cockles, warm buns and vegetables. Newton Circus is easily accessible by bus or train and is outdoor eating at it's best!"
Best Singaporean Cuisines,"I love how they have so many food stalls selling different kinds of local food specialties and drinks. Be it satay, laksa, and their famous coffee (kopi) you name it all! Be sure to come and visit this place and you won't regret it!"
Hawker food is a Singapore speciality,"If you want to taste real Singaporean food, go to a hawker centre. Each hawker stall specialises in one variety of food. The recipes are family secrets, handed down over generations. Singaporean specialities are chilli stingray, oyster omelets, satay and squid. If you only have a short time in Singapore, ditch your antiseptic hotel restaurant and head for a hawker centre. And hawker food always tastes better with an ice-cold Tiger beer, Singapore's own brew. Singaporeans are very picky about food, if it's popular it's usually good."
