topic,review
Tasty and authentic,"Opened very early. Family and I had a good bak kut Teh (pork ribs soup) brunch.

The restaurant has pictures on the walls of celebrities who had visited the walls in the past. This is a first visit for us and we spend some time admiring the pictures while waiting for the food.

The food taste authentic. Just the right mix of pepper and garlic."
lunch,"came here for lunch with my friend. i think this is one of the better ones, loved the peppery soup and side dishes. service is fast and friendly."
Good food,"They have really food food at their place and good drink also, they food were being served really fast"
Late lunch,"First time visit. Heard about this Bah kut teh place but never visited till I chance upon one day. Went at around 2.30pm. Almost after lunch hours therefore, the staffs are cleaning up the tables and most diners are already leaving. Still we have to wait as they need to take our temperature due to Covid 19. Was guided to a table, order was swift and food came quite fast too. I like the soup as it was peppery enough for Bak kut teh. I would prefer the Pork ribs yo be slightly softer. Braised Bean curd skin was nicely done. Pork trotter was fragrance and cooked through. Will visit again. Soup were replenished automatically but not hot enough."
The best Bak Kut Teh in Singapore!!!,"Being a person who enjoys both the Malaysian and Singaporean type of Bak Kut Teh, I can vouch this as the best type of Singaporean BKT. The Malaysian version is a bit different with more ingredients and a darker soup, where else the Singaporean version is the clear peppery, garlicky broth."
Bak Kut Teh with Free Refill,"Ng Ah Sio Pork Ribs Soup Eating House (aka Ng Ah Sio Bak Kut Teh) is a popular local restaurant specialized in Bak Kut Teh, a Chinese herbal soup cooked with pork ribs and pepper. The restaurant provides free Wi-Fi access. However, they don’t take reservations, hence there is often a long line of diners at the front door. The restaurant is spacious and clean, but without AC, it is quite hot, and the round chairs might not be the most comfortable. The owner is very friendly and enthusiastic. Servers are efficient. Highly recommend the peppery Premium Loin Ribs Soup (SGD 11.80 or USD 8.50), which is very hot, tasty, and REFILLABLE! They also sell the Bak Kut Teh soup base packs (SGD 14.95 or USD 10.70 per box of 4 portions) at the cashier, for guests to recreate the flavor at home or share with friends as souvenirs."
Peppery bak kut teh,This place is our current favourite for pork ribs soup. The braised dishes are good too. Service is prompt and friendly.
Signature food of Singapore,"This place is said to be one of the most-visited pork ribs soup dining spots in Singapore. Unlike dining in restaurants in luxury hotels, dining in this place is like having food at home, more casual, more home-taste, and more relaxing, of course, the food is beautiful as well."
Old school Bak Kut Teh,"Went here with a local friend and the Bak Kut Teh here was very tasty. Peppery and they top up the soup if needed free of charge.

The other dishes on offer were also excellent.

All in all classics kept the old way is the best."
Yummy soup base,"We ordered the most expensive pork ribs and believed the pork could be more tender. Soup base is good with unlimited refill. We also ordered other dishes like pork kidney, and liver. Rice was quite hard but that is not the main dish but could be better if they serve with better grade rice."
Best Bak Kut Teh,"Still the best in town after so many chains have come after their business, the main stall is an eatery right on Rangoon Rd with parking along the street. The soup mix is peppery without being too hot, and with every bite of the soft flesh coming easily off the ribs, you’d want to have another sip or two. It’s a joy to dip the ribs in the black sauce slip one slice of red chilli on top and enjoy the contrast of all 3 in your mouth. Good thing is they refill your soup at no charge. A Singaporean foodie institution for sure!"
Bones for gourmands,"We had the premium ribs & combo. Peppery soup with boiled rice and fried dough sticks. A bit of self service with the tea and disposal of pie rib bones. No air conditioning so be prepared to sweat a little. Otherwise a cultural experience in herbs, pepper, tea and rice."
Well deserved famous bah kut teh,"Ordered the rib, pig skin, tau kee and veg. The rib is tender and soup is thick and delicious . The skin is well braised without fats. Reasonable price."
Great service,They specially change the normal stool to chair with back for senior person without having to request. Nice and kind service.
Best Bak Ku Teh,This is one the best Bak Ku Teh in town. The soup and innards are good for people that enjoys a good traditional and high cholesterol lunch :). Service is good and the price is reasonable
Great flavoured pork ribs,"In addition to tasty & tender pork, they served very strong flavoured soup (which is a plus for me) and nicely cooked rice."
It’s nothing like before.,Will not eat again. Thankful I had a lot when it was nice. Used to slurp the soup non stop. But now it’s too much after one bowl.
Pork bone soup - a must visit,"Avoid the lunch crowd, always head there after 1.30 pm. Never order the liver. Go for the premium bones. Worth the travel to this random corner of Singapore."
All the right stuff,"Good Bah Kut Teh as we know must have spicy soup, tender meat and come with side dishes like salted vegetables, you tiao, etc. This place certainly has them all. Service is also friendly and we don't feel being rushed which is nice."
A blast from the past,"@TheKuoKnows

This is about as authentic a traditional coffee-shop experience that you will get. No aircons. No frills. Just Bak Kut Teh the old fashioned way.

The portions are very generous. Lots of ribs in the Spare Rib combo. Loved the Liver and Kidey medley too.

A side order of Preserved Vegetables and Stewed Bean Curd won’t go amiss. They help to soften the peppery broth.

This place is very welcoming. Very well done."
The soup is very thick,"Located along Rangoon road. The meat is soft and tasty. The soup is very thick and tasty. A little on the expensive side, but worth the money ."
Love Bak Kut Teh here so much ชอบร้านนี้ที่สุดแล้ว,"Worth going there for hot Bak Kut Teh and the rest.
คุ้มค่า ต่อการ Search หา และดิ้นรนไปกินนะ
- บากุดเต๋ น้ำซุปอร่อย เติมได้ไม่อั้น
- คากิพะโล้ เปื่อย อร่อยมาก
- ถั่วต้ม & ผักดอง ของต้องชิม
- ผักตั้งโอ๋ลวก กินผักบ้าง ดีต่อใจ
- อะไรทอดๆซักอย่าง ห่อฟองเต้าหู้ คล้ายหอยจ๊อผสมแฮกึ๊น อร่อยเด็ด
ที่เหลือก็แล้วแต่พื้นที่พุงจะบรรจุได้ และงบประมาณ 55
เช่น เต้าหู้ต้มพะโล้ ปาท่องโก๋ ข้าว ฯลฯ
-น้ำดื่ม หล่อฮังก้วยเย็น อร่อยชื่นใจดีมากค่ะ

จบข่าว"
Worth the walk,"I walked from Lavender and it took me 20 mins to the restaurant. The Ba kut teh is the highlight and other dishes are not bad at all.

I went there in the early morning, so there were no queue. Staffs are friendly and every dish fast prepared."
Tourists Could Visit. Good Pork Rib Soup Also Known As Bak Kut Teh (Locally). Famous People Eat there.,"Review by DrSim001 (zero zero one) (Dr HCM Sim). Tourists Could Visit. Good Pork Rib Soup Also Known As Bak Kut Teh (Locally). No Air-conditioning. Food is Good. Ambience is basic. Service is acceptable, The place Takes you back to Singapore in the 1970s but is a bit cleaner. The road around the restaurant may be dusty and sometimes you get a whiff of rubbish, just like in the Third World Countries. Go in the early morning or brunch or in the have an early dinner. Lunch can be hot. You can see photos of famous people on the wall eg. former Taiwanese President, Actors, Hong Kong Chief Secretary etc. If you order Chinese Tea, there is a gas cylinder stove next to you where you can boil the water for the Chinese Tea. Very traditional and Old School. Follow me on Instagram = drsim001"
Ultra Famous Cafeteria,"Every time I visit Singapore, I am visiting this cafeteria.
I have not been kept waiting because I visit at the time of breakfast.
There are few tourists in breakfast time, and mostly locals.
There is no parking, paste the parking ticket on the windshield and park on the shoulder of a road.
The price is reasonable, but the price is rising little by little as compared with about five years ago.
We paid SGDP 30 by 2 people."
Delicious Ba Kut Teh,I ate this Ba kut Teh at Sentosa Island. I'm not a fan of Ba Kut Teh but I quite like this Ba Kut Teh specially after doing all the activities in Adventure cove Waterpark it's satisfied my hunger. My friends who likes Ba Kut Teh also said it's delicious. The waiter in the Sentosa Island restaurant is also nice. Overall is a nice restaurant.
Best Ba Kut Teh so far,"Personally I do loved Bakut Teh with peppery soup, and found this place match with my taste. During my hunt to search for Bakut Teh, this is the best so far.
Meat was so tender and juicy. The soup was able to be refilled as much as you want. It's worthed to eat here and surely will be back for more."
Won't be going there again,"To be fair, the food was good. The soup is more towards the peppery side and for those who love it to be strong, this is a place for you. Side dishes are the same like other bak kut teh outlets available in Singapore. Overall we do enjoy the food there but if you are wanting to be there close to their closing time, i highly dun recommend to go. There was one male kitchen staff or perhaps cleaner who came to us and ask us whether we are done as he wants to clean our table and lament that they are closing. His tone was not nice and his face is giving us the ""Please leave as soon as you can"" as he was standing around our table. This is what kills off returning guest so i'm boycotting this particular branch at Rangoon. It's not easy to find also as it's quite far in. Good luck."
My favourite BA KU TEH restaurant!,"Have been eating at this restaurant for a long time but have not been back for quite a while. Decided to go back on the weekend. The soup is still good as I have expected which with the You tiao. At the end, always good to go with Kung Fu tea!

BR
Tony"
"Bak Kut Teh only? Not really, The vege are nice as well","The Bak Kut Teh is very fresh and no strong smell. The veges are very good as well. The only thing is the pepper smell too strong, my cousin kids don't like becoz it's too spicy for them. Unlike Malaysia Bak Kut Teh becuase the soup only content meat and garlic. Yes, no mushroom nor toukee.

I have bring my China cousin to this shop and I can't wait to bring them to try Bukit Mertajam Taste :)"
My Favourite BKT,"This is our favourite Bakuteh restaurant. My family went there twice in the last two months because we liked the peppery pork ribs soup and the many side dishes such as yu tiao, intestines, braised pig trotters. Parking was easy along the main road."
Very good Bak Kut Teh,"Everyone should try Ng Ah Sio, I really really like it 👍🏻 Pork was tender and soup was really delicious. I also had Luo Han Tea, which is not my favourite (because it was sweeter than I expected)."
Very nice Bakuteh,My number 2 pick for the best bakuteh in Singapore. 1st pick is the 365 Balestier Bakuteh. The porky soup is delicious. However the pork is not tender as 365 or even Songfa.
Very Good Pork Rib Soup,"Review by Dr Sim. Very good Pork Rib Soup. Very peppery. Ambience is basic. No air-conditioner. Very famous people (actors, politicians) have patronize the outlet. Their photos are on the wall. Good for tourists to eat there for lunch. A bit warm but you get a feel of the old Singapore. Try the steamed squid as well. Regard Dr Sim"
A must try for Foreigners & Tourists,"Bak-kut-teh is a pork rib dish cooked in broth popularly served in Malaysia and Singapore, & it has been very amongst the Hoklo and Teochew community. Of course, there is a slight different in term ingredients and therefore taste of Bak Kut Teh from Singapore to that of Malaysia. It was the staple diet of substance in the morning back in the colonial days of the bygone era of the British Empire when these Chinese workers came to Malaysia & Singapore as coolies. Bak Tuk Teh has been kept up with time & able to stay updated with the growing affluence of Malaysia & Singapore, & modern days' preference for leaner & better quality of Pork Ribs. This place only opens for lunch & it has become very famous regionally when the 1st Chief Executive Officer of HKG SAR came to S'pore for an official visit and asked for a special dinner arrangement for the entourage, Mr Tung's request was refused! They dont open for dinner for anyone."
Average ba kut teh,"Nowadays bak kut teh has become more and more expensive due to the popularity among tourists. This restaurant is located in Rangoon road, it does not have any aircon, so it will be a bit hot. We have ordered and while everything is being served, they forgotten our pork ribs soup. The portion is small and topping up of soup is slow, soup is also spicy as compared to other restaurant."
Great food,"Best ba kut teh in town simply for the peppery soup based, thick meaty broth. A favorite weekend meal for the family."
