topic,review
Very poor service,"Amazing food
Horrible service

Unless you are the most patient person in the world I wouldn’t suggest this place for you!

Food is fresh and delicious but communication is horrible and service is slow and poor

They sent us rice and veggies before fish and crab.
No one was able to explain the menu properly and the final bill was comparable to a fancy restaurant which doesn’t apply to this place at all!

There is absolutely nothing impressive here apart from fresh food.

I wouldn’t go back or recommend it."
Good hotel in shirdi,"Very very good hotel in shirdi have a roof top swimming pool,good and hygiene room,service is very good, staff is helpful and hotel location also good they have parking in this hotel"
Overpriced for sure,Works out to be 250++ SGD per pax. Would have paid for 5 star hotel buffet at a fraction of the price
Poor chilli prawns,You think that this would be a good restaurant for seafood but apparently not. The Chilli sauce was Bland and watery and it's not very nice
Great variety of food - VG Service,I found this Restaurant founded in 1981- Family environment and enclosed with plants giving the privacy to enjoy a good moment. Ate there a couple of times. Buen ambiente familiar y muy buena comida servida a tiempo
An oldie but still goodie,"Returning after many years this is still a great meal out. Super fresh seafood, great cooking - we had the pepper crab, cereal prawns and squid - and friendly service. Family loved it. Great to be able to travel again and have this kind of experience."
disappointed,so we ordered butter crab and chilli crab and white pepper crab. butter crab was bitter. had a weird taste. chilli crab did not look good but tasted slightly below average. to me it just tasted spicy. white pepper crab was not bad. waitress kept watching us from a distance. only nice thing that was worth eating was the mantou. overall bad. will not come back.
Love it!,Been here several times recently and only for the chilli crab which is excellent. Ive had this dish on several places in Singapore but believe this to be the best. Its certainly not the cheapest but quality of crab and flavours of the sauce in my mind make it great value. Service can be hit and miss at times but generally I have enjoyed my visits to this restaurant.
No billboard and no reason to go,"Visiting Singapore for the first time in many years, my accommodation was just over the road from the ""famous"" No Billboard Restaurant
Well, convenience took precedence over commonsense
I should have left when I saw the prices on the menu - they screamed ""tourist trap"" and so it proved to be - an over-lit place with all the ambience of an abattoir
I ordered lobster which turned to be just OK and,to accompany, mediocre house wine which was the only affordable choice
My own fault for even going into this place - be warned"
Pepper Crab Feast,Ordered chili and white pepper crab. Seemed not as fresh as our other experiences in Singapore and Malaysia of the same dish. Maybe experts can speak to it more. See pictures.
No Signboard seafood,"- Service was disappointing, Food quality was below average for the price and smell of fruits was disgusting + The restaurant was clean and the food was safe to eat as they make it in a kitchen which is visible."
Great White Pepper Crab,Visited this nice place and much enjoyed there great dish - White Pepper Crab Great service and very nice stuff
Chilli Crab.,"Spent the entire day wandering around Little India and Chinatown. Went back to the hotel for a couple of hours rest. Dinner was upon us and we headed out again.
Chose the No Signboard Seafood Restaurant with a bit of trepadition. Simply for the fact that the boss does not eat any sort of seafood. And would have been stuck if these guys served nothing other than seafood. But she'd said that she would go with all of my choices.
Reached the restaurant a bit after 6.45pm and the place was already buzzing. Got seated right away. Were surprised when one of the service staff came by with a trolley and a bag attached to it and asked us to place our bags and valuables in it. Seeing our reaction he explained that with the seats by the road it was a precautionary measure to prevent bags/valuables being snatched by passers by.
The selection was a no brainer. I was here specifically for the chilli crab and asked for it. The staff explained that anything that came to the table would be charged for. The bowl of unshelled peanuts, the bowl of rojak, the gloves everything would be charged for.
Luckily they did have a choice of chicken dishes on the menu. So a chilli chicken and chilli crab it was.
The chilli chicken was ok. The spice was to come from the multitude of chillies in the dish. So if you didn't bite into one of these it was just a plain chicken dish. Flavoursome no doubt.
After a reasonably long wait the chilli crab was served. Noticed that the service staff was offering bibs and gloves to all of the punters ordering the dish. I was going to in with my hands and declined this. One of the most satisfying but most undignified dishes to be eating is a crab dish.
The crab meat was wonderful. Cooked very nicely. Just soft, juicy and you had to work really hard to get it. It took me nearly 35-40 minutes to get through the entire crab on my own. But got there in the end. My hands were, well, full of the sauce. The cutlery was also covered with the sauce.
We'd ordered two sour plum juices to go with our meal. Must say that the juice was a great choice. Not only as far as it was really refreshing but also it was a great accompaniement to the dish. It's tang a good contrast to the rich dish.
I wasn't too keen on the suace that the crab dish came with though. It's supposed to be a chilli crab. It tasted more like a sweet sauce to me. And my wife, after tasting a bit thought that it was like the butter chicken sauce that we get back in Perth.
The sweet bun that came with the crab was light and perfect to sop up the sauce with.
Would not hesitate to say that it is overpriced. And if I'd had the time I'd have probably found some other place that served a better version of this dish. But I will not complain too much about the restaurant or the dish."
