topic,review
Good breakfast- but 0.8% short from a 4-star review! (69.2%),"We stayed in the Four Seasons Hotel Singapore during our Singapore Trip 2023- and we had breakfast at the One-Ninety Restaurant for the five mornings. There was a good selection of food from the buffet- but selections wasn’t as comprehensive nor as much when compared to the Royal Plaza by Scotts/ Kempinski Hotel Singapore. Unfortunately, scrambled egg wasn’t available in the buffet counter, on the other hand you will have to order it (although quality-wise was very good). Food quality in general, was quite good especially the egg bar. The “chef recommendation” changes everyday- sometimes congee, sometimes beef noodles, and sometimes even Kaya Toast with egg. Service in the restaurant was erratic. There was one morning where the service staff Anne said “We don’t have tables anymore in the restaurant so you will need to wait”- and then 1 minute later a table was given to us. We do notice available tables in the restaurant that are not opened to the hotel guests. The tea inside the teapots were very mild as there was only 1 teabag inside- and shared for 2 persons! This wasn’t acceptable in a 5-star hotel- and hence we changed our drink selection to everyone getting different drinks to maximise the quantity of drinks available (but of course this doesn’t improve the mildness of the tea). Ambience in the restaurant was good- with adequate lighting and mood. Overall, some good breakfast- but service has to be improved for a higher rating to be given."
Lunch on 22 July 1pm,Restaurant is very good for business lunch as it is quiet and food is classy. Will visit restaurant again.
Beautiful memory of lunch,"The staffs were really courteous, the food was excellent. Note that you need to order the starter separately as the main buffet is primarily finger food. Nonetheless, overall a very good experience"
Great food Great Service,Very happy with the food we ordered. The services were excellent. Enjoy the dining experiences. No regret of choosing One-Ninety Restaurant. Definitely will be back.
A la Carte Luncheon,"I had the seafood bouillabaisse with a fillet of snapper and an assortment of clams, scallops, mussels, squid and prawns. Everything was acceptable except the scallops, which were over done by the time I got to them. This dish is best consumed WITHOUT indulging in a lengthy discourse. Lesson learnt - If one intends to have a very leisurely meal that is relatively long drawn, eat something else. Less criticism is accorded to the two desserts. The texture of the Anjou pear tart and macaron, and flavour of the rhubarb sorbet were exceptional."
Semi-buffet lunch with a botanical decor,"Not the first place one might think of for a buffet meal. Ambience: peaceful and surprisingly, exuded a tranquil atmosphere, in keeping the with ""botanic"" theme. Service was friendly and efficient. Chose the semi-buffet lunch option - for the price, you get unlimited helpings of starters and desserts, with the option to add on a single entree (for additional $10). Reasonable but not extravagant buffet starter and dessert options. Starters were generally salads and a couple of seafood options, and three options with meat portions. For mains, chose risotto and duck confit - both were of superior quality and portions were large. Desserts were generally of superior quality also, I would say a cut above most buffet options. Coffee and tea included.
Slightly annoying that we were served and charged for ""alkaline water"" without being informed about the additional charges. Buyer beware."
Lunch Meeting,"Was there with a colleague to catch up on some office matters. It worked out very well and very pleased with the attention given by serving staff and assistant manager. Great job, folks!"
One of my favourite restaurants!,Always a delight to dine in One-Ninety Restaurant. It's a steal to have semi-buffet lunch at S$38++ in a beautiful environment with impeccable service. Definitely my good to place for brunch.
Hidden gem in Orchard,Nice ambience with elegant and cozy deco. Staff are attentive and helpful. Def a good place to dine with family or intimate friends.
A reliable international brasserie,"A personal fav, primarily in light of its convenient location, but also because of its ‘not-the-best-but-very-good’ food at not-outrageous prices, excellent service, and peaceful atmosphere. They recently expanded their menu. We had an excellent rendition of bouillabaisse, although most surprisingly, they don’t have aïoli or croutons. Marseillais guests would have to bring their own."
Great dining experience,"Absolutely love the food quality, selection and service The ambience is exceptional as well Will come back again in the future."
Excellent Food and Service,We had a really lovely memorable dinner. We chose to have the set menu as it had a wide variety of menu items to choose from and it definitely did not disappoint. The food quality and preparation was 5 star and absolutely delicious. Chef De Cuisine Pierre Barusta and his staff made our dinner celebration an event we would like to repeat soon.
Relaxing Brunch 😊,Visited the restaurant for their Sunday Brunch. They have attentive and friendly staff. Love how they still allow us to head over to their station to chose the buffet items instead of waiting at your table for them to serve to you. Their Wagyu steak was yummy !!
