topic,review
Great service and very family friendly,Good char on the steak. Extremely reasonable prices. Great starters. Excellent service and friendly staff.
Poor Service on Christmas day,"Understandably, the restaurant hired a few part timers to boost manpower during the holidays. But the people they hired were poorly trained. Asked for sparkling water and was directed to the table with drinks which only had plain water. Asked again and took so long and came back to tell me that it was chargeable, of course I expected it to be charged, still no sparkling water. I had to go to the hostess, told her of my request. Also asked for cocktail menu.....took forever and servers unsure not knowing what to do is infuriating to watch. The clincher came when we were trying to take a selfie and the server KEPT ASKING if she can clear our plates, we were obviously not replying coz we were holding our smiles and waiting for the camera to click. She stood there and KEPT ASKING. Like seriously.....Food was OK, but terribly bad service on a special occasion. Definitely not worth the money we paid. Never coming back here again."
Ok experience. Would give another shot :),"The feel we got when we entered the restaurant was pretty good. Service was attentive and very professional. They carried themselves very well.

The food on the other hand was pretty average. The focaccia was below sub-par. It made it worst that it was served with pretty good butter. Maybe a nice extra virgin olive oil would have done better. The bread was also pretty flavourless.

Crab cake was well done with good amount of crab in it. The seasoning was slightly salty and sauce could have been more.

We got the salmon main and a shanchoku strip. The salmon was delightful albeit the skin was a little too charred. The steak was at the right doneness, and was of pretty good quality, however it was also too heavy on the charred flavour that it was borderline overly bitter. The sauce, wild mushroom and truffle was unpleasant and did nothing to elevate the steak.

We ordered a side of pomme purée, it was slightly grainy, and also was lacking in that pleasant butter taste that you should get. It also felt like it was unsalted or maybe just under seasoned.

Overall we will give it another try as I think the concept of using charcoal cooking is pretty cool."
Bad quality steak experience,"Bad steak experience I had , with the full blood of tomahawk and bitter taste of foie gras(over seal)
I had try compare under Hilton and IHG group, that was not worth of me spending $460 for a dinner with this quality"
One of the best Buffet spread!,"Our first one at the restaurant and trying their Sunday Brunch buffet and the experience was simply awesome!

From the excellent spread (eg French food station, grilled whole fish) great tasting food and attentive service, it was the perfect place for Sunday Brunch with the family to celebrate my son’s birthday."
Beautiful GF Dinner,"We had a beautifully cooked lobster and Wagyu steak that was all gluten free, which can be hard to come by in Singapore. The sous chef came and greeted us and helped us after I mentioned I was coeliac. We had a lovely night, my husband ordered a beautiful desert that wasn’t gluten free, (I was fine without having desert) the sous chef brought me out a fruit salad so I wouldn’t feel left out.
I would highly recommend this restaurant. Oysters were amazing and fresh also.
Their Singapore slings were very good also."
Great Sunday Brunch with family,"Had an excellent visit, taking family who were visiting from the UK.

Every part was amazing, could not fault any of the food and the staff service was great. Special mention to Chua who really looked after us and to Eddie who kept checking up on us to make sure all was good."
Another wonderful meal with fantastic service,We have now been here MANY times and they never fail to provide exceptional service and food. Our go-to place for celebrations.
Birthday Dinner,"Great food and service by Manager Alvin! The premises are clean, the atmosphere is cosy, Will recommend to friends."
Dinner,Tomahawk was good. Manager Alvin was great in his service. Ambient is great. is a great place to hang out.
Wonderfully warming time,"Oyster is outstanding delicious - my choice of shoyu sauce is perfectly just right. Seafood platter is nice and also comes with free-flow wine only costs 20 Singapore dollars. Besides, this is very romantic place and so warming service. Very Impressed 😊"
Great Friday night!,"Service was slightly slow, but food was good overall. Had a free cake for my boyfriends birthday too!"
A wonderful birthday celebration!,"Went to this bar to celebrate my girlfriend's birthday, ordered the striploin and lobster combo, and beetroot salad. Which were excellent, the beef is very tender and busting with flavors, the lobster is nicely done without over cooked, juicy and tasty. Patricia who is serving our table was very helpful and took a lot of pictures for us. We really appreciate her thoughtful service to make the evening a special one for my girlfriend. She offered complementary cheese cake and fruit tea which is great way to round up a memorable evening. Shout out to Pat for her excellent service!"
Great service and steaks!,"Great service, the tomahawk was amazing! We did a birthday celebration and they were super friendly and gave us a birthday special"
Great service and food,We had a great meal at opus to celebrate our anniversary. The food was great and our waitress Patricia was fantastic - first class service all the whole night. Highly recommend.
Opus Review,"Alvin, one of the staff at Opus, was attentive, his service was very good. He gave us recommendations on the food and wine and he's friendly. What he did for us made our dining experience more memorable"
