topic,review
Best dining experience with excellent service and food,"Been to OSCAR’S to celebrate my wife’s birthday. I love the food and excellent service provided. Special mention to Fernando, Karen and Melody who served us. Service was prompt and they are super friendly. Food quality was very good too as they keep changing and innovating. Everything was fresh and delicious; my stomach was the only thing limiting me from enjoying more.

Thank you once again for the great team serving us and thank you again for the excellent service, Fernando, Karen and Melody. Keep up the good work. Will return and will recommend to others."
You will be spoilted with a wide selection of yummy food!,The standard and quality of the food is good. Nice relaxing ambience to have a sumptuous meal. Accompanied by friendly staff who really look after you.
Always a great buffet,"Have stayed here a number of times over the years. I love the breakfast buffet - well stocked, lots of variety and friendly staff. They're also happy to bring a Straits Times for you to have a read whilst enjoying the food!"
Oscar's Experience,"Dined at Oscar's for dinner. The wide spread of food across the buffet table top spoilt us with options. We are impressed with the group of staff whom took their time and patience to serve every table (restaurant was packed with Diners). Service was never compromised and we would like to extend our thank you to Janeth, Ferando & Mamdy; they have been polite and friendly and see to our request. Thank you for having us Oscar's"
Hidden gem among hotel buffets,"Came here for a family dinner. Food is completely on par with other hotel buffets like Melt Cafe or Edge. And Oscar’s standard of service surpasses them. The fresh seafood, cheeseboard, Western, Indian, BBQ, soup and dessert sections were excellent. I had repeat helpings of the potato gnocchi and chocolate jivara cake.

Misses? We felt the Asian section needed improvement. Cooking skills could be better. Fried noodles and rice dishes were not very tasty. Sashimi and sushi didn’t look too appetizing and the sushi rice was cold and tasteless. From the BBQ outside, Korean gochujang striploin was too salty without any smoky aroma, however, my parents enjoyed their pork chop with apple sauce, chicken thigh and sambal stingray.

Special mention for excellent service. They are the BEST among the buffets we’ve visited. We were served by Melody, Annebelle and Janeth. The rest of the crew were also attentive. Plates were quickly cleared and someone would respond each time we looked a bit lost or needed something. The lobby staff were warm and welcoming too. It was a pleasure to visit the Conrad and we had a wonderful evening at Oscar’s. Thanks everyone, keep up the good work!"
A high enjoyable dinner at Oscar’s tonight,"This place used to be my playground in my early career days. Beside fond memories of meeting friends for coffee at late night. One of fond memories was coming here for buffet with friends and families. Christmas buffet is almost a must come for us. Due to Covid, I haven’t been here for last 3 years. I wasn’t expecting more than what I used to get, but the experience was again surprising and pleasant. Food is excellent, buffet introduced a BBQ counter whereby the grilled beef was super tasty. Special mention on the frontline staff melody and manager Annabelle, their service was fabulous. Typically you have piles of plates waiting to be changed out during buffet dining . Tonight, they changed plates swiftly before me asking. More importantly, they were very observant and attentive to diners need. For example, once they observe we are eating desserts, they came and asked if we are done with main course. I replied yes, and to my surprise, the desserts utensils are already well laid out on the table when I return to the seats. They also came and ask if we would like coffee or tea to up with the dessert. Restaurant is quite busy with about 90% occupancy rate, so I don’t expect them to be as attentive as this. Melody left a really pleasant impression. Even my visitor who is a tourist felt pleased with the service and commented “wow, Singapore changed plates so efficiently and service was so good”. Kudos ladies. You deserved me spending time to write this long review for you. Lastly, happy Chinese new year next week!"
Good customer service,"Waitresses,Melody,Annebelle and Janeth, were all very solid,cups were always filled and they are very friendly even recommending certain dishes and favourites,they always check up on us regularly and have fast services.Kudos to them."
Oscar's Restaurant,Food was fantastic. Good selection of food and high quality. Thank you Melody and Htay for the great service.
Dinner at Oscar,I had a great time at Oscar I will definitely come again with my family the food had a lot of variety and it taste real good..thanks Melody and annebelle for your excellent services
Tan LC,We went to Oscar restaurant for buffet dinner on 14Jan 2023 . The food were fresh and good. I like the Chinese soup and garlic fried rice is good. So it the baked salmon.
