topic,review
Great dining experience,It was our 2nd time visit to OTTO and the food & service standard remained great. Love the ambience!!
"Fine food, refined atmosphere","An impeccable lunch at Otto! We both had pumpkin soup that was beautifully delicate, completely yummy. Also fish that was perfectly cooked, again finely balanced and presented most attractively. An excellent meal!"
Sublime gourmet tasting menu and service,"You are guaranteed a wonderful and authentic Italian restaurant experience by the co-founders Paolo and Michele here.

I highly recommend the gourmet tasting menu with wine pairing and extra cheese course.

It's a very happy and positive atmosphere. Service is top notch.

Food is amazing and freshly created and cooked on site.

Highly recommended.

My go-to Italian in Singapore."
Dining Experience at OTTO Ristorante,"The ambience was amazing. Food portion was a surprise. My lamb dish was big. I had a problem with my wrist so I had to chew the lamb off the bone using hands as it was difficult to cut. It was a little unsociable.
As expected, starter portions were rather small but very tasty and delicious. Nothing was difficult to savour. A great place to entertain business associates."
Awesome place!,"Its my first time here and it definitely didn’t disappoint me! great food, great ambience and of course great staffs! Will definitely return again!"
Excellent,"Very few restaurants offer this level of service, the waiters are outstanding, and so is the food. Highly recommend!"
Unpleasant dinner,"The head of the server who is Italian insisted his mistake was the guest's. 6 of us witness what I have ordered and his attitude was so wrong and aggressive toward guests. We were explaining to the only as ""guests always right"". His body language was so rude and really put off all our mood that night, specially there were a table who was drunk and yelling so loud the whole night. The owner Mr. Paolo to apologized and offer free drinks but no one in the mood for."
"Good value, excellent service, great food","A repeat visit and they are always good. Fantastic crew and Paolo never fail to do their best. Go for the degustation, or even a simple pasta is good."
Great Experience,Presentation is nice. Service staffs were warm and courteous. Portion is sufficient. Food is good although I think the level can be better.
Reception service problems,The review is poor because the waiter told my guest that there is no reservation under my name when I am already inside the restaurant waiting for my guest. My guest had to wait for 5 mins and still could not go in until she called me to bring her in.
"Awesome Dining Experience, Great Food",Applaud to the great service for every staff especially Nandan. Enjoyed much all the food serve in the set menu and wine selection was great! Highly recommend for couple dates.
"Delightful service, fantastic food","The people in Otto were very hospitable and patient when introducing the food in season to us. They were also suggested the order of how the food should be served so we are able to enjoy the food best, in the manner it is meant to be appreciated.

As it was a birthday, I requested for a cake to celebrate in advance and was pleasantly surprised that this was done!"
Great experience.,The experience in their private room amazing and service was good. Each dish served was timed nicely spaced. The staff are very professional in what they do. The spaghetti with Uni could have alittle more garnish cause it looks kinda plain.
Outstanding Italian food 🥘,"I had never been there, my wife went a couple of times and convinced me to try, indeed a good choice.
We ate a catalana prawn as a starter and spaghetti with ricci di mare as a main; both were delicious but spaghetti really superlatives.
Ice cream as a dessert end espresso coffe to end the lunch.
The waiters are attentive and kind, the location is beautiful, elegant but not gaudy.
I highly recommend it."
