topic,review
Disappointed,Despite the website saying open until 1.00 am Wednesday to Friday and having a specific supper menu from 10.00-11.30pm when arrived at 10.30pm were told it was only serving drinks
"Great service by Syahrul, thank you!","The food was delicious, accompanied by a gorgeous view. Most importantly, thoughtful and great service by Syahrul who made everything smooth for our group of 18.

Jasmine"
Great Views,"Great service - staff is always great. Although the food is nothing to get super excited about, the service is quick, the views are super, and the DJ on the weekends play perfect music."
"First Time, Last Time","Was a patron on Saturday, (22nd) Seated outdoors.

Was eager to introduce Overeasy to my foreign friends in town as they've seen some content on social media. Turns out to be an extremely disappointing experience.

We were not informed that we need to wait for 50min to an hour for the beer can chicken we ordered. We only found out about it when we enquired why is it taking so long as we are almost done with everything else. When I checked with your crew how long more do we have to wait for it, he merely repeated the same sentence, ""You need to wait for 50mins to an hour for this Sir"". Why are we expected to know about the waiting time?

We requested for additional dressing, one of your female crew said she'll come back with it but never did. Nobody bothered to top up our prosecco as well, even when I stood up and pour for my friends, your crew who was standing right in front of us, just turned a blind eye. What kind of service is this?

Yes, you do have a nice view of MBS etc but with the mediocre food and such service. I will not recommend this restaurant to anyone."
First time and incredible food,"We needed somewhere to eat and walked past the restaurant the night before. It looked great with an awesome view so I found it online and booked for our final night.

I briefly checked the menu prior and it looked good. We arrived and got seated, sadly no one came over till we asked even though one server clearly saw us.

She eventually came over and we ordered drinks. We had to ask another server for water although other tables looked like it was there automatically.

We ordered a Prosecco, a Singapore Sling, Truffle Burger for me and the Ribs for my wife. The drinks were great but the food excellent!

My Truffle Burger was incredible! My wife loved her ribs!

The view of Marina Bay Sands, the atmosphere and the food make this a lovely place to eat and we would definitely recommend.

We asked for the bill and was told to go to the bar, I joked with the lady that perhaps the bank needs to give you wireless credit card machines as it seemed strange that there was only one inside.

Overall we loved it, we will come back!"
Anniversary Dinner.,"Dined in for anniversary and the food was amazing. Staff were all attentive and place is clean. Toilet is IG-material.

Corn dogs are to die for and the açai bowl dessert was a good closer."
Bad experience for unfriendly staff,"I make a reservation on 17 July for celebrating birthday, and when my friend bring birthday cake come and ask for keep inside fridge, one of a staff using unfriendly tone to told her no place can put the cake because the fridge is full. This is the first time I hear restaurant no place can put a small cake. And I understand the dine in time is only 1.5 hours, but the staff there is very impatient to clean the plates , without asking our permission, they don’t care we still want to eat or not, and I hvn’t finish my drink , the staff just took away for my mojito. This kind of attitude is very rude and unacceptable, make us very uncomfortable. It was a bad experience for me and my friends, is really destroy my mood on that day. I think I wouldn’t go for this place anymore and won’t recommend for my friends. We feel disappointed for this restaurant."
Average,"Starting today at sunset I had a reservation, and the staff greeted me well, the waiter was always present, but since I was a tabletop, I wished that my height was in a good location and there was an empty table, but the waitress did not hear us to sit on it knowing that we had requested but When two passersby came, I allowed them, the food was good but not excellent, the location of the restaurant is excellent, it is preferable that the menu be varied, especially that American food does not depend on burgers only, if you want to sell only burgers, you must be creative in it, the beautiful simple is To be asked, he ordered a mushroom burger and my wife ordered a chicken burger and it was my first visit but I don't think I'll repeat the ball unlike jypsy restaurant"
"Good food, unfriendly restaurant staff",Food and drink was good but theres a staff named Alicia was not friendly and rude during payment time. Disappointed with her actions after a happy dinner.
I may go to PS cafe as they are always have good food and great service.,"We had made reservations online for it was my wife's birthday. I was asked to approve S$100 of no show by my cr.card. However the restaurant didn't greet my wife on her birthday. it was a warm day and we were asked to sir inside,instead of the excellent view of MBS outside. There is no provision to sit outside,OverEasy is wasting a great opportunity. The Strawberry and Basil jug was excellent,chocolate milk shake and lemonade was average. The other food we ordered was pretty average except for the chicken burger. The two fish and chips were oily and full of batter. The avacado taste wasnt packed with flavor.Maybe the chef was away that day.on service, i give credit to the staff who were very attentive."
