topic,review
Interesting Japanese sandwiches,"The menu offered a nice range of sandwiches. We ordered many to try amongst the 6 of us there. We enjoyed their Nitamago potato salad, the lemon grass chicken and the Dashimaki Mentai Tamago. The garlic prawn was a great disappointment. Their dessert was interesting especially the original cream puff. We enjoyed their Matcha latte."
Pure Matcha Latte Bliss,I have only tried the Matcha Latte & it’s fantastic; not too sweet & not powdery. I believe the matcha powder is not pre-mixed. Well done! Thanks. Atmosphere is cool & chill 😎
Japanese dining,"Tried the Kake Gohan, truffle fries and matcha latte. Salmon in the Kake Gohan is very fresh and truffle fries were generous in portion. Love the service and ambiance of the place. Service staff were friendly when asked to recommend menu to us."
cozy and good food!,"When I first step into the shop, was really pleasantly surprised by the cozy ambience. Ordered the oysters in 3 different flavour, scallops and grilled prawn. All the food was good but the grilled prawns really stood out for me the most. It was so fresh and peel really easily. The meat was succulent and tender. Thank you!!"
Fresh Seafood and Friendly Servers,"I came to dine-in for dinner and was really impressed by the food and service here! I ordered 3 different flavours of the baked oysters (mentaiko, garlic butter, Hokkaido cheese). My favourite was the mentaiko baked oyster. The oysters were extremely fresh, and the flavours of the mentaiko was nicely balanced such that the oyster still remains the star of the dish. I also had the 8pc black tiger prawns which were also very fresh, big and juicy as well! Left the restaurant a very satisfied customer:)"
Friendly Staff with Cozy Environment,Cozy environment with yummy and fresh food. The staff were also very helpful in recommending and explaining the food they served 👍🏻
Japanese food,"Ordered Kake Gohanm, truffle fries and matcha latte, it was delicious! It goes well together! The truffle fries was the highlight of our dinner, love that the portion is huge. Will definitely come back again!"
Hearty Japanese cafe food,"Had the matcha latte, aburiya grain bowl and truffle fries! The iced matcha latte was really smooth and was a good mix of matcha and milkiness<3 I noticed that all their drinks were personally brewed (even the roasting of coffee beans which smelled so good) and would definitely come back to try their coffee next time!

Their aburiya bowl had lots of ingredients (A4 wagyu, onsen egg, shimeiji mushrooms and pickled cucumbers) which complemented each other so well. Loved how tender the meat was! The truffle fries were so fragrant and topped with a good amount of cheese and truffle. Good food, nice ambience. would come back again!"
Satisfying lunch spot,"Had the Friends W Benefits grain bowl which consisted of wagyu beef, foie grad, onsen egg, mushrooms, and pickled cucumber. This dish was very hearty and portions were generous with meat. The flavours blended well together. Would recommend this!

Also had the truffle fries which was amazing! The truffle aioli was tangy and had the distinct truffle taste. It wasn't underwhelming yet wasn't too jelat as well. Would definitely come back just for this."
Great for dinner with friends or couples,"The staff were really friendly and were always readily to assist us. Recommend the tonkatsu sando and fried oysters! For someone who is very picky about oysters, the restaurant did a good job with it. It’s fresh without any fishy smell or taste. The sando was something new to me so it was a surprise to me, especially the sauce. Would love to try the lunch menu next time when I visit!"
