topic,review
Nice place for brunch,"My favourite PS cafe outlet in Singapore. Located on top of Ang Siang Hill, in a quaint building with very tastefully decorated interior. We had the PS burger and Superfood salad. The beef patty was so flavourful and juicy, and the truffle shoestring fries were also very good. Highly recommended."
The P in PS CAFE stands for PERFECTION.,"Amazing staff! Safe distancing measures were followed strictly. Make sure you’re vaccinated! The hostess was really friendly and joyful. I requested a quiet table as I need to do work and she said she had a “perfect” place for me.

It was upstairs and yes, it was really perfect! The manager was nice too. He keep checking up on me to ensure if everything was okay. Would definitely come back! All the staff was attentive and friendly."
Desserts,"Went for a dessert with a friend. We were there 10 mins before the last order, they reminded us nicely and yet still accepted us, which was awesome! Ordered a slice of banana cheese cake, enough slice for two, delicious! Sweet, but for once in a while treat I won’t mind :) The atmosphere of the cafe is nice. Really like the lilies arrangement at the entrance. The only complain was some parties were quite noisy near our table, which is not exactly the property’s doing (just some noisy customers), but just to give some pictures on the vibe from my experience. I’ll come back some day."
Excellent team,Excellent serving team for my March 23 lunch visit. Manager Carlos and staff Eleanor provided top notch customer service. They took our small feedback seriously and gave assurance on continual improvement to their quality of food. Well managed service recovery.
Satisfied lunch,Food is nice.... service is superb!! Celestine really make us feel welcome and very prompt to our request and feedback. That’s the kind of service all is looking for. Will definitely be back for more!
A great find,Fantastic restoration effort. The original pressed metal ceilings and very wide timber window jambs all retain the initial character. Then there's the food! Ill be coming back just for the key lime pie.
Awesome Brunch🤘🏻,"One of my most fave places in SG. The food never fails us. Ordered the prawn pasta, Thai salad, mushroom soup, seafood basket & banana cake with ice cream. Divine desserts & awesome mains... truly a great afternoon brunch! Better to call up & reserve if u r heading there."
Brunch,Had brunch with wifey. She love the ambience and foods. Ordered classic benedict and big breakfast. Their service were amazing from the moment we enter and leave the restaurant. Worth to return again and again.
Absolute amazing service and beautiful ambience,"I went to the PS Cafe Ann Siang Hill branch with a friend for brunch and I had ordered one of the brunch mains. Unfortunately, the dish was not palatable to me possibly because I did not enjoy the taste of the oil used. I felt bad as I did not think I could continue eating the dish despite trying. So I asked our server, Elyn, if we could have the dish packed and order another dish. She then took the effort to probe and check what was wrong with the dish, to which I genuinely answered. Very surprisingly, she offered to switch the dish for me to something else with no extra charge. She also then went on to recommend to me a more popular dish. Clearly, she did not have an obligation to change the dish for me as it's my problem I wasn't a fan of the previous dish. But wowwww I was touched that she even came by to check what's my preferred spice level and if I had any dietary restrictions. She made a great recommendation as the new dish was tasty and flavourful with the right amount of spice for myself.
Overall, Elyn was a splendid, friendly host who really looked out for my friend and I to ensure we had an enjoyable experience even telling us that we should never suffer through bad food, and should like what we are eating to make sure the experience is a good one.

A big thank you to Elyn for being an amazing host."
Beautiful place for brunch,"Beautiful place for brunch and dinner. Always a big fan for their truffle fries. The staff, Toni was amazing. He is very observant and attentive. He pay attention to details. He is a star!"
