topic,review
Great food! Great service!,"The service was on point. Helpful, attentive and friendly. The food came out quickly and was tasty. My only criticism is that the restaurant was cold. Which made it a little uncomfortable."
Terrible Service but YUM,"I had a reservation for myself and my mother; we arrived on time and were promptly seated and provided water. After that, it was if we didn't exist for over 20 mins. The restaurant wasn't nearly full, but no servers even came near our table or even glance in our direction. We were finally able to flag someone down to order, then waited forever again hoping for our drinks, which ultimately just moments before my mom's food. I had to continue waiting an awkward amount of time for mine, to the point I had to insist she start eating before it got cold. The terrible logistics aside, once we got our food, it was quite good - thankfully! Though I'm not sure any food is really worth the frustration. My mother had the fish and chips and I had tye sticky BBQ ribs. We were both eager to clean our plates and we ended with the sticky date pudding, which could have used a little more sweetness but was still good. The rating is mostly for the food. Perhaps takeaway next time!"
Good lunch with visitor.,"While hosting a visitor in town, we went to have lunch at PS Cafe. Surprisingly it was packed but the service was good. Have a good meal and good conversation."
Nice Ambiance,"if you want a different type of scenery away from the concrete jungle, This PS cafe harding branch is the one for you. we had coffee and dessert after walking along Dempsey area. a good green scenery that will take your mind of the hustle and bustle of work life. we had some coffee and pairs with blackout chocolate cake with ice cream on the side. it has been a go to place from to time."
Family brunch,We had family brunch after little walk at Botanic Garden. Vibe was good and we wanted to stay longer if there is no plans after the meal.
Terrible Service and Extremely Overpriced,"The food is just so very average but you try and rationalize it's OK because the atmosphere is so nice and relaxed. But when you throw in awful service with outrageous pricing ($32 for Fish n Chips? Seriously?) it's all a bit much.
But again a relaxing chill place very good for a business lunch. But wait, the staff (and management as I had raised the issue with the onsite manager and he gave me a ""deer in the headlights"" look) have no clue about how to serve the food at the same time. I got my order over 15 mins before my colleague. Simply not what you expect when the bill for lunch for 2 was over $100. Hate to say it but won't be back."
Average at best,"Nice staff, nice ambience but that’s where anything positive ends. Service takes a while and food is cold when served. It’s so cold, difficult to say it’s any good.
In summary, okay to visit but don’t go out your way."
Beautiful location with delicious food,"Stunning setting amidst the forest in Dempsey. Very popular weekend spot for brunch so get there early. Everything we had was excellent. Highly recommend the Thai Chicken and the Caesar Salad. The truffle fries are large but very addictive! Velvet cake with (not too sweet) with ice cream is delicious.

Staff were friendly but we struggled to get their attention. Felt like they were understaffed.

They have a patio outside where you can can also dine, if you are ok with the Singapore humidity. Note they don’t allow dogs.

Would def go back."
Poor Service,"The food is great, but it took over an hour to get our food. We had to ask the waitress thrice on our drinks and food."
Awesome,It was awesome! The place was nice and neat. Food was good as well. Came in dec and theres abit of Christmas vibe
A PLACE TO FEEL AT HOME,"Always like the ambience of PS Cafe Hardings, surrounded by greenery and secluded.
The customer service was excellent too. Staff was wonderful to grant me my favourite table and allowed us to finish off even after they closed the station."
Always my favourite restaurant,"Had dinner with a friend from overseas. Picked P.S. Cafe as it has always been one of my favourite restaurants for many many years.
She loved everything about it, even the name of the restaurant. :)
As always, excellent food, service and ambience!"
Good Product and Professional Customer Service,"Ambience was good, service professional, food and drink of good quality.

Easy parking and restaurant in good standard."
Nice chic cafe,"Went on a weeknight around 730 PM. Place was very cozy and had that unique ambience of being in nature while remaining a stone's throw from civilisation. Nice Christmas tree and soft lighting although we sat on the patio which was just right - not too cold and no mosquitoes as well.

Service is often a make or break and you can tell in a second when a restaurant has bad (or lacklustre) service (which happens more often than expected even at higher end places). This unfortunately was not the case here - staff were polite and helpful but also refined enough not to be overbearing or intrusive. Ordered baked camembert, the mee goreng, and borrows dale pork chop. All great food that befits a cafe of this price.

One special touch was inquiring on extra bread for the Camembert which should've required an additional cover of 2 or 3 dollars. A kindly staff, however, brought us two huge pieces fresh from the kitchen free of charge without any request. This touch of hospitality was well remembered.

Overall, we spent a good 3 hours at the cafe having a good conversation, and would totally come back sometime.

P.S. By the way the washroom was good as well. Very nice (lavender?) scent with artisanal hand soaps. I typically try to avoid washrooms at cafes but this was great."
Ok,Only two salads on menu was disappointing and they were drenched in too much dressing. Could smell deep fryer fat from table
Great evening,"Food is good, ambience is great, service is excellent. The staff happily took our group photos with a smile"
Returned after 7 years,"Location and ambiente still cool, food is standard, nothing special. Service is below standards. you are not being seen by the waiters and really have to approach them to get your stuff. Sorry, expected a bit more!"
Lovely place,"Go for the ambience, especially while the sun is out so you can bask in the lush green compounds. Savoury dishes are good but not exceptional. Desserts are better."
Nice and Cozy,The whole place was nice. Food was great and the serving was big i think good for 2 to 3 persons per dish. Staff were very accommodating as well.
Great experience and smbie. Food and serving large for the big breakfast. Avocado was mashed like guacamole not sliced,"Great experience and ambience. Servings small for amount you pay, ie stacked avocado and mushroom. although big breakfast was large. The avocado was mashed like a guacamole, menu should read ‘guacamole’ rather than ‘stacked avocado’ as it’s misleading. Stacked avocado is fresher! Thks for opportunity to give feedback"
"Great Food, Great Ambience.","As always, food is always good and service is always prompt. PS Cafe Harding is always my choice to visit.

Reservation with PS Cafe is always a breeze and we can be assured of our table to be ready even when we reach slightly earlier!

Ensured everything was conveyed to us to ensure that we are aware of the daily specials and making sure we don't over order with their recommendations."
Review Sat night,"Hi i thought the food and drink was really good but the service was very slow at the start, had to ask 3 times where our drinks were."
service need reboot,The reception at the front need a serious make over. The staff was rather rude towards customers by not listening and almost ordering customers to queue in a certain manner. There were no queue pole nor directional sign to guide any customers. This really dampen the mood to the start of a lunch gathering. I also witness the same conduct extended to another customer. This really upsets me.
"Great Food, Brutal Service",I wanted to really like PS. Cafe but the terrible service put a sour taste in our mouths. We had to go to the bar twice to order drinks given that we were invisible to the staff and after an hour and 15 minutes we gave up on getting our entrees and asked for them in a take away box to mitigate ruining the rest of our afternoon.
Nice ambience to unwind a hectic week,Nice ambience to laze around. Have a meal and chit chat with friends and unwind down in the later afternoon of a Friday.
Best place in Singapore,"This has got to be the best venue in Singapore. We went for lunch at 1pm, and sat outside. It was sensational. Highly recommended."
