topic,review
Interesting young waiter,"We were served by an interesting young waiter with messy hair. He misheard our request and orders a few times and was not apologetic at all (with some attitude shown). While I can understand he is still young, but management can spend more time on training to uphold reputation."
Birthday dinner at PS Cafe Raffles City,"Food was good and ambience suitable to chilllax with friends.

Price of food on the high side though.

Overall it was a good experience."
Best Food & Service in Singapore,"This is just one of our favourite restaurants, excellent food quality and quantity, good beverage selection, superb service and awesome location. We return here every time we are in Singapore"
Service from some staff was not great,"As a frequent customer of PS cafe group of restaurants, I naturally chose PS Cafe as the meeting place for friends catch-up. However, for the first time ever, I did not have a pleasant experience. While I was busy settling down, one staff kindly asked if I wanted still or sparkling water. Caught by surprise as I usually will not be asked and just be served with normal water, I said “still” since I am not a fan of sparkling. To my surprise, it was a bottle of mineral water served. I looked around the neighbouring tables and none has the bottled water. I then told the staff I just wanted the normal tap water but was told off that I had requested for “still”. I said I wasn’t given a choice of “tap water” and I thought “still” means tap water since this is what I usually drink here if am not ordering beverage. The staff said there’s nothing he could do since the bottle was already opened and kept saying it’s their standard SOP that they will ask customer “still” or “sparkling” which to my surprise is the first time I have heard this despite numerous visits to PS cafes. A team leader/ senior staff then came to serve food and we provided the same feedback, hoping they can be more transparent to customers in future. Th senior staff kindly offered to take back the bottle given we have not touched it but again stressed this is their standard SOP. Overall, definitely not a pleasant experience as the message was not well put across. It’s not about the cost of paying for the bottled water but the way the issue was handled by the team. Fortunately, the food was still nice… also to highlight… a manager came over to help us take pic and make small talks with us and he had a great sense of humour which helped to lighten the mood."
Love the ambience!,"Food was great, service crew was accommodating! We had an awesome gathering at PS (RC). Love the black and white decor"
Slightly disappointing,"We tried truffle shoestring fries, crab tart, steak sandwich and double chocolate blackout cake. The truffle shoestring fries was packed with plenty of awesome cheese but lacked in truffle flavour. Crab tart tasted like crab but it was disappointing because it was dry and the texture is like steamed (not silky) egg. The steak in the steak sandwich is quite difficult to bite and cut through. Double chocolate blackout cake was SO GOOD - moist, rich chocolate and big slice (MUST TRY)!"
Excellent Concierge Service and Nice Food,I am impressed with their prompt response on reservation. Credit to Natasha and Yanna for their assistance. The atmosphere of the restaurant is so well.
PS..I love it,It's been my favorite cafe..need bigger menu...a bit pricey...should hv some discounts for regular patron...like us. Will come back
Pleasant Experience,I went with my date on a Saturday night and it was not very crowded which was what we wanted. The atmosphere and ambience were fantastic. Manager and waiters were all friendly and professional. Food was not bad too. Was just hoping that they could do with more variety of draught beers on tap.
Big breakfast at coffee academics is better,"Had the big breakfast 27$. Scrambled eggs, one bratwurst, a slice of bread and some bacon. Tastes ok but it should for $27. However it really is too little variety comapred to other big breakfast places like coffee academics"
Positive Experience,"It was a great and enjoyable time to celebrate my wife’s birthday at a place with great ambience, comfort and good food."
Dinner with long lost friend,"Caught up with my friend from Australia that I had not met since University days. Good ambience food and service, which really made our reunion experience memorable! Will definitely return to visit!"
Quality of food has dropped tremendously,My friend and I order the specials of the day . We had the portobello fries and the fish burger. These items were overly fried and dry. The portobello was tasteless. My friend had the fish and chip and the fish is not fresh and the chips is not crispy and tasteless. We had the cooler soda and ice tea but again another huge disappointment… totally tasteless!! My friend and I used to have very good food at the PS Cafe but this experience is a total put off !! Please do something to the food quality else I don’t think I am ever gonna step in again!!
Wonderful food as usual,Carbonara was very good as donesness of the pasta was Al dente . Black out double choc cake and Sticky date pudding with toffee sauce is my all time favourite ! Lucas the server was most friendly and personable. Thank you
Great food and service,PS Cafe has never failed me when it comes to their food standards and there were some trainees doing service that night who had such a great attitude. Kudos to them for still being all cheerful despite it being the end of the day.
Lucas is a star,"My first visit to PS Cafe, great service by Lucas and the female manager ensuring we got everything we needed before, during and after our meals.

Thank you both and to Lucas especially, such a sweet boy."
Food not as good as expected,"I had PS cafe at paragon, the food and ambience is very nice. At raffles city , the fish and chips are not fresh, and that the food was cold."
PS cafe at Raffles city - lunch,Service is not efficient despite paying for service charge. Food is ex - does not warrant the price I paid for- will not go back to any Ps cafe
