topic,review
Good place for catch ups,"A group of us met after nearly thirty years for a get together and were pleasantly surprised by the very courteous and professional service of the staff at PS Palais Renaissance
Very attentive yet discrete, you guys made it a memorable experience.
Keep it up all!"
Poor service,"there was a dining limit of 90 min but since there were so many empty tables, don't understand why we had to leave. staff still bluff us there were pple out there waiting for the table. when we went out, there was nobody queuing at all."
"~ Good Food, Good Service, Good Environment ~","Mano, Dayah and the rest of the staff who welcomed and attended to us were friendly & attentive. Always leave space in your stomach for their eclairs !"
"Good service, good portions, good quality.","This is a building I last came twenty years ago so it’s refreshing to see a lovely restaurant called PS Cafe on level two. Like the one at Dempsey (which i went for breakfast), there is a garden theme for ambience.

Food came in generous portions. For the soup, the server offered to split into two bowls for two of my fiends to share, and each came with a most delectable toast too. We ordered salad, sandwiches, pasta and couldn’t finish! For a place which sells cakes, they allowed us to bring our own to celebrate a birthday - that was nice.

Service was very good.

Not sure if I’ll specially drive down here again as it’s out of the place for me, but for those who are in the vicinity and contemplating a visit, do come. I trust you will have a good time."
Evening meal at PS Cafe,"Friendly staff ushered us to our table, efficient service.A bistro style cafe with high ceilings giving a spacious feeling to the long room.I had pasta with lovely crisp beans, asaparagus with shaved Parmesan on top.The food was cooked perfectly, no heavy sauces.Served in a large bowl which 2 people could share! Had a lovely Pino Grigio wine which was perfect with the wine.
Nice ambiance with friendly and prompt service."
Server's Attitude could have been better.,Server exhibited impatience and gave us a slight rude tone upon our request for clarification for drink menu.
Great ambience.,"Great vibe and ambience of the place. Food is good, but more towards pricey side. Would be nice if the menu show picture of the food ordered."
Family Xmas Dinner,"The outside was nice but a bit warm, staff friendly but not that fastest..Construction at the thai embassy was a bit annoying"
Beautiful restaurant.,"This restaurant is beautiful. The flooring, high ceiling and outdoor space is lovely. We went on a rainy Monday afternoon and it was quiet and not too busy. This is my favourite PS branch although the Dempsey outlet’s outdoor has its own charm."
Sunday lunch family,"As usual really good service, staff are great and food also. I bit overpriced.
I had a lovely time with my son lunch. See you soon"
Good Ambience!,Happy with the food. We ordered 3 set of Junior Meals come with Ice cream however i forgot to remind them to serve it.
Great service and wonderful experience for birthday celebration,My family had a wonderful experience at PS Cafe in Orchard. I mentioned that I am having a birthday celebration recently and the staff gave us a complimentary delicious cake with a lighted candle and making the celebration special for us. The food was delicious and the ambience and decor was elegance and great. Thank you for the wonderful experience. PS Cafe is my favourite restaurant in Singapore. Highly recommended
Nice ambience & delicious food,"Like the ambience here and food is delicious.
There is indoor and outdoor dining place.
Cosy place - good place to chill.
Price is $$ but portion is big. Service is good."
