topic,review
Great meal Great view,"While some restaurants rely on their location this restaurant provided us with a great dining experience.
We had the Smoked Duck, a yummy Prawn dish and an exellent fried rice.
All were excellent.
Service was 1st class.
Visit at night as the view is stunning.
We will be back !"
Disappointed,"Was really looking forward to having chilli
crab here. Have to say it was a disappointing meal. First they made us wait 15 minutes past our reservation time which is annoying. The service was erratic. Hard to get service, hard to get our order in. The food came out very slow at times. The food was very good though when we did get it. The worst was we never even got one of our dishes and no one noticed until we asked what happened to it. They did adjust our bill. It was a very expensive meal for what we got. It’s really a tourist trap of a place I’m afraid."
Great location nice food,"Traditional Singaporean experience with a menu based on chili crab. A bit of a tourist venue, but good quality and stunning view/atmosphere over Marina Bay."
Amazing and Patient Service,"We came to dine in the afternoon with friends. We ordered the set menu and the food was fantastic. We could not finish our food. The staff were very patient around us and told us at 3.30pm that they closed at 3pm and the kitchen staff had prepare our desserts before going for their break. Most places would inform you to get out by 3pm!

The most exceptional staff was Alex. We wanted to leave a tip via Credit Card but we were informed that the tips charged via Credit Card do not go to the staff which is upsetting as Alex does deserve a well deserved tip."
Great service,"Have been here many times, and felt all the visit was great.

Had a great seat outside is the new (to me) seating arrangement, which seemed improved thanks to the manager Wing Chen

Food , ie chilli & paper crabs, were excellent.

Service very perfect and Wing chen always know our needs and prepared and introducing to us . Will introduce to my friends and relatives to come for meal and their special event .
Once again thanks Wing"
good quality,"Really nice restaurant, good and fresh fish, service has to improve but local dishes are fantastic, everything over the bay's view. Waitress lost my order, I waited for an hour but, I can suggest it!"
You should eat!,Very good food! Traditional kuzine of Singapore ! Do try the signature dishes! They are amazing! Nice location! Kind staff!
Long Lasting Impression Dinner with family - Special thanks to staff called WING,"We visited Palm Beach again after a long time prepandemic time. Favourite dishes still taste consistently FANtastic. We ordered Beef Skewers, signature chili crab, and many others. The Beef Skewers are always the highlight of our dinner there, it is just wow. I just learnt this beef skewers, is actually award winning..

for the signature chili crab, it is beautiful and taste good.
there are two types of mantou you can order separately, Steam and Fried
make sure you specify which one you want, Both are good
use this mantou(s) plural...to scoop up all the chilli goodness of that gravy..

Special shout out to a staff by the name Wing, she helped us patiently and made sure everything we needed was there, super attentive and highly courteous with beautiful smile. Management, congratulations and you should be super proud having a great asset like Wing in your team.

See you guys at Palm Beach again soon.

my booking name was Ivan - dined on Friday 8th of July for 7 people"
Expensive but worth the experience and delicious!,"When in Singapore, you are supposed to do the Chile Crab. I would recommend getting it here. Their recipe is excellent and not as spicy as other restaurants. Another reviewer recommended the Almond shrimp and am so grateful I ordered it. It was out of this world amazing. (And you can ask for the shrimp to be peeled so you just enjoy and eat). They cut up the Chile Crab so it is easier to peel. They also wrap you in a bib. As a native New Orleans gal, I'm not scare of peeling crab. I thought the bowl on the table was wet wipes for when we were done. It was actually gloves so you didn't dirty your hands. (We didn't learn this until after we ate and went to clean our hands more fully than the bowl of water on the table by your plate)."
More than just seafood,"This was my first time at Palm Beach Restaurant. We did not order any crabs, but all the food that we ordered were good.

The smoked duck was a bit dry, but everybody enjoyed the crackers that came with it, and the balachan sauce.

The toufu was very soft and tasty, and the kangkong cooked perfectly. Delicious but not oily, and not too spicy.

The seafood vermicilli was nicely done as well, tasty with a tad of spice.

#choowai2022 #wongchoowaieats #wongchoowai #palmbeach #manadr #palmbeachseafood #seafood #sgfoodinfluencers #sgfoodbloggers #sgfood #lunchboxideas #lunch #yummylunches"
Awful service with so so food,"I decided to bring my family to Palm Beach during their holiday in Singapore rather than our usual place to give it a try. At first, I request a table with a nice view of Marina Bay and was just bluntly rejected and said no more available seats. When we arrived for our reservations, there were a lot of seats outdoors that were given to walk-in guests. We were not escorted to our table and we waited for 15 minutes and nobody gave us the menu. We were waiting there for nothing until I got frustrated and asked for a menu myself. For a party of 6, we were given one menu to share with ourselves. When I was ordering our food, the server who took our order was very pushy in terms of upselling the size of the food items I was ordering. She said that a small portion will not be enough for our group which ended up us not being able to finish the food that we ordered. When I was ordering a glass of water for the entire table she said your restaurant only serves still water which I am fine. When we asked for a refill, the other server said is regular water fine? I was shocked. And the server mentioned that 1.4 kg crab is only available that evening just to hear that other tables were offered smaller ones..

For a restaurant that charges a premium, the experience was not worth remembering. Service should be improved! Diners would expect better service from a place that charges a premium price. I would definitely suggest going to other places that will get your money's worth."
Great Food but extremely poor service that ruined my experience,"I have been to this restaurant many times up to last year. Given the past pleasant experience, this year is my 1st time coming with a foreign guest. However, this time my experience is very very bad. The food is good but the service is very disappointing.

1) My orders came almost at one go, despite my table was totally full. Hence the dishes were placed in a way that was very messy.

2) The cocktails ordered right at the start before meal was so late into the middle of the dinner. It was a 40mins wait and that’s after I have ask for the drinks several times.

3) As we had ordered prawns, naturally we had shells that pile up on our plates that we could hardly eat on it. I have to ask for the service staff to change to new ones and I have to repeat the request many times before the plate is changed.

4) We have also ordered hot chrysanthemum tea. However our tea was not refilled even when it was empty. Again I had to request many time for it to be refilled.

The staff was not even paying attention to the tables. Not only I am disappointed with the service, I am also very embarrass in-front of my foreign guest especially after I sang high praises of your establishment prior to this dinner."
Good food in a great surroundings,"Located by the waters of vibrant Marina Bay, this restaurant serves great seafood.

Went there as a family to celebrate a birthday.

Food was above average. The best dishes for me was the cold seafood platter and the steamed fish. The fried durian with coconut ice cream for dessert was unique.

The asparagus with scallops was good but the addition of fish floss was for me a bit counter to my taste buds.

The other mmmm dish was the Lobster Laksa. The broth was a bit disappointing but the redeeming factor was the very tasty chunks of Lobster pieces.

Overall, a very pleasant dining experience with great company."
Fantastic food ruined by awful service,"I don't know what sort of training the staff receive at this place, but they have clearly overlooked the basics of good hospitality and service. The staff just do not have a clue. Don't know what our waitress's name was as she was one of four different people that made a complete hash of serving us.
My wife and I ate here tonight (Saturday 16th May 2022) and were shown to a table for two where we firstly ordered drinks: A beer, a dry martini and two glasses of San Pellegrino water. I asked for ice for the water. It was not brought to the table. I had to ask a further three times before ice arrived. By then, our two waters were luke warm. By the time the dry martini arrived the ice in it had melted and it of course was therefore watery.
We ordered the clam starter and some garlic prawns. My starter was served but my wife's starter arrived a good 15 minutes later long after I had eaten my starter. Why were the two starters not prep\red together and served together.
Then the chilli crab was served, but the noodles and rice we had ordered to accompany the crab only arrived AFTER we had eaten the crab. The crab was a huge disappointment. It was supposed to be a large 1.2kg crab for two to share which we were charged S$129 for, but when I lifted the shell off it, there was absolutely nothing inside. We just had the two claws and some skinny legs with little meat in them. Where was our 'brown' meat from under the shell? I am used to fresh crabs from Cromer in Norfolk in the UK, and when you pay for a Cromer crab you get all the brown meat, dressed and ready to eat, plus the claw meat. There is NO WAY that our crab weighed anywhere near 1.2 kg. What a total rip-off that was.
It tasted fabulous, but really come on..... you are having a laugh if you call that 1.2 kg!
There was no attempt made to clean the debris off the table before the waitress asked us if we wanted desserts, so I cleaned the rice and other food debris away myself with a napkin.
Again, my wife's dessert was served to her before mine arrived and so she had finished it before I even started. They also took her empty dessert glass away before I had even started eating mine. At what point were the staff trained to always serve each course to the dines together at the same time? Like I said - they do not even know the basics of good waiting service.
When I complained, I got a beer and the water taken off the bill. When I asked for the 10% service charge to be removed (as we had not received any service), the waitress just shrugged her shoulders.
All in all, very tasty food, but very very expensive for what you get, (over S$400 for a meal for two including just one bottle of wine that would sell in the UK for about £6.50 and which Palm Beach charged us S$85 for). The good food was spoiled by terrible service from staff with a very poor attitude. The owners need to stop trading on what used to be, and wake up to the fact that customer service is what really makes a meal great today. The staff need some radical re-training in the basics, before this place could be called one of Singapore's best restaurants.
Avoid. You would be better off eating Chilli Crab at any good Hawker Market stall or seafood restaurant."
Dinner by the river,"Excellent seafood, had the Chilli crab and Lobster! Our server - Jannice was polite and the service was really amazing!"
Good location great food,Wonderful experience. Despite our last minute booking the restaurant did their best to get us a good seat outside. Kelly our waitress was attentive and very wise in her advice on what to order. Very happy we listened to her! Will definitely return!
Good food with nice ambience,"Food:
The chilli crab and the honey tangy fish are delicious.

Location:
The ambience is great. The weather was cooling when we visited for dinner as it was raining in the afternoon. Thus, it was great to sit outside.

Staff/Service:
We came without a reservation but the staff was able to assign us a table outside as we preferred to sit outside with the cooling weather. We ordered chilli crab together with mantou, honey tangy fish and mee goreng and the trainee staff named Janice who was very attentive to us politely advised not to order any more dishes as it we would not be able to finish them. It was a good advise as we were not sure of the serving portions.

Overall, good food, nice ambience and great service."
Overpriced & Dry prawns,"Overpriced, ordinary food & indifferent service. The prawn dish was overcooked & dry & the fish dish was supposed to be hot but arrived cold."
Great food with great view,"Been there a couple of times and it’s my first time writing this review for this restaurant. Great food with great view and ambience. Served by a very friendly Stella and the entire dining experience was great.
PS. If you order Chilli Crab, top it off with mantou. Yumz!"
"Great food, good service and atmosphere","We have a really, nice lunch here after a fun morning on the beach. Although it's a seafood restaurant, there are plenty of choices for those of us to don't like fish. Yay! My guests had the mahi mahi sandwich, and broiled salmon, I had a really delicious ham and cheese on pumpernickel, and the kids had chicken nuggets and grilled cheese. The wait staff was great and the beachy vibe was fun. There's also an indoor/outdoor bar which looked fun.

Good for families, good for couples, even good for a large group (there was a party of 13 sitting near us."
Good seafood restaurant,"Chilli crab, bamboo clam with vermicelli were delicious. Lunch no crowd but seated inside the restaurant as the outdoor not open during lunch. Chairs inside the restaurant were too high, requested to change snd they obliged to. Thanks to Stella and team"
Walked out,Service was dire. No menu no water. Staff clueless Ordered a cabernet sauvignon it had ice on bottle. Their answer was to warm it? At that point I left. Very expensive weird menu. Don't bother
Overall pretty mediocre,"To summarize: Their chrysanthemum tea tasted like water. Their chilli crab was towards the sweet side with the meat kinda stuck to the shell. So it was pretty difficult to eat. Other dishes were alright.

The most shocking was I bought a slice cake from elsewhere and told them to help me refrigerate it. They assumed it was someone’s birthday, and brought it out with candles and decoration on the plate without asking me. I had no choice but to just celebrate to prevent any awkwardness."
"Great view, average food that is overpriced.","Apart from the lobster sashimi, the rest of the food we ordered (Chilli Crab, signature noodles, asparagus) was just average. Chilli crab lacks a punch, signature noodles were too peppery and asparagus too salty. Service was mediocre. View is great but just not worth the value that we paid for."
Palm Beach Seafood - Social Distancing Version,"My wife and another couple recently decided to spend the evening around One Fullerton and landed on seafood. After reading a few reviews, we decided seafood and al fresco was the plan with Palm Beach. We were not going to the restaurant for the tourist trap chili crabs or Australian lobster but rather the award winning honey tangy fish.
We started off with one order of the steamed live Scottish bamboo clam. Absolutely delicious! Then we added a round of the Australian beef skewers (skewers were lemongrass stalks). The meat melted in our mouths leaving us desiring more but knew the main courses were on their way.
Next, my wife ordered two of the honey tangy fish ($14/ea) while I ordered the large Golden Almond Prawn ($40) ... requested the chef to peel shrimp before preparing to avoid that activity. We split those dishes easily between us two. Both dishes lived up to hype - fish fried to perfection with the honey spice on top ... yummy. The shrimp was too fried perfectly (crunchy on outside but moist on the inside).
Unfortunately the restaurant was out of asparagus so we substituted broccoli for the asparagus and scallop dish. Would have been better if asparagus—but we needed some greens. The table also split an order of Kailan Dual Style which was again average but went well with the stars — fish and prawns. Our mates had the steamed and bbq fish which they both enjoyed.
We enjoyed a bottle of the house red as it was a special of the evening — good for the dinner.
So the view was spectacular, service was attentive, and food was excellent. All in — $170/couple. Palm Beach will continue to be a part of our restaurant rotation. Thanks for a great evening."
