topic,review
Birthday celebration,"Wheelchair friendly, mum’s birthday. Mondays margarita offers, friendly staff, restaurant very accommodating, nice place to go for drinks and dine and celebrations"
"Birthday chill out, Margarita Monday",We really enjoyed our chilling out as it’s a Monday and it’s margarita Monday and mum’s birthday.Service was good and service staff were friendly
Taco Tuesdays and Happy Hour!,"As I’m still quite new to the local Singaporean food scene, @papistacossg was recommended by a friend’s friend and I found out online that they just opened a new branch in Tanjong Pagar this May

We came coincidentally for Taco Tuesday (3 tacos for the price of 2) and even managed to catch the last few minutes of happy hour (before 7pm) YAY cuz drinking in SG is damn expensive y’all

A word of advice - it’s probably best to make a reservation online as we had to sit outside (luckily it wasn’t too hot)

[Al Pastor Taco]
We loved the vibrant taste of the juicy pineapple chunks, which added some zing to the intense flavours of the Mexican sauces and marinated pork. Also bonus points for how this wasn’t spicy at all!

[Beef Quesadilla]
Compared to the tacos, I preferred this more as it had a milder seasoning of verde salsa, plus the grilled beef was ultra tender!"
Great taco spot in Singapore,Stopped in here for lunch with the family. Had several different tacos between the different family members and everyone loved what they chose. Staff was super friendly and helpful too!
Delectable Mexican cuisine in a tight space,"I had heard really good things about this Mexican joint, so first chance I had, I was there for lunch. It took a while to get seated as the staff dealt with those with reservations first. Space is a bit of a premium there - around four tables al fresco, a few seats either side of the 'window', and counter seating inside. Being alone, I was seated at the counter where I got a chance to watch how the items on the menu got prepared. I chose a pair of fish tacos (fresh sauces, fish was soft inside with a snappy crunch on biting, very tasty) and a refreshing glass of frozen margarita for lunch. I also liked the decor which featured movie posters as well as a sort of Day of the Dead display. Tip: best to visit in a small group so as to try more items on the menu"
Friendly and celebrating Mexican food,"Went to the branch at Tanjung Pagar, very relaxing atmosphere with an open kitchen and bar concept. Simple decor outdoors as well as indoors. A popular place and brunch menu on Sunday. Had their Tacos, Quesadillas, salads as well as burritos! Tasted authentic Mexican home cooked meals. Their frozen margaritas are good too. Ended celebrating a birthday cake for my wife while the whole restaurant singing her the birthday song! Service was friendly and in celebrity mood. Price was mid range."
Underwhelmed,"It wasn’t that great. Service was good but not the food! I use to love it, it seems to have lost its touch, the fish tacos weren’t fresh and yum tonight they were very meh along with the shrimp ceviche and gauc salsa and chips. Unfortunately Won’t be returning in a hurry"
Sombrero night,"Papi’s Tacos, Tanjong Pagar: Mexican original hole in wall at Seah street so well received it has now opened a second spot at Tanjong Pagar. Dim light, bright neon lights, sombreros and crowd-pleaser food tick all the right boxes! #eatstylishtravelstylish"
Amazing Food and Service,Visited Papi Tacos with my friends and it was an amazing trip down to this small and friendly Mexican Restaurant!! Love the shrimp and fish tacos very much :) Will come again.
The Best Magaritas in Singapore,Authentic Mexican food!! The Carnita tacos were delicious!! Definitely recommend any of their options with carnitas! The Margaritas though...!! So so so so so good!! Honestly the best I have had!
