topic,review
Hawker centres have better pastas,"I've come here twice and been disappointed twice. Ordered the famed squid ink pasta and it was so painfully mediocre. Ordered the saffron cream pasta and it was just a few sheets of pasta drowning in cream. The seafood was obviously frozen for both dishes. For such a high price point, I expected a lot more. I've had better pastas at a hawker centre. Italian food isn't even hard to make. Singapore is teeming with amazing Italian restaurants, I don't know how Pasta Brava still exists."
3-course lunch,"We stumble across this gem of a restaurant as it was raining. But, we were pleasantly surprised by the service and the food. The Garden salad was fresh and crisp. The mushroom soup was smooth and silky. My chicken with mash potato was a filling, and my wife's beef lasagna was exquisite with overflowing of cheese! Finally, we finish off our meals with Tiramisu and Toffee Panna Cota (sorry if this is misspelled2222222)"
Not like before,"the serving reduced. At 8pm, we were told their famous chocolate lava cake is out of stock. very disappointing meal. my children confirmed that they are not coming back."
Absolute Gem,"This is an absolute Gem! Delicious authentic food, warm friendly and helpful staff. They do a chocolate red wine sauce with their steak which is to die for. Amazing all round, I’ll be going again and again."
Disappointing experience,"Was guided to this restaurant on the basis of their menu that was posted on their website. Unfortunately the actual menu didn't resemble the online one and this was acknowledged by the staff without apology. Something about needing to get around to changing their website. The food that followed was hugely underwhelming. The pizza was dry and lacked much topping and flavour. The salmon dish was poorly presented and had lacklustre vegetable accompaniments.
The venue itself is ok and the staff friendly. Didn't appreciate having one waiter try to ""up sell"" everything we ordered.
All in all a disappointing experience."
Average food but good service,"The food was quite average. The recommended lobster tomato pasta was too salty and sweet for my tasting. Calamari was rather small and salty. Overall, food quality was not really worth the price. But the service was quite good. May not return there again."
Tasty !!!,"Mushroom soup is smooth . The pasta Lobster damn fresh , Next visit would try the lobster pizza !!!!"
Food was aWesome. Staff were very helpful and polite. We enjoy the pork tomahawks .Thumbs up guys. Keep it up.👍,Great service and food I must say. Pizza and Keto selections was really good. They also have a range of wines selections that was good. Overall was experience was great. Will come back soon .
Disappointing,"The Scarlet Hotel is nice but the restaurant lacks the Italian atmosphere and enthusiasm of the original Craig Road location with its Sicilian boss.
My ravioli arrived within minutes of being ordered.. it had to go back as it was cold. There was no offer of bread, free or not & sadly it’s nothing like the old Pasta Brava."
Authentic Italian Cuisine,Been searching for Fresh squid ink pasta and not the ink pasta. Guys this place serves wonderful fresh squid ink pasta and it was wonderful.
A restaurant to avoid,"With so many Italian restaurants in town competition is keen. Pasta Brava in the hands of a new owner is not going to make it. Ingredients, taste and attitude all sub par. Good luck to the new owner. She needs it."
Terrible Valentine’s Day evening,"Girlfriend and I had booked a month in advance to celebrate not only Valentine’s Day but our anniversary. We were eagerly looking forward to the food given the great reviews posted online and also the fabulous write ups indicated on the menu. We had opted in for the 4 course Valentine’s Day special.

We were keen on the sea bass and ribs but upon arrival at 7pm we were told that the sea bass had run out. We then compromised to have the lamb ravioli and ribs, while other couples that came at 7.30pm were not so lucky and were told that even the ribs had run out leaving 3/5 options.

We were served appetisers only to be asked later on again if appetisers had been already served to us by the waiters. The promised love “cocktail” was a mocktail that consisted of mostly syrup. We were then further shocked when the ravioli came with only 3 pieces. Overall, portions were small and service was lackluster. I had come with great expectations of the place but was terribly let down.

Please avoid this establishment, I’ve had better food and service at other pasta places at a more reasonable price."
Bad Valentine’s Day dinner not worth the price $118++,"Ala cart menu not available. Starters only mushroom soup and 3 slice sashimi. Main was 3 piece of risotto , sea bass and penne palm size. Dessert was some sponge cake. Disappointed not worth the price"
"New year, new location, new experience",Had great pastas as before when Pasta Brava was at Craig road. They moved to Scalet Hotel near maxwell market. Food was just as great! Great service too!
"New place, almost the same food!","New place at Erskine Road looks fancy and cosy. Food and service was also good as usual, apart from the one dish we always order which is their Truffle Cream Pasta. They have not been as generous with the truffle and the sauce. Could only taste hints of truffle and sauce was a lot lesser than what we used to have. I'd rather pay more for it to enjoy it even more."
Restaurant very romantic. Very suitable for couples or friends gathering.But food a bit expensive than others restaurant,Restaurant very romantic. Very suitable for couples or friends gathering.But food a bit expensive than others restaurant.
