topic,review
Quality food and attentive service,Pleasant experience. Quality food and good service. Clean environment and the waiters were polite and responsive.
"Good service, good food",The pasta was fresh and I especially liked the squid ink seafood with white wine sauce. The steak was perfect.
Dinner at Boat Quay,"The restaurant seems to be short-handed, which is not uncommon. Tiramisu is good but I prefer it on a plate with beautiful decor rather than in a glass tub. Pasta dishes were good although a little salty, esp. Carbonara."
EXCELLENT SERVICE,"The server or restaurant manager was very friendly, thoughtful and detailed with the menu. Thank you"
"Amazing food, and very good service.","The grilled eggplant is amazing. And, to me, the white-wine base pasta is the reason why I will come over again,Must TRY!"
Great Service and Food,Best cream-based pastas in Singapore. The meatless dishes are the true star of the restaurant. Affordable price and even the beers or antipasto sharing platters are value for money while not compromising on quality. great ambience beside the river.
Family Lunch,We chose this restaurant because it offers a choice of vegetarian dishes. We were seated strait away and the food was served quickly which was great and value for money.
Perfect italian pasta,"I went two times in one week to salvatore.
Both times i got perfect fresh pasta. And the sauces tasted fresh as well, like in italy. The wine comes temperated, which is important in this hot weather. If you got a table by the river, you have also a great view. The only thing that could be improved is the size of the portion (it was both times alittle small)."
Nice pasta,Will recommend the Al Samone. Bolognese is alright. We went at an earlier time(6pm) so there were no queue.
Authentic Italian Recipes,"Seated pretty quickly. Since we were vegetarians, they suggested optoins available. Pasta in Marinara sauce was superb. Thin crust pizza was also good. Good fast service. prices are a bit high."
Limited choice rather pricey,"We went for dinner on a quiet weekday evening. As vegetarians, we wanted to share a pizza. The waiter recommended one, but came back 10 minutes later to say that it wasn't available. There were only 2 other choices; the Vegetariana Pizza which we chose was average in consistency and taste. The third member of our group chose a grilled vegetable dish, which she enjoyed. Beverage prices were too high for such a locale. The waiter was polite but slow, and seemed too anxious to clear the table while we were just finishing. We did appreciate being welcomed by the owner Mr Salvatore."
Lovely Ambience with Delicious Food,Restaurant was beside Singapore River so there is a lovely river view. Risotto was delicious as usual but this time round the pasta was a little overcooked and not Al dente. But the service from the crew is excellent!
