topic,review
Cheer time🍻,"Weekly have beer time here with nice staffs...my husband love the beers a lot😍🤩🥰 @Fei, XR, Rana, and others"
FANTASTIC!,"SUPERB ambience, DELICIOUS food, GREAT service. The restaurant is cozy. The drink is very on point. Definitely recommended!"
Great time at Paulaner,Brought my friend there for their bdae celebration. For them is their first time there and the like the beer and food there. We had enjoy the mini bdae celebration on Monday. Thanks Paulaner!!
Disappointed with the sharing platter,"The sharing platter was disappointing, meat was dry and cold. Taste was bland and when sauce was added, it tasted worse. Not coming back. Beer had only 3 options to choose from."
"Good ambience, good service",Not the first time I have been here. Returning for the good beer and service. Food is good as well. Seats are limited over the weekend so make sure to make reservations in advance!
Fantastic staff and service,We had an amazing time with friend. A shout out to XR for his amazing service & hospitality. Thank you so much.
Great place!,Love the food. Ambience is great. The sharing platter was a good portion even for 4 people. Come before 6:30 and enjoy the 1 on 1 happy hour promotion!
"Good beer, service and atmosphere",Excellent service. Our server ‘XR’ was super friendly and attentive. Recommended to anyone looking for after hours drinks
Another Awesome Gathering at Paulaner,"This is the 4th time I visited Paulaner this year and everything BEE (Paulaner Stuff) had taken good care of us! She has been awesome and very attentive. Giving good honest feedback on the available food in the menu list and also providing us good recommendation on the food and Drinks. Highly recommend all guest to look for BEE at Level 2 restaurant and she will take good care of you and your guests, giving everyone a very good time! Cheers!!!"
A German Brewery Restaurant not to be missed!,"Ambience is nice. Well decorated to depict the festive theme. Excellent beer as always. Well brewed and flavorful! Lastly the service staff, Bee, was professional and cheerful in carrying out her duties. Will be back definitely. Prost!!"
Great Service!,Bee is our waitress for the day! She provided great service in recommending great food and drinks! We loved her service and will definitely return in near future! Y
Great Service!,Great service by Bee! She is attentive and provided great recommendations for the food menu! Bee always provided her best service!
All year long Oktoberfest experience!,Great for a quick bite of German/Swiss food in sunny Singapore!! Great choice for those who yearn for food that goes well with great beer and even better company!!
Christmas Dinner,Rana provided world class service. He was attentive and made sure all our needs were attend to. Will come back for sure.
Best beer in the world,The food is fantastic and the beer is really very good! It is one of my favourite places to visit for good beers
Paulaner best beer!,Rana was a very good host. The food were all great with sufficient portions! The service was top notch too
Good food,Rana was excellent in his service. Recommended for the amazing and wonderful and excellent and delicious food!
Great experience in Christmas,Rana was really friendly and nice! Had a great experience here for a Christmas celebration with my friends. The pork knuckle was exceptional
Gathering,Great food and services from Syukri. We patron this restaurant since they started at millenia walk and till now they never fail us.
Christmas gathering,Wonderful place for gathering with friends . Good beer and ambiance . German food and beer in Singapore .
Christmas dinner,"Good service, good food, good drinks, XR and Bee are great servers. Enjoyed the ambience and the food!"
Great ambience & food!,Came here for Christmas dinner and the ambience was great! XR was our server and he was accommodating and of great help
stellar review,"came here for christmas celebrations and had amazing sausages and beer with a nice ambience, merry christmas to all!"
Christmas lunch,"Excellent service from XR. Had a great time, food was great and accompanied with interesting drinks."
Mr,Excellent service by Jonathan . Drinks and night was excellent.environment fun and loud . Beer was fresh brewed.
Enjoyed,"We consider a regular customer here at the Paulaner Millenia Walk, one of the main reason is the good service of the staff, particularly Mr Rena, he has a good service, gentle, warm and attentive.
We always look forward to enjoy ourselves whenever we go this place and be serve by Mr Rena ."
Ice cold beer.,"Very good place to hang out with friends. Awesome structure, with reasonable price. I’ve been on Christmas and I had a very happy time."
Paulaner cold beer in Singapore,Execellent place for a cold Paulaner and good chatting with friends... enjoying in The hot Singapore every day...
Excellent,Authentic food from Bayern. Highly recommended for anyone visiting Singapore. Wunderbar. Prost. Es hat geschmeckt.
Lively atmosphere,"If you need a good place to drink in an outdoors chillax environment, this is the place to go. Look for syukri to get the best of your experience here!"
Paulaner brauhaus review,"Good service, friendly staff. 10/10. Ate as much as I could and more. Good environment. Family friendly."
Awesome beer,This place has awesome beer that definitely is a good spot to cheer and chat with friends after dinner.
Christmas Eve Celebration,"Good food good vibes and good friends , good dinning place, good chairs good table good meat good chill"
Great place,Great place to hang out with friends and family! Beer and music is fantastic. Wl definity return nexf time
Great beer,Great beer and great vibes! Fantastic music and I would definitely return! Great place to bring your friends and family
Christmas Dinner,"Jonathan is good waiter😊and these food is taste good, next time I will bring my family to come here👍"
Beerholic place,"Best restaurant , friendly staff where you can not missed, nice location , convenience to travel in and surrounded by hotel like park Royal. Just right opposite of suntect city"
Awesome place!,"Great food, ambience and service! Favourite go to place for a nice beer, The brew is good, Try the Weissbier and for Food the Spatzle is my personal fav"
Fantastic service and food,"Loved the ambience. Great food and service. Every staff we interacted with was extremely pleasant, particularly XR who had the initiative to keep checking in on our table"
Chills out,"I was served by Bee and Shukri, they are absolutely friendly and helpful. Always there when you needs them. Is my MUST-GO venue if I am at Millenia Walk and wants a chill out areas. The ambiences is prefect for a Friday chill out! They also have 1-1 promotion for beers every day till 1830hours! Do not miss out!"
Worth visiting when you are suntec city,Beautiful place in the city centre. Staffs are very friendly and attentive all the time. Thanks to Bee and Syukri for your hospitality.
Come here guys,"I love to come to this place, superv environment, nice crews. And fantastic beer. Do come here guys!"
Great German experience,Fast and attentive service by Vincent. Highly recommended . Reminds me when I was in Nuremberg. Will return soon
Christmas Dinner with Friends,"Good food with good atmosphere. Food platter was delicious. Beer was great, as usual..Vincent's service was good and attentive."
Excellent outing to Paulners,Excellent fresh beers. Food was good as well. Very authentic German fare. Service staff were very attentive and helpful!
"Awesome place, food and beer",Amazing restaurant. Love the whole atmosphere. Good for big group gathering. The food is delicious. 1 for 1 craft beer! Special thanks to Anson for attending to us so many times during the meal!
Paulaner,A great place with great atmosphere. Nice place to hang out and chill over some beers. Location is also very strategic
Good place to chill,No complaints at all Friendly and accommodating staff Can’t go wrong with the beers Very spacious area
Best place for beer,"Rana provides very good service. The beer and food are amazing!! The atmosphere is superb, we definitely will come back again."
Good place,Shukri is the best server ! Good place to have a decent beer ! Great place with good vibes. I like to be here
Perfect place for beer.,Perfect place to have beer. The beers are definite unique here. Go for the dunke beer and lager. Syukri has been delightful in helping us out.
Dope,Waiter Dickson from Paulanervrauhaus is very friendly and accommodating. Wednesday night never been bette!!!!!!!!!!
Wednesday night,Great beer garden on a week night! Enjoyed our time here and good service from Dixon. Very friendly and accommodating.
XR,Great Christmas Special! The duck felt like a traditional Family Christmas feast in Bavaria. Tasty Radler
Great evening served by XR,"Excellent food and drinks. Excellent services received from XR, a nice gentleman made our evening Will definitely return again and recommend friends to be here"
Food is great!,The food here is sooooo nice! Is really a nice place for team bonding with some beer! Price is affordable as well :)
Gathering with Friends,found this place from xiao hong shu，surprise this place are so nice ，we enjoy the environment here， chill & beer very nice.
Dinner,Came with friends. Nice ambience and delicious food. Will come again with family and friends. Love the Christmas decoration.
Awesome beer!,I have always patronised paulaners for their promotion beers. The wooden table and chairs add to the ambience and i love it here
Paulaner is a must visit if you are looking for great beer in Singapore 🇸🇬,"It’s our go to place and from past 3 years we have been visiting in December to get the Christmas vibes
Staff is very friendly and welcoming here
Liezel has been really exceptional in taking care of our order and made us feel really special for our visit this time"
Overall great experience,Great Service by Liezel / Good Food / Great beer! Highly Recommended!!! Enjoyed the pork knuckle especially . Also 1 for 1 beer on Mondays to Saturday.
