topic,review
Awesome breakfast buffet,Thanks to Peppermint for all their work preparing and replenishing the breakfast buffet. Great service of coffee and clean ul!
All the food for buffet dinner was cold and its extremely over priced,"also not suitable if you dont eat seafood, limited choices of chicken, beef and no pork, the staff are not very friendly - mostly only care about collecting money"
Great food!!!,We had our company lunch on Friday 23rd dec. A group of 30 pax. Food was delicious and of high grade and quality. It was crowded but they manage to top up the food on time. Food was piping hot too. Servers attended to our request for hot drinks promptly. Thank You Ms Sonia for assisting us with the complimentary parking coupons. Will be back again! :)
Lovey friendly restaurant in hotel,"Good service. Had breakfast the morning of our arrival and was served swiftly and with great friendliness. Best for breakfast and possibly lunch. Large buffet choice including omelette station, however only one omelette chef which created a slight delay."
Great food selection! Awesome service!,"Had the best buffet here at Peppermint! I tried everything and it was all so delectable. But the seafood is my favorite. All were so fresh and mouthwatering... I just can't get over!! The place was cozy and elegant too. Our reservation went smoothly. Kudos to the staff Sandra for her efficiency.
We'll definitely comeback!"
Lunch Buffet,Food was splendid!Staffs was very attentive and efficient.Shoutout to Lauretta for her very prompt service! Desser varieties was delicious :) Cleaniness of the restaurant top notch! We will come back for sure! Thanks Peppermint!
Great Food! Wonderful Service!,"Had lunch here with my lovely girlfriend...
The place was warm, accommodating, & relaxing.
The food options & spread were more than delightful.

My favourite was the Leng Saap spicy beef oxtail & the lamb dishes.

Moreover, the restaurant service attendant, Sandra, was very cheerful & helpful.

Overall, it was a wonderful dining experience:)"
Buffet breakfast,We had a delicious buffet breakfast as part of our stay - there were so many amazing options! We were served by Lauretta and she was so kind and helpful - she made our experience very enjoyable :)
Thank you!,"Peppermint offers a great variety of breakfast, definitely recommended. Fresh food and great service. All the staff were friendly and attentive.

We stayed here during a personally challenging and difficult time, but everyone was so caring and helpful it really made a difference and helped us cope. We always felt taken care of really well. Thank you very much!

We would especially like to thank our breakfast lady Laurietta: You always made sure we had everything we needed, your breakfasts were delicious. We will never forget you!"
If u want to splurge for breakfast…,"V good breakfast buffet, many varieties, cooked on e spot for some types of food, walk in at $38++, attentive staff, no regrets"
Good variety of cold seafood,"The variety of seafood on ice during dinner is decent. However, the hot food variety isn't as large as other buffets in nearby hotels. Breakfast variety is ok."
