topic,review
Outstanding!,Just had the most fabulous dinner at Pangium. The food was sublime and the location amazingly enchanting. But it was the service that left such an indelible impression on us. It was totally professional and yet friendly and personable. Helen and Nelson were outstanding and Eve ry single member of the team was truly impressive. Definitely will be returning. Congratulations to all the team. Thanks again for a very enjoyable experience.
"Good Value Nyonya Food, experience could be better","Pre-ordered for pick up because delivery slots were full.
Was informed that Chap Chye was not ready at the time of pick up and had to settle for another dish instead.
Overall would say variety of dishes are value for money, but taste, quality and overall experience was found wanting.
Had a better experience with their set meals, must say ala carte not the forte here."
Authentic Nyonya Food,"Food wise is good, but the waiter Ah John is pretty bad be aware of his silly jokes n don’t tip him. Tip the tomboy waitress. Average price is about $35-50 per Pax. Try the soup bakwan kepitin and eat ur rice with the gravies it’s a melody in mouth!"
Unpleasant time,"That night we were there to celebrate a family member's birthday. There was a big group of men who occupied several tables right in the centre of the restaurant. The group was very very loud, so much so it was difficult to hold a conversation during most part of our meal since we could hardly hear one another. I wish a restaurant staff had forewarned me about this big group they were having & given me the option to chg/cancel my reservation. Although the staff apologized for the unpleasant atmosphere but damage was done.
Thankfully we were not there to entertain overseas business associates, which we have done so in the past. This incident made us wonder if we will want to consider Peramakan for entertaining our guests in future."
"Nice dishes, but rice remains low quality with some bits under cooked","Dishes are authentically cooked and flavourful, albeit on the expensive side. Disappointed by the poor quality white rice served, that had bits under cooked. In Peranakan dishes where it is typically full of sauce and with strong flavours, pairing it with good quality premium white rice will enhance the dining experience. The waiter serving us was very polite and took our feedback in stride. Hope you can improve on your rice quality."
Simply delicodel,"Tucked inside the Keppel Club (country resort) is this restaurant that sells peranakan cuisine.
Being fans, we ordered most of our favorite Nyonya dishes. Here's what we thought about their food:
- Beef rendang: A+ as the meat is tender and melts in your mouth
- Chicken buah keluak: A
- Bakwan kepiting: A
- Pork pongtay: A
- Nyonya tauhu: A
- Nyonya pork ribs: A
- Chendol: A+ creamy and not too sweet. Simply delicious"
"Reasonable CNY prices but lift broker down,",Food and served good. Didn’t overcharge despite CNY. Unfortunately only 1 lift to restaurant and it malfunctioned due to fire drill. Stairs not viable for elderly. Dark windy and slippery.
Yummy!,"I went there one week before Chinese New Year Celebration in Jan 2020. It's my first time and I had a chance to try many delicious dishes. The drink that I suggested was Honey-Lime-Aloe Vera. It's very good for heath; not too sweet, a bit sour together with chunky aloe vera jelly for chewing. Another one was a special menu named ""Yee Sang or Yusheng"". It's raw fish salad which is unique menu for Chinese New Year, symbol of prosperity, and can be found only in Singapore and Malaysia. I highly recommend!"
Homely and Delicious,"Very good and honest peranakan food, with a touch of home. Will definitely return to try the other half of dishes i didnt manage to try this time round. Picks include the lamb rendang, babi pontay, ayam buah keluak and sambal kangkong. The dessert durian pengat was very good too."
Love the food and service,The food was fantastic - taste pretty close to my great grandma’s cooking .. Remy took very good care of us and service by her was fantastic !
Homely Peranakan cuisine,"Friendly service. We ordered set dinner. Serving portion was big. Enjoyed the Otak, pork ribs & desserts. Spoilt with choices."
Good food with cosy environment,"We love the food and so is our guest from Netherlands. The environment is quiet and cosy, suitable for both families and business."
night out with friends,fantastic food and service! free flow of rice. dessert was superb! great ambience with authentic peranakan food.
Delightful,Very good service. Generous portions. However be sure to check the level of spiciness before you order. Some dishes were too spicy and hot for those not accustomed to local tastebuds levels.
Delicious food!,"Visited a few weeks ago for lunch. It was mid week so not busy. Decor is nothing to shout about but service was generally good and food was of a high standard. We ordered a number of mains and then had desserts - way too much food but worth the calories. I really liked the ngoh hiang, otak and sambal chilli. The most memorable dessert was the banana apom which apparently is pretty rare to find. The durian pengat was delicious as well. We left very satisfied customers!"
Lovely comforting food,"Peramakan rarely fails to delight. The Ayam Buah Keluak came with generous pieces of chicken in a rich and sumptuous gravy. Two buah keluak nuts are all you get though, but more can be ordered. We also had the sambal fish which surpassed all our expectations. The flavor was subtle with hints of belachan and well-balanced with the sweetness of onions and the sour contrast of tomatoes. The Chap Chye and Ladies Finger dishes were good. Nothing spectacular, but hearty Peranakan favorites. The only thing that marred our dining experience was the ngoh hiang, which really was rather disappointing. But we ended on a high note with dessert - apom berkuah and durian pengat! Yum. Service was also excellent!"
Beef Rendang or Assam Beef?,The dishes were good except for the beef rendang which tasted more like assam beef. There was hardly any coconut taste; maybe not enough kerisik & too much assam?
Unforgettable,"My friends and I travelled to Singapore from Australia for a holiday. All of us foodies, we were told we couldn’t miss Permakan, and we weren’t disappointed.

You don’t get nonya food like this in Australia - Assam fish, black nut chicken and the most tender rendang ever! Not to mention their insanely perfect kuehs and desserts!

Thanks for treating us like family and making us feel at home. This is a meal I won’t forget!"
Great genuine peranakan cuisine at affordable prices,"Came with a group of 10 and ordered the dinner set menu for 8 as well as some other vegetarian dishes as well as some red wine. We had the ayam buah keluak (recommend it!), lamb rendang (very generous portion, very soft and tender), itek tim, Babi Pongteh, Sambal kangkong, a plate of large and yummy Otak Otak and Assam fish as well as vegetarian (one of us strictly vegetarian) servings of “Ayam” kleo, sambal bendi goreng, petai “prawns”, and nonya tahu.
We also had a bottle of house wine and another that we brought along.
For dessert we had durian chendol, chendol and burbur cha cha.
All delicious and we left feeling full, satisfied and very sated.
Remember to bring your OCBC credit card as you can get a discount.
In the end we paid $443 for 10 people eating all the above with wine and good conversation in a quiet corner. It was well worth it!"
Good Peranakan food,"I do not know how Peramakan compares with similar cuisines in east but over in west side, it is one of the better ones."
Set menu portions are very generous!,Very consistent standard of foods through the years. We were filled to the brim even before the last dish and desserts. The durian pengat was GOOD!
Awesome Peranakan Food and Excellent Service,The food was awesome and the service was excellent. Definitely a must-go and must-have Peranakan food place to be at! Service was excellent and the group photo taken was splendid. Food was just simply amazing and mind blowing.
Returned visit,Standard of this once famous Peranakan restaurant has dropped. Service is also slow and inadequate with many foreign workers who doesn’t know the food employed. Food taste in quality I find has also gone below my previous experiences. The soup of fish maw is no different to a fish and meat balls soup. Terribly disappointing and served slightly warm.
Average,The food served tastes quite similarly to Peranakan cuisine. But the dishes aren’t served piping hot. The service staffs are friendly though!
Pretty Disappointed & Felt Cheated!,"Had dinner with some overseas friends recently and was pretty disappointed with their service and food.There were only 6 of us, ordered 5 drinks and they left out one. We even had to asked for 2 simple napkins as there was only 4 laid out.
The worst thing is that the food served was nothing like what was shown in their menu or website! The only thing, that is accurate in the menu is the price that we have to pay! I wonder if we have any recourse for this misrepresentation!"
Good authentic Peranakan food,Our family always enjoyed eating here. We have been inviting our friends and everyone loves the food. We have tried different dishes and it never disappoints us. Service was always good. Highly recommended!
Outstanding,"Superb Peranakan food with far more than the usual vegetarian options that allowed the vegetarian I was with to really experience the flavour of Ayam Kleo.
Good service, delicious food and interesting location in the weird colonial Keppel Club which is worth a visit in its own right."
Good Peranakan food at a reasonable price.,"Peramakan has a somewhat plain dining room and a small, but representative menu offering good Peranakan food. We selected a range of dishes including spicy chicken, beef rendang, pork and fish with garlic and oyster sauces which; all were enjoyable. Excellent local beer was the beverage of choice. The staff were attentive and the prices reasonable.
."
Horrible nonya food. Waste of calories!,"The food here used to be really good - genuine and tasty. But the standard has come down a lot... very sad. Will not be returning.

The belijio crackers and chilli were already sitting on the tables in the restaurant; not a hygienic practice.

We had the ayam kleo... too salty, no depth of flavor from the spices. Same goes for the sambal ladyfingers. The chendol is very average too.

Very disappointing... waste of calories"
"Good food, service too intrusive.","Food was very good and excellent value. Seafood is fresh. Redang was tasty and tender. Some exciting vegetarian options on the menu too. If the service could be a little less intrusive towards the end of the meal, it would make it a lot more enjoyable. We hadn’t even finished our meal yet and they were trying to clear our plate before we could finish the last bites. It was as if they were trying to rush us out."
One of the best peranakan restaurants in singapore,"If you are in the mood for nyona food, this is one of the best. All the foods have authentic flavours. The chicken in soya sauce with the nuts is probably one of the best.

They also have durian pengkat which is done very nicely.

Highly recommended."
"Great food, nice environment","The quality of the food is excellent. I have dine here a few times and they really maintain their standards. Service was great as well. The location might be a bit tricky if you are not driving, but you can always take a cab if you are visiting this place. I would highly recommend the ayam buah keluak, babi ponteh, and beef rendang. You can't go wrong with these dishes."
Ambience is nice and quiet for either family or friends get/ together. The only setback is the location is not,"Convenient. We are spoilt for Choice as There is a wide variety of food. Service staff are polite, efficient and attentive even though the restaurant is packed. Staff are able to recommend the restaurant signature dishes."
Nice environment and authetic food,This is our 3rd time visiting peramakan restaurant. It is an authetic peranankan restaurant with delicious food.
Goodt food but hope to try actual menu,Goodt food but hope to try actual menu next time.Table location was a bit obscure next to servie pantry/bar and entry to toilet. Hope I don't have such a able next time
Best authentic Peranakan food,All the favourites dishes can be found here and cooked in the traditional way of the Peranakan culture. Prices are very reasonable
Authentic Asian/peranakan food!,"Food was simply awesome,especially the desserts!Chendol ftw forever. besides that beef rendang,ikan curry were tasty too highly recommended!"
Homely Peranakan Food,Peramakan has always been our go to place for peranakan food as their dishes are very nicely done. We had a good dinner with our relatives as it was the 3rd day of Lunar New Year and was fortunate that it was open for business. Staff were all very friendly and attentive.
Authentic Peranakan cuisine,One of the most if not the most authentic and classic Peranakan cuisine around. Simple cooked for enjoyment with family and friends. Will be back time and time again for sure
A Feast of Nyonya Cuisine!,"Maybe it was Chinese New Year special cuisine but our host just went over board to treat us to a complete feast of different Nyonya dishes. We particularly enjoyed the Chicken Ayam Kleo and the Ayam Buak Keluak, the Pork Babi Pongtay & Nyonya Ngoh Hiang, the lamb shank rendang was delicious, as were the Nyonya Curry Fish and the seafood Otak Otak (reminded us of sheek kebabs) had an light spice definitive different flavour. The vegetable Nyonya Chap Chye was excellent and the Apam Berkuah was a lightly sweet idli like new dessert which we tried. All in all a terrific feast of Nyonya cuisine."
"Good food, bit out of the way","Went on a recommendation from the Lonely Planet. It was good if not spectacular food and a chance to try Perankan cuisine, as the L.P. suggested. It’s also tricky to get to, upstairs at a swanky golf club at the end of a long drive, so would recommend taking a taxi."
Poor customer service,waiters spilt drinks over my mother in law not once but twice! they sems to be in a rush while clearing the plates and don't seem to be apologetic. anyway the restaurant wasn't packed so there's no reason to rush !! food was ok not fantastic.. definitely is our first and last time going there!
Cosy venue for family dinners,Reservation via Chope app was fuss free. We ordered their 10 pax set meal and all of us enjoyed the food!
PeraMakan (Keppel Club),We manage to have a table at PeraMakan (Keppel Club). Ambience was good. Very cosy and comfortable. Food was served very fast!
It's ok... but out of the way.,"Average. Not at all busy on a Monday night. Food is served lukewarm (or the aircon is really strong in the dining room).

Traditional dishes served with rice so quite rich. Desserts were ok. Kind of underwhelmed and would not return. Good value though, around $200 for 6."
Paranankan dinner CRAVING killer,"OMG always sooo delicious and giving the taste of Paranankan after sooo many years. THANK YOU. Balualah, petal, otak, lady finger..... and Must Have durian chendol."
Good food,Food was good and very kind of them not to have corkage charge. Recommended and happy to be there. Please also consider
It was better in the past,"Ate here many times in the past & enjoyed it. This time, however, was a disappointment; not sure what happened.
The Nyonya Chap Chye was not even as good as a similar dish from an economical rice stall. The fish in the Ikan Masak Kuah Nanas didn't taste fresh. What's worse was that the dish was also quite tasteless.
The only redeeming dish we had was the Ayam Sio where the chicken was tender & tasty."
Benchmark,"This is my go to place for Nonya food, cooking is consistent for many years. House wine by the bottle was surprisingly cheap. Good place to bring overseas guest to try local fare."
Great Food,We haven’t been back in a while and we were surprise at the standard of the food. It was amazing! Currently the best peranakan food in singapore.
Always Satisfying!,"This was our third visit to this establishment in about 5 years. We started with a pretty flavourful Bakwan Kepiting, followed by the really delicious whole shank Lamb Rendang. Tried the Nyonya Pork Ribs for the first time and it did not disappoint. In addition, we had a generously plump baked Otak Otak and the Sambal Terung was very well grilled, tasty and not too oily. Ended the meal with an enjoyable Bubor Cha Cha, Apom Berkuah combo. Not the most affordable Peranakan food around but always satisfying."
Average food,"Average food for penarakan standard. there are many better one with reasonable price. Ambient is good no doubt, but again for the restaurant food is important."
Nice ambience and reasonable price,This is my first time trying out at this place. The food is delicious and the ambience is good. We enjoyed our dinner. Good for family gathering.
"Excellent Food, Ample parking, Friendly staff","Shiok Sekali. Sedap Sekali. An excellent place to eat PERANAKAN FOOD. I am a baba and if I can vouch for this, YOU KNOW it’s SEDAP SEKALI!"
Authentic peranakan food,Is difficult to get authentic peranakan food with quality and price. Recommend - Ayam Buah Keluak - Desserts - Udang Goreng Assam
good food with reasonable price,"The dishes looked heavy but tasted good. Ordered ayam (chicken) buah kelauk and beef rendang, both were tender (the beef was a little spicy but tolerable, the chicken was not spicy). We also had spring rolls, which are different from the usual Chinese spring rolls and tasted good too -- a delightful change from meat dishes. The durian cendol has a dollop of durian meat on it and was less impressive to me (still good), perhaps durian pengat could be a better choice. Overall we enjoyed all the dishes we ordered."
Nice food,Nice place with nice food. The service is good and staff was attentive as they recooked our dish when they realised they forgotten that we ordered non-spicy dish.
Excellent Peranakan food,"We were there to introduce our friends to Peranakan food We ordered the Ayam Buah Keluak which is something very Peranakan The beef rendang was tender and the gravy thick and the spices well blended Overall, we enjoyed all the dishes we ordered"
Good food and reasonable prices,"My dad likes the food here and he is usually very critical, so I'm really glad I've found a restaurant to his liking. Really takes a lot of guesswork out of meals! The prices are a little high but only because it is a mid range restaurant. There are vegetarion options too. The waiters are friendly and attentive."
Lunch,Great food great place best place to entertain business lunches. Authentic Peranakan food no where is as tasty
"Excellent food, excellent service",staff was courteous and friendly. service was very prompt. we ordered 7 dishes (including dessert) and we are done with our dinner in less than 1 hour. Food is good and reasonably priced. the appetizer (crackers with acar) is a bit overpriced at sgd6 per plate. all dishes up to my expectation. good job peramakan.
