topic,review
Authentic Italian cuisine,"Excellent service, delicious food, authentic Italian cuisine. The pasta and pizza is a must try. The lamb shark could be better. The steak was great. The Tiramisu is fantastic. Will visit again."
Wonderful Italian,"Wonderful, authentic, unpretentious Italian - lovely evening, warm service - started with the Burrata special, followed by the penne special and a pizza. Also a fantastic bottle of wine picked from their cellar"
First time visit let down by AC duct over table,"We had a lunch over the week end.
Nice ambience , bright place with cozy interior.
Food was great or as nice as most Tuscany menus go.
However, do avoid table number 8.
The AC duct blows directly over the table and within minutes any hot beverage or food turns cold.
Worth a return visit for dinner maybe.
Overall 3/5"
10/10 authentic ITALIANO food,100/100 food i would defo go again for the food. Worth every penny. Prompt and polite service from the team. Thanks for the brilliant food
"Charming Tuscany, at Fusionopolis","A very nice charming Italian restaurant in that area, with alfresco dining too. The overall look and feel is very charming and chic too . Lovely ambience

The staff was very attentive and service was prompt, I was impressed.

I love the choice of items on the menu. The ciabatta bread was soft yet crunchy and fresh.

The pasta with the pesto sauce, was fantastic !!! So was the sirloin steak !!

My linguine Vongole was simply divine !!! That sauce in there had great depths and flavours that soaked up the pasta !! The clams were fresh and yum too

As with every Italian restaurant I go to for the first time , I must always try their Tiramisu for dessert. It’s freshly made and very very nice :-))"
3 visits in 2 weeks,"A few impressions I have by trying different menu items in lunch and dinner with a group of company staffs, business associates and family: 1. Wonderful bread/pizza remind us of our days in Europe. 2. Rich flavors especially cheeses balanced with vinegar satisfying my palate for strong flavors without much salt. Black truffle and cheese pizza was split with the other half with real meat cuts. Special pasta with meats and mushroom has the richness hard to forget. 3. Sublime cheesecake with vinegar is perfect. I had it twice in lunch and dinner. The traditional Italian cheesecake is not too sweet unlike the American version. Vinegar adds the extra flavors to stimulate my sense without making it too rich so I am encouraged to keep eating. 4. The portion is large so the initial perception of the higher price is justified. E.g. in the company dinner I ordered a cod fish and it’s a big piece. My staff ordered a pork ribs that was huge even for a young man. 5. The lunch and dinner time even during pandemic is full of people. The waiters are knowledgeable and helpful but are too busy to maintain attentions."
Expected more..,"Visited at their new premise in Fusionolopolis, dined at the alfresco area, the place is quiet and nice.
Service is kind and fast, nothing to say.
Food wise, I was a bit disappointed, I talk for what we tried:
- pici al sugo di quaglia cacio e pepe: for 29 SGD the quantity of pasta was ridiculous. I don't love the huge portions, but here at least 2 more forkfuls were welcome. Maybe they did a mistake?
- pizza is nothing special, moreover it was burned, thing that spoiled the taste of it.
- tiramisu: 16 sgd, definitively overpriced.
Conclusion: for the price paid, I am a bit disappointed. Not sure I will come back again."
Dine at your own risk.,"Lousy service, food is overpriced and average. Not value for money. Restaurant is hot like sauna. 1 of the worse restaurant."
A visit to Pietrasanta on a quiet Sunday,"An unexpected find in the business district in the west area at Fusionpolis.
It was not so packed the afternoon I visited. The restaurant has 2 birthday celebrations that time. Seems like a nice place for group gathering. It has a patio for those who like the alfresco feel.

Food wise, I ordered the crab ravioli. It was simply amazing! I can't say more.

Worth a try!"
New premises at Fusionopolis,"They have shifted from their lovely rustic and bucolic Portsdown Rd premises (where they have been located for more than a decade) to the commercial urban hub of bustling Fusionopolis. A bit of a jarring change for someone like me who was so used to the leafy surroundings of their previous location, where they were somewhat of an institution there. But they are nonetheless doing pretty well at their present location, due to the huge captive lunch market at the Fusionopolis complex. It is very easy to access via the MRT. I was there for a business lunch and it was an obvious decor change due to its location within the site at the Fusionopolis building itself. Their new premises are more modern and much brighter with more glass windows all round and an altogether more buzzing hip type of vibe (compared to their old restaurant which had a definite countryside feel to it). The food though remains very much the same : excellent authentic classic Tuscan dishes faithful to the original Pietrasanta. The starter of salad and burrata cheese was very good , and the pasta main course was as fabulous as it has always been. Good and reassuring to know that the quality of the food remains very much unchanged, as well as the staff, despite the new location. The packed lunch room attests to its continued popularity......long may it live in this new locale as it is the only really authentic high end Italian restaurant in this part of town."
