topic,review
great experience,"very tasty and the lobster pieces were huge and juicy. portions were also sufficient, well-worth the amount spent there."
Excellent Lobster Roll,"Reasonably priced lobster roll. Very meaty and fresh. Price was ok, good for celebrations! Get extra butter sauce to make it more savoury!"
Good food reasonable price,"For $60 there aren’t too many places in Singapore you can get fresh lobsters. There’s nothing fancy about the dish, but I just like the classic way of preparing lobster"
Very good grilled lobsters,Lobsters are meaty and delicious. We asked for extra butter sauce too ✌🏻 Service is prompt too. Excellent dinner.
Best birthday lunch,Ambient and service is good! Food taste marvellous. In fact is better than burger and lobster! Will recommend to friends and family.
Nice Visit,"Food is excellent, service staff is nice & friendly. Was given complimentary ice-cream when i mentioned it was my hubby birthday"
Lobster experience,The Lobster was awesome... Better than lobster and burger at jewel. Will go back there if time allows.
Good,The lobster roll is good here but it's pretty pricey considering how much lobster you actually get in the roll. If you have a craving thought it hits the spot and service is speedy so expect to be at least $70-80 down and you'll only be there for about 45mins!
Splurge a little,"If you have plans to spend a little more for a meal, this is a nice little joint for that. The seafood was very fresh especially the lobsters. The lobster roll was nice but I think the lobster flesh was over powered by the sauce on top. You can skip the mussels tho’. The mussel itself was cooked perfect but the sauce, soup, or gravy was disappointing it tasted really just like waster with garlic."
Loved it!,Loved it. Service and food were great! Loved the chilli lobsters and the truffle mushroom soup. Definitely will come back again.
Big & Small,"Service is excellent as the female waitress was pleasant with a smile and attentive to change our plates a few times when our plates were full of shells.
I find the grilled lobster too small with very little meat whereas the lobster with noodles was much bigger; just nice! The noodles is a wet version with lots of gravy which did not have a lobster fragrance."
Sweet Escape,"Was there on a Monday evening for a small dinner celebration of 2. We were greeted by sweet Toni, the ambience was just nice. I was expecting a crowd but perhaps it’s Monday hence we had almost the entire place to ourselves with a few other diners. It’s our first time and we’re quite satisfied with the lobster roll and grilled lobster. Will visit again!"
Excellent quality and service!!,"It’s a small bistro style restaurant so We didn’t expect too much. Once we had say done, the whole experience from food quality, to wine option and waiting service (and the speed of serving food), we were IMPRESSED!"
WIfe Birthday Celebration,Celebrated wife birthday at Pince and Pints. Food overall is good. Staff were attentive and friendly. Was given a complimentary dessert for the celebration.
Lobster place,Great place for lobsters. It’s my 2nd time here and it is still fantastic. Did not try the other seafood dishes.
A place for lobster,"Nice place for lobster, lobster roll is same price as lobster. It was good! Staff is very helpful!!!"
Fresh lobsters!,The lobsters were the sweetest and freshest that I've ever tasted. Will visit again. Portions were generous too.
Yummy,"So far the lobsters taste was great.. services good, location abit far n isolate.. restaurant environment was nice and cosy.. overall great experience.."
