topic,review
Love this restaurant food is amazing!!!,"discovered this Restaurant while we were strolling around Wheelock, so if you happen to be on the area, its a good place to try out in the middle of all the shopping spree and malls. the Service is amazing and food is really good, we got the tomahawk steak, perfectly seared and Chef himself did it on our table. it was Divine experience shared with friends. we also got the skewers with rice, Hummus and pita and the shrimp

it was an amazing experience can't wait for to the try the next good stuff on the menu :)"
Memorable dining experience,"Our first visit to the restaurant and we were definitely impressed with the food and service. Food was very tasty and fresh, we could taste that the ingredients were of premium quality. We ordered several dips and freshly made pita, lamb chops mousaka, Iskendar kebab, and Mix Grill. The fluffy pita was served piping hot and went so well with the dips. All the meats were well grilled and flavourful. We enjoyed every single item.

Restaurant was packed with diners and had a happy vibe. It had a homey ambience. We highly recommend this restaurant to anyone who enjoys quality unpretentious food.

Thank you Pistachio team for the memorable dining experience."
Love Arabic Food,"BEST arabic restaurant in Singapore.. attentive service. Price is very affordable for the quality that they serve. We had a memorable experience dining at pistachio, not just because of the food is excellent, I especially love the beef ribs, pita bread , and flafel"
"No taste, Great presentation","There are many choices from Mediterranean but just as a name. Taste has nothing to do with the originals.
We have tried 3 different dishes, without satisfaction.
Just a tourist trap.
Price/quality ratio is strongly disturbed.
It is clean, neat. Presentation of the food is in place."
Best Middle Eastern restaurant for a memorable meal,"This is our return visit to the restaurant within a month, and we were not disappointed. We ordered Adana kebab, lamb shank and Moroccan Couscous Royale. Every dish was exceptional and lived up to our expectations. Despite a full house on a weekday evening, we did not have to wait long for food to be served. The service staff were very efficient and professional. Thank you Pistachio team for another memorable evening. We will definitely be back soon."
Disappointed,"On my first visit when they were at Balestier, the Pistachio mixed grill was wonderful - all the meats were succulent, delicious and well spiced. This time, the lamb chops were overcooked and tasteless, so was the beef. Only the chicken and dipping sauce were good. Told the staff about it but they only nodded. Truly disappointed."
A must to go,As always over the top best Mediterranean food not just in Singapore but to me anywhere I’m the world. Fast efficient service reasonable prices and great atmosphere for Mediterranean restaurant and the chef is such a caring nice man. I highly highly recommend you try it.
Snapper and lamb shank were great,The Egyptian Snapper and Tunisien lamb shank were highlights. They even created a custom Massouka dish. Staff was very helpful and service was prompt. Worth a repeat visit!
Come here for good food,"Good food, good service, good ambiance. Straightforward Middle Eastern food without attempts at going Asian fusion. No MSG, no happy feet, and no heart palpitations. Just good ingredients and well cooked. The owner knows what he's doing. My only gripe was the high price of some items but you're in Singapore after all."
"Food with ""flare""","We had lunch in Pistachio, and tried their mixed grill (comes with 2 lamb chops and 2 shish kebab skewers. Not a large serving for those used to the US or Middle Eastern servings; order a second main dish if there are 2 or more people with a healthy appetite at the table!), pistachio salad (similar to fattush salad, served with fried rather than toasted pita strips on it), cheese boregi (think tasting menu portion, quite tasty though) and kibbeh (fried version, nice balance of meat, spices, nuts). Service was excellent (a shout out to Hong and Aisha, our attentive servers), food is tasty, and if you order the halloumi starter, it comes with a ""flare"" -- the chef runs out of the kitchen to first set the cheese on fire and then douse the flames much to the delight of the Instagram crowd and the amusement of the rest! Will come back and would recommend it."
South Mediterranean Cuisine,"Popular restaurant even at early opening times. Should book ahead to get a seating. Order electronically through your hp. Prefer a menu because too small to see from the hp. For young people perhaps it makes no difference. However was able to order their hummus and baba ghannoush dip with a long pita bread. Nice smooth tasting! The chicken tagine cooked with olives is good. The Tunisian lamb shank and beef Adana was good tasting with their saffron rice and pita bread. Dessert we had their flourless almond and coconut with ice cream. Tasted awesome. Service was good and friendly while price is mid to high. Other dishes looks good, flaming cheese and mix grill."
Not for anyone with dietary restrictions,"Despite identifying numerous food items that can be made suitable for the keto diet, they WERE NOT WILLING to budge an inch to welcome diners with dietary restrictions. First time ever that I heard this from any restaurant worldwide. Definitely the joke of the town."
Passable quality,"Greek/Mediterranean fare. We didn't have many dishes but was somehow still stuffed. Can never resist hummus, and hot pita bread, they are perfect together, always. And the pita here is huge, long and pretty good.

We ordered 2 other Chef Recommendations - Mussels in Garlic Cream sauce and Beef Tenderloin.

If these were the best the chef can do, then hmm, can't imagine the rest. Not that these tasted awful but just wasn't wow and certainly not value-for-money, especially the beef, rather pricey for the thin slices, flavourful though. They were surprisingly crowded for a Monday night so reservations recommended."
My favorite restaurant in Singapore,Food is actually better than precovid when we were here nov 2019 always eat there atleast once per trip. Food is totally amazing something for everyone. Great staff as well
My favorite restaurant in Singapore,"So happy to be back dining in my favorite restaurant in Singapore. Food quality is consistently good, so is the service. Chef Khaled and his team use fresh ingredients and prepares food fresh upon order, you can definitely taste the difference. The restaurant is always packed, testimony to the excellent food and dining experience. Reservation is highly recommended especially for weekends."
Unfortunate experience,"Food was considered tasty until entire table came down with upset stomach later. Informed restaurant via email but they took their time to respond. Was not a nice response from the restaurant manager. Basically said they weren't at fault and we could not prove it was their food bcos medical tests were not performed on the same day. Also implied we did not know how to appreciate their kind of food. We are a group of well travelled friends and it was not the first time we have had mediteraaean food. However, not wanting to get into a tit for tat situation, i just asked for full refund and ended the correspondence with the restaurant. Something was not right for our table that day, that's all i can say."
Best food,"Best food in Singapore the food was excellent and the hummuss ,soup was excellent thanks to the stuff ...........................,......,........................................................"
"Good service, fantastic food","My family came for a birthday celebration, and we loved the food! The beef rib with briyani and mixed grill are must-tries. Not to forget the lovely table service - Aisha our server was very approachable and detailed in recommending dishes. Will come back again!"
Good and tasty,"Second time here and another scrumptious meal. The service Is good too. It is a tad pricy so do be warned, but the flavours make it worthwhile."
Good Middle Eastern Food but it can pinch you a little!!,Good tasty food! Nothing to crow abt the ambience of the place! It can be further improved!! Main set Portions can be better too! Service can be improved also! Eg when the plates are dirty the service staff can make an effort on their own to change it! Generally the staffs were friendly! Nevertheless We had a good dinner! Pls make sure you make yr reservation before heading there! Seats are always full! So they don’t entertain walk-in’s!
Underwhelmed,"I love middle eastern and Mediterranean food, so I was quite keen to this place out. I visited with my wife on an early Saturday evening. I would say that the food is good without a doubt. However the service is pretty poor, considering you need to do all the ordering (plus paying up front!) on an app. At no point did anyone ask us if the food etc was okay. We finished our meal and simply left with no real 'thanks or goodbye' from any of the front of house staff. Prices are high end and with the same sort of service you'd expect at a fast food joint."
Nice middle eastern food in Orchard road,"Portions are rather large. Great for sharing. Beef kebab with rice, mussels in cream sauce, moussaka. It came with a portion of salad. Service was prompt."
"Chef Khaled - symbol of talent, experience and passion!","Amazing authentic Mediterranean food… I can share a long list of the exceptionally crafted dishes - simply whatever you pick, you get the desired taste! However, more than the food is the high sense of hospitality of Chef Khaled - IMPRESSIVE… was having a friendly chat with him about some food My family misses in Singapore. Shortly after, was surprised seeing him with what I was craving for… spontaneous marvelous creation that says a lot about the talent, passion and above all - the human touch that is made with true love…… THANK YOU Chef Khaled and keep inspiring us!!"
Average,"Hummus was very average. Pitta bread is nice and good size. Lamb shank was very good. Iskender Kebab was awful - very bland and hardly any sauce or yoghurt. Please ask
Service was great. Overall 3*, would not visit again because food is average and prices are very high-end."
