topic,review
Really nice and elegant place for CNY,"To be honest I’m a bit surprised by the bad reviews of this restaurant recently…. Our family decided to come to Po for CNY Gathering. I’ve been here few years ago and I absolutely loved POPIAH! I was worried that their quality might not be as good now but I was really pleased that it tastes even better than i remember!
The restaurant ambiance is elegant and staff are attentive. If you wish to eat out with family in a relatively less crowded environment, Po will be a great choice."
A big disappointment,"Restaurant is nice enough, staff friendly . Our entrees were very nice. We all had beef cheek rendang for mains, meat was chewy,tough and not nice texture. I could not eat mine. Told waiter who relayed it to chef, who said he could cut it with a spoon, in other words he didn’t believe us. Such a shame,as we were looking forward to Po so much."
Disappointed,"The ambiance was lovely. I know we are living in a digital world but we did not not like that we had to get the menu from the bar code and read off our phones in an up market restaurant. If they had hard copy menus, we were not offered them.
We shared two entrees which were very nice, particularly the beef satay, so tender and tasty. We all went the beef cheek rendang, was tasty but very tough. We had to request a knife and fork as you could not eat it with chopsticks or break it up with a spoon, was also very gristly and we could not finish the dish as it was unpleasant. We mentioned this to the wait staff who let the chef know. Seems the chef had no problem getting through the beef with a spoon!"
$30 for 4 glasses of water !,"Been to this restaurant 3 times in the past 3 years. On the pricey side ($48 for 4 popiahs) but in Singapore it is to be expected and the ambience and service is always pleasant. Plus I always try to support underdog establishments which aren't doing super well, I feel they are a bit overlooked in the scene and it is a lovely environment. However, yesterday when I went for lunch and when I left, I realised we had paid $30 for 4 glasses of water. They charge $7 per person for sparkling water and $5 for still. When I contacted them by email to verify, their staff rang back. I couldn't speak at that time but assumed there will be some kind of apology but when I rang back today, all they said was that yes the water is free flow so hence $30 after tax. We don't mind paying for water, but $30 for 4 glasses is ridiculous especially since we didn't get any refills. For that price, one usually would get 3 bottles of 75cl Aqua Panna or San Pelligrino in most places (I have noticed prices range from $8-12 in most restaurants). If you want to charge for free flow, please make it easy for us to get refills ourselves at a station or have the servers top up our glasses regularly. My French guests were aghast when I told them, 20 euros for 4 glasses of water for 4 pax is unheard of in Europe."
A really great lunch.,"Contrary to the last 2 reviews, we had a really good experience with the food, the wine and the service. We were greeted by the head waiter who welcomed us and explained about the popiah- it’s also on an instruction card on the plate. A popiah is basically a spring roll that you make yourselves given the ingredients which was a fun thing to do and it was surprisingly filling. Luckily, one of our party was used to Malaysian food and suggested some staters and mains including the star of the show - the paper cooked chicken.
We started with a bottle of champagne followed by several bottles of the NZ sav. blanc which was sensational ( it scored 4.4 on Vivino) .
We retired to the hotel lobby for a further couple of bottles of it ,finishing off a most agreeable lunch."
Disappointing,"The Warehouse Hotel was extremely dark inside the reception area. The restaurant is immediately to the right as you enter the building. We were served very shortly after placing our orders. Overall the food quality was very disappointing and way below our expectations. The Kurabuta Char Siew was acceptably tasty, the soft shell prawn was average good. The ngoh Hiong was unusually served in very thin squares. The Laksa was thin and disappointing in taste, while the
carabinero prawn and konbu mee was overly salty, with no wok hei, soggy, served with 2 large river prawns. We found the mahjong tofu very bland and tasteless, and the green bean salad was neither here nor there… very flat."
Disappointed,"Very disappointed. Read the reviews and was looking forward to it. Food came out 45mins after ordering and 30mins after my partner. My chicken was all bone and hardly any meat. Flavours were good but left feeling hungry!
So disappointed- there are many great restaurants in Singapore but this is not one of them. Don’t bother with it!"
Had a pleasant time,Staff were welcoming and the food was great. Their Popiah is a must try. Would go there again in the future
Unavailable main dishes,Only complaint is that key mains (spring chicken and rendang) were unavailable that evening which was disappointing
Disappointing lunch at Po,Very disappointing at Po. Wanted to try the special CNY lunch set but was told they were not offering that day only when we arrived. And our main course carabinero prawn took a long time to serve. We were waiting for so long.
5-star all round,"Was slightly hesitant when we booked this place as I heard about their 'high end' popiah. However, once you ordered the other dishes (eg. sea bass, hokkien mee), you will realized the overall dining experience and service will make it all worthwhile. The restaurant is not very big in terms of space but you get very personal service. Kudos to their F&B manager Syarif who recommended the dishes to us."
Excellent take on Singaporean cuisine!!,"The food was excellent and well executed. Every dish was fabulous but the star dishes were popiah, wing bean salad and the sea bass. Service was also outstanding. And their desserts were divine esp ice cream popiah!
Gavin was attentive, polite and he knows his stuff! Definitely an asset to Po!
Great overall experience"
Amazing Experience at Po,"It was my first time dining at Po. It was definitely an amazing experience. The food was good, service was top notch and ambience was great! Will definitely bring more friends and family back again."
Local staple food up a notch,"I had a staycation at The Warehouse Hotel and decided to have dinner at Po. I’ve never regretted the decision made. I had popiah and satay and both choices never failed to amaze me, especially satay. The meat on the satay was tender and juicy and the sauce was to die for.

One important note - the professionalism, attentiveness and friendliness the service staffs there made the dining experience even more enjoyable and memorable. A special mention to Gavin who gave good recommendations and went to the extra miles to ensure that we didn’t go hungry while waiting for our satay to be served. Well done!"
