topic,review
Lunch Set for 2,"We visited Podi and Poriyal as we had heard good reviews. The food was disappointing the prices were steep. The rasam and sambhar are much better is nearby restaurants. Definitely not a meal where the customers are made to pay 89 dollars ( taxes included) for a meal for 2.

Understand that price is stated upfront, but the taste of food was no where near fine dining. Soaked moong dal was served on the starter dish with no flavor, medu vada was decent. The carrot payasam was a mix of condensed milk and carrot juice with little to no flavor.

Would prefer to go to Murugan Idli , MTR or Swaadisth for wholesome South Indian meal over splurging 90 dollars on a purely conceptulized meal."
Diwali lunch,"Absolute finger licking tasty food. Trying innovative ideas and still maintaining the traditional authentic taste is an art and Podi Poriyal has mastered it. My family thouroughly enjoyed the great hospitality of the entire team except the lady in the team who I found was indifferent towards her guests. My banana leaf was torn and when I asked for a change she just asked me to turn it the other way round where less food will be served! However little food is served over the slit, still the food would be in direct contact with the table through the tear and that's unhygienic and poses health hazard. I do not know why I accepted her unfriendly suggestion but I did. This is very disappointing as I do not expect such lapse in service from a restaurant of this standard over such trivial issue, when charging over $200 for 3. I also feel if I had asked any of the other team members they would have replaced my banana leaf. Nevertheless, not allowing this episode to dampen my festive mood, I continued eating. The food, and the service from the rest of the team was mindblowing."
Each sip and bite has a story to tell,Every dish & drink taught me something new and did something unexpected. All of the cocktails are incredible. The Jeerige is the most unique and flavorful twist on a Moscow mule I’ve ever experienced.
Extraordinary!!,"This is not a typical culinary experience. The owners and staff are innovative, welcoming, very well informed in what they serve, attentive, and provide a very thoughtful, delectable experience. A must visit for anyone seeking a very different yet enjoyable culinary experience."
Proof behaviour by employees,Visited podi & Poriyal restaurant at Singapore the experience was very poor from its employees. Attitude of the employees are very poor. They are showing racist behaviour to customers. Blaming the customer. Not polite in the approach. When ask the owners need to give feed back. They refused to give the employees names who misbehaved. Higher charges. Even we have better restaurants in Singapore then this.
Disappointed,"Terrible food - all cold! Given the emphasis on presentation, expected the food to be top notch as well. Very disappointed with the quality and value - very expensive for the quality of food. Hope onto MTR right beside instead"
Best authentic vegetarian food,"Undoubtedly one of the best South Indian vegetarian restaurant in Singapore! I had their full course lunch. The starters were amazing- fresh carrot salad/ kosambari, crispy deep fried spinach fritters/pakoda, healthy millet balls/urundai and the highlight of the starters were the vadas! Omg, the vada was perfectly crispy on the outside and soft and pillowy on the inside! Was also served a yumm sweet and sour pachadi! The main course were authentic and delicious rice and gravy dishes! Sambar(lentil based gravy), mor kuzhambu (yoghurt based ), tamarind rice, millet, potato fry, parupu usili (lentil with a veg)and rasam!! Had crunchy vadams as accompaniment! The dishes were simple but tasted great and prepared in a traditional way- The way these dishes are prepared in any South Indian vegetarian home kitchen! Ended the meal with a lip smacking millet payasam! The portion size is good! The service was wonderful with courteous and pleasant staff! I would definitely recommend this place to anyone looking to savour authentic South Indian vegetarian food! Must try those vadas!!"
Traditional South Indian experience,We enjoy the food and Cocktails here. It's nostalgia when it comes to traditional dishes and fun experience with the cocktails made using some of the ingredients that we didn't know can be used before. Staff are very friendly and happy to get feedbacks.
Absolute gem,"The food is authentic, not over spiced, and portions are just right! Probably my 4th visit here and it's always been as good."
A unique experience not to be missed,"A unique experience of a South Indian vegetarian breakfast. Singapore offers a huge variety of South indian breakfast n brunch. some popular Indian chains exist here as well. But you must visit Podi & Poriyal to experience a very different and unique palette of vegetarian south indian brunch. First up, minimal confusion due to myriad choices. 4 items to choose from, with 3 sides to choose from. accompanied by coffee or Chai. simple. if u r a gang of 4, go for variety so u can taste all of it. some combinations offered are unique, not to be found in any other restaurants. most unique, the preparation is as close to ""home made"" if u r from the south of India. there are Dosa, idly, vadai n pongal, so well covered variety. the sides are classic south indian and must try.
it's definitely priced higher than the neighborhood outlets, but as you step out, you will feel every bit worth. in short, not to be missed"
Never Disappointing - Always a gastronomic trip,"This is the sort of restaurant one feels hesitant in reviewing, not because it isn't good but because one fears the descent of the hoi polloi into this (my) culinary shrine and the misunderstanding it inevitably brings, especially in a country where low price trumps taste, and particularly in vegetarian food.
In short:
1. The title says it all.
2. Trust your maître d'
3. Share your food.
4. Leave room for dessert.
5. The drinks, alcoholic and non-alcoholic, are excellent.
Oh btw, I spend <$100 for 2 each time, always having the time of my life."
Overrated,"Completely disappointing experience. When we entered the restaurant at 7 pm, the person at the door tried his best to dissuade us from entering the restaurant despite having empty tables because he was expecting guests at 8 pm who had booked in advance. I failed to understand his selling and commercial acumen of an opportunity loss when the restaurant is vacant and a customer is waiting to occupy a table. We had to convince him we would finish our meals in 50 minutes and he was convincing us otherwise that they would take a long time to prepare the food. So much for customer experience. I did not rate the food very high to justify the premium we paid for dosa and paruppa vadai. The Panaham tasted less authentic than their claims. More than the price, what was more disappointing was the attitude and the absence of authentic hospitality."
Outstanding,It’s a wonder why this bar is not on the top 100 bars in the world. The cocktail fusions by bartender Maestro Gajendran transported us to a celestial palace somewhere in a madras of the eras gone by. We felt like royalty. Keith the manager guided us on this gastronomic intergalactic adventure and Kalai ensured we tasted the best of what the kitchen conjured.
not a great place,if you have to go Podi and Poriyal you have to be a AngMo .. or cannot eat meals there.. we had this weird looks since we opted for Meals ( it was lunch time by the way ) . The guy who served our table was not caring and was kind of showing a lot of attitude ( may be it was running in his mind that we opted for meals in a fine dine place). We have been to this restaurant many times when they had started initially and we always loved the food. But now since they have all whites coming to their restaurant they find it more pleasing to serve them and look down at us.. so please dont go if you are planning to eat a nice lunch there but you can go if you are going to eat Dosa varieties for lunch and you will have all the respect in the world there.
Awesome TamilNadu fare “with a difference”!,"Truly impressed on our very first visit here! Highly recommended by those resident in Singapore, we certainly walked in with high expectations. And those were fully met, May I assure you. The ambience was culturally rich with lots of ancient Madras pics on display. With limited tables all fully reserved weeks in advance, the setting was indeed ‘exclusive’. We settled for the ‘ Set Meal’. For Starters, we got cauliflower bajjis,exquisite vadais served with various chutneys and ‘ panagam’ as the drink. For the Main Course, we got capsicum Sambar, piping hot rasam, raw banana vegetable with beans ‘paruppu usili’ and very nice rice. We also ordered Manga Margarita & tender coconut mock tail. The servings were super-tasty “with a difference”. Accompaniments included fried ‘ vethel’ & assorted podis. Dessert offering was ‘payasam’. We wrapped the meal with piping hot filter coffee which was 100% authentic served in brass tumbler -dabara! A truly memorable meal with a difference!
Will definitely return"
Simple but Serene,"Focussed on simplicity in taste , Great service and brave fusion ideas .
Loved our visit on special day and a great ambience to celebrate special occasions. Desserts and Drinks were just outstanding.
A little high on price for some commodity south indian dishes but try other things will be my suggestion"
Fine dining south indian amazing,Amazing fine dining experience. The food tastes very good and the service was very good. Rich south indian flavour and nice environment and seating.
Awesome service,"Awesome attention to details from the time we arrived till we left. It is hard to get good service in Singapore.
Presentation wise, I have never seen anywhere in Singapore done by South Indian restaurants.
Common to see that in Northern Indian restaurants.
Well done, and please keep it up. Moreover, the story lines by each dashes served by the staff are great. There is so much nourishment in each dish."
Great,Awesome vegetarian food. The taste is on point. Did not try drinks. The mango Curry and beetroot halwa with ice cream is really good and must try.
Fabulous lunch,"Visited for lunch and had a great experience as always. The customer service is fantastic, the staff are so welcoming and passionate about the food. The set lunch was delicious. Will be back again!"
review,Good fiod and service..food presentation and the style is creative. The cost is high and not justified.
