topic,review
Conveniently located,We went twice to this bar on 4th floor - first day we had a nice bruschetta appie and glass of wine and beer. High cost for drinks but easy access. Second visit we ordered a clubhouse sandwich and fries to share - plenty for two and a delish easy lunch.
Completely overpriced,"I was charged $22 for two coffees here, and the cups were only half full, and it was terrible coffee. The staff don't much care for good service either"
Comfortable place to have your high tea,Service is good and high tea has a wide selection of food. It has more savory than sweet selection which is ideal for me. The sandwich is abit dry but still acceptable. Very comfortable place to just relax and have high tea on a weekday afternoon. Not crowded. Price is reasonable too.
Avoid for high tea if you are particular abt service,"Had the festive high tea at portsman bar. In terms of service, it is really bad compared to other hotel high tea.

1) Made the reservation via their website for festive high tea (selected the high tea option) but was told on the spot that they it was not indicated in their record that we are having high tea. Although they did try to serve the set subsequently but not the best experience to be told that high tea might not be available when a group of us took time off work specially for high tea.

2) no high tea menu or tea/coffee menu given, so we had to google the menu on our own.

3) waited 40 mins for the food and drinks to be served.

4) staff did not bother to explain the items served. I've been to at least 20 hotel high tea ans this is the first time that staff didnt bother explaining.

5) saw that our food items (some xmas bauble sweet item) were missing some deco compared to other table.  Inconsistent.

6) too many young waiters who could not answer our questions when enquiring simple questions. When they got a more senior staff over, we had to repeat our questions all over again

I think it's really the worse hotel high tea in terms of service for a long while. Definitely not what i was expecting from a 5 star hotel with such a good rating on tripadvisor. Avoid if you are planning to go there for high tea unless you dont mind the service.

Nevertheless, the food quality is good. The ambience is also good. Thanks to the staff for allowing us to enjoy the high tea until way past our high tea slot time. But the mgt definitely need to do something abt upskilling the staff in terms of service."
Lovely hotel but lacking of staff,Arrived at the hotel around 10ish. Me and my partner ordered drinks and food. The boy who assisted us didn't inform us about our food orders. Waited for an hour just to find out it was not ordered in the system. Luckily Jane helped us and made her way to assist us through out our dining. Thanks so much again Jane!
"A comfortable, quiet, relaxing hotel bar.",We had drinks in Portman's on several days during our recent stay. We always found the bar comfortable and the staff helpful and friendly.
Billing issuresponded responded,"Had afternoon tea sets in late July. Mistakenly redeemed Chope vouchers and paid the bar the same day...Immediately sought assistance from Chope, after two weeks, Chope said the restaurant still had not updated them."
"Wonderfullllll staff, food and hotel","Great great great! The staffs were super awesome! Jane took care of us and assisted us with our drinks and food. Everyone was awesome but Jane took care of us like we were kings! Lol. Service, drinks, ambiance and the hotel itself! We will definitely come back for more and will inform our friends. Thank you so much for taking good care of us and providing excellent service"
Goooooooood,"I was good experience with portmans bar serve by mika, katie, honey with heidi, it’ was good experience in singapore i will not forget it and mozie’s singapore was perfect❤️ I will visit again"
Delicious and worth it.,Afternoon tea is very delicious and worth the money. Staffs are very friendly and good service. Hope to visit again next time.
"A place made to relax, catch up, enjoy!","Thankful that we found the right place to celebrate my birthday!

Enjoy the ambience, treats and services!

Talking about service, we were pleasantly amused and served by Mr Monzie, who cheered us up with his sweet talk and attention to our needs. He even lent his HP wire to me because my HP power is getting low.

Ms Anastasia was also very helpful and made sure that we were all comfortably seated and served.

All in all, a wonderful place to visit. Highly recommended!"
"Awesome service, great hotel",Me and my family stayed in the hotel for few days and I can say thay the hotel is really great except for the room service that got my order incorrectly. Jane helped me with my orders even though we were dining at Peppermint. She even made her way to help me the incorrect food and informed the FO to help me out. We will definitely come back.
