topic,review
DISGUSTING FOOD AND EVEN WORST STAFF,"Pathetic food. Even more pathetic service. Went after all the lunar feastings for some decent Italian food. Wasn’t even expecting much. Ordered a simple carbonara, 4 cheese pizza and kids meal that’s supposed to consist of Nuggets, fries and cheese sticks. How could this go wrong? Apparently everything. The servers and service just made it infinitely worst. They served the soggy fries and nuggets to my kid first and I bit into a dubious looking nugget like object that didn’t at all resemble a cheese stick. Turns out it was FISH that was not fresh and smelled bad. Had to describe to the servers more than 3 times, and finally the restaurant manager, who looked like a a really unimpressive and not fit to be in the service line, Italian guy comes up and wants to take away the food. I tell him that my kid is still eating the fries and nuggets and he proceeds to say then he must still charge for it as it’s restaurant policy and he needs to explain to his “boss”. We obviously call his bluff and stand firm. Said that the fish was a “surprise” that they’ve run out of cheese sticks so the chefs have replaced it for us. So they do all this without ever informing us or giving us a choice. And we told him that The cheese sticks was all the my son was looking forward to eat and that he typically spits out fish (he’s a toddler of 4 years old). ZERO empathy and remained unapologetic making us feel sh**ty like he’s done us a favour by removing the dish from our bill (it was $12). Had the four cheese pizza sent back as well as it was Luke warm and the dough was soft and soggy as well. It came back exactly the same. Was hungry and we were in a rush so we left. Zero service recovery. NEVER COMING BACK. SHAME ON YOU PREGO you’ve been a staple in the restaurant scene as one of the first upmarket Italian restaurants in Singapore and you’ve certainly deteriorated to a point that I would waste my time writing this review to vent. ZERO STARS. People reading this review be warned. Plenty of amazing Italian restaurants in Singapore this is an atrocity."
Excellent breakfast experience!,"Breakfast has been an enjoyable experience that caters for a wide variety of tastes and preferences ! Thank you to the staff, but especially to George who went above and beyond in delivering excellent customer service. Friendly , informative, and always service with a smile ! Much appreciated!"
Great Italian Food & Service,"This is a great Italian hangout, with an excellent range of Italian fare; pastas, pizzas and deserts are quality and excellent. Combined with a good wine and beverage menu, this place makes a really good night out. The service and attention are also first class. Will absolutely return!"
Best breakfast,The options on offer at Prego makes this one of the best restaurants that we have eaten at any hotel.
Airy Ambience,"I had lunch with a work colleague at Prego. Staff were very efficient though somewhat sticklers for the rules (no cutting of desert for sharing). Restaurant enjoys clean modern interior with lots of natural light from large windows. Menu was extensive though quite pricey. I had mushroom risotto, a large portion that would have benefited from more cheese. I shared a mud pie desert which was an excellent finale."
"Great, authentic Italian food at Prego","Having lunch together before the work year starts tomorrow.

Everything was good and nicely done today.

The Mushroom Soup was thick and flavourful, while the Caesar's Salad was fresh and came with sufficient anchovies.

The 4-cheese Formaggi Pizza & Spaghetti Vongole were done perfectly. The Spaghettoni Carbonara was rich and creamy, while the Spaghetti Pescatori was served with very fresh seafood.

Their signature Tiramisu was good but my favourite dessert here is still their Zuccotto Fantasia mudpie. Its combination is done very uniquely, and crumbs go very well with the ice-cream.

However, there is noticeable shrinkage of the portions for the food.

Nonetheless, still a wonderful start to the year!

#choowai2023 #wongchoowaieats #wongchoowai #prego #pregoitalianrestaurant #pizza #pizzatime #pizzas #pasta #pastalover #italian #italianfood #sgfoodbloggers #sgfoodshare #sgfoodies #lunch #yummy #sgfoodinfluencers #spagetticarbonara #yummyfood"
disappointing visit,"carpaccio di manzo was fine. beef was sliced thin enough. however there was no taste of lemon. caesar salad was good but too few anchovies. pomodori e burratta was good except that there wasn’t enough basil flavour in the basil oil.

For the parmesan ravioli, sauce was flavoured well but the eggplant was just weird and tough to eat. Salmon fillet was roasted to a nice pink middle but slightly bland. slow roasted beef short rib was dry and the sauce was too thin. mash potatoes were extremely disappointing - had little chunks, not smooth and just not up to standard. angel hair lobster pasta had disappointingly little lobster and no sign of chilli. lobster, sauce and noodles were done alright. parma ham wrapped cod was tasteless. artichoke had a great texture and tasted nice. polenta was creatively conceptualised and well executed.

the tiramisu was well done - not cloyingly sweet, complex in flavours and with a good variation but harmonious texture. lime custard tart was delightful - good balance of sweetness, freshness and tartness. tart crust was also not too thick despite the small size. cannoli siciliani was good with a nice mixture of flavours and textures however the cabernet sauvignon soaked cherries just became a dish on its own as there were so much. yoghurt gelato was just a disappointing frozen ball of yoghurt (way too hard to be considered gelato) and with large ice crystals in it.

service could have been better as the service captain did not notice the empty bottle of water that was placed right at the front of the table when he approached us. however, one of the service staff was very nice to bring us a ~50 degree C water when we said we were cold.

overall, the mains were very disappointing but the desert was good. all else were ok only. definitely not worth the price. there is way better food to be had elsewhere. hope they can fix their food."
Great setting and pizzas,"Been eating here for a number of years, every time we visit Singapore, and it never disappoints. Lovely setting, great service, nice menu choices. Had crab pizza which was exceptional. Hubby had meat lovers pizza and said that was delicious too. Pizzas are huge but were given take away boxes to take our remaining slices which with us which was good - can’t beat cold pizza!"
Nice Place for Relax Dinner or even for a bottle of Wine,"High ceiling. Spacious Place. Good distance between tables. During this time - it is a very good thing.

Great service - all of them were so nice. Great food. Even allowed us to have a bottle of wine and some coffee the second night with no meals. Which I thought was very nice."
Amazing Christmas lunch,Having just had Christmas buffet lunch in Prego we have nothing but praise for the management and staff. They went above and beyond to ensure everything was provided. The food was excellent with plenty of choice for everyone. Having had several Xmas lunches there this one was the best. Cannot wait for next years!
