topic,review
Great Food,"We ordered the food for our company CNY gathering. The food was succulent and appetizing with good quality and huge quantity.

Everyone enjoyed it."
Ambience lessened by hurried closure,We came as a large family group. The food remained authentic Penang as we remembered and the lobster noodle soup was particularly good. The kitchen however seems to struggle and the chilly crayfish tray was not re-filled for a while and the prawns were not refilled. At 9.10 pm one of the waiter went around saying that the restaurant will be closed at 9.30 but no he is not asking us to leave. We are more used to being told that last order will be at 9.30/10.00 etc not that the restaurant will be closed.
Excellent service 👏,We had dinner at Tien Court Chinese Restaurant. The staffs was friendly & we felt being welcome to the restaurant . Service was excellent. Will recommend to friends or company events at Tien Court Restaurant.
Lovely Stay,"Friendly and efficient staff, lovely spread for breakfast and had an enjoyable stay!! Highly recommend"
Great wedding banquet service,"Joseph was our banquet manager for our wedding dinner. He was helpful and detailed throughout the process, and was pleasant to work with! Thank you Joseph for helping us hold a wonderful wedding of a lifetime!"
Please book with Discount for best Deal.,"We booked using eatigo app with 30% discount on Sat lunch. Timing is 12pm to 2.30pm. Price is $35 after discount. Nowadays it is up to individual to find the best dining discount deals at Princess Terrace. Restaurant was already crowded and full when we arrived at 12.15pm. Utensils are available next to coffee and tea machines. Staff was quick to remove used plates. Staff was warm and helpful.
The spread of food is pretty decent. The Penag Laska, Char Kway Teow, vinegar pork trotter, satay and prawns kueh pie tee were our favourite. We didnt have a chance to eat every dish! The desserts in cut size small portion is good bite with kaya jam spread. The kaya is a saver as the desserts aren't that appealing though. Do not expect cold seafood, that's not Penang cuisine."
dinner,"decent food quality but terrible service. was served warm water without asking if customer wanted warm water.

fast to clear plates but you have to replace your soiled cutleries yourself at the counter if needed.

supposed to have a credit card promotion but was not informed by the staff at the cashier counter. as a result they charged full price.

staff was defensive, saying that customer should ask if there was a promotion instead of them informing the customer because it was busy.

but there were no customers lining up to pay at that point of time.

however, the manager settled the issue already."
Price not worth the food,We paid 48 per pax and the food was not worth the price. I dont know what i was paying for. The only thing nice was the char kuey teow and the vinegar trotter. They don't cost 48 per pax for sure. The only thing good is the friendly service but the food is nothing worth the price. I dont suggest anyone to go there at all. Might as well eat in hawker with that kind of pricing you still have leftover for a good ice creamery.
Quiet n Cool atmoshere,"Place was inviting n quiet. Clean n neat. Service excellent without any waiting time. Staff friendly, warm n bubbly. Attended fast n efficient service. Comfortable n menu excellent."
Lunch Buffet @ Princess Terrace,"Food quality: delicious,
Staff: Very friendly, good service, very responsive
Live station: Food served hot."
Good selection of Penang Food,"Couldn't beat the actual Penang taste, but still considered better as compared to most Penang food in Singapore elsewhere.
Just a few good and bad points to highlight. Desserts ice kacang and chendol ice crystals were too large, prefer to be finer and softer. Fried kway teow and laksa smells good and tasty. Didn't manage to capture pictures as busy eating . But they were presentable same as display.
Service was prompt and responsive."
Princess terrace Lunch,"Hospitality is very good.
CNY goodie’s should include pineapple tart.
Curry chicken is ever that good.
Fried Kway teow is fragrant n good.
Cereal prawn served cold n batter already soft.
Loh bah is good, if remove the shell for prawn crackers even better, as the prawn is big prawn n has harder shell."
Wonderful spread of penang food,"Wanted to bring my wife who is a Malaysia to try food back home since she hasn't been back due to covid, and we were disappointed, wonderful spread and many variety to choose from, luckily we ordered just one portion of some dishes just to get a taste of everything and we're already full after 1 round and still left we some not tried. The kids love it and had a blast trying out different types of food esp the desserts. Service was top notch as well, and the staff was really pleasant and catering to our every needs. Overall a great experience and would come again!"
Quality and taste of food standard has dropped,"Used to frequent this place a lot.
After a long absence, went this Jan and found the food taste disappointing.
Esp the duck mee sua and pig stomach soup. It’s basically bland, water and salt…can’t taste anything else"
Princess Terrace Buffet,"Still serving their famed Penang buffet but a la carte style given the current circumstances. Standards are still upheld, and service is prompt and friendly. Would recommend."
Visit to Princess Terrace Cafe,"It was a good meal with a broad variety of foods, underlining the Peranakan culture with class and expertise."
Awesome dining experience,"I had the Penang butfet at Princess Terrace at Copthorne King's Hotel on at least four occasions in the past four weeks and I am still loving it! The Penang favorites, especially the nonya kueh and apom, was shiok! I liked the braised pork trotter with black vinegar and dried chilli lots too! Well done, Chef Lim and Team Princess Terrace!! Kudos also to frontline service staff (notably Michelle Ho, Susanti and A-ye), who were attentive, friendly and yet discreet. Christopher Ng was still very passionate about service after so many decades on the job! Keep it up, Princess Terrace!"
Value for money,Wide spread of buffet. Loved the live station - especially the char kway teow and ban cheng kueh. Great service.
Nice food!!!,Very nice food! Truly Penang taste! The staffs are so friendly and helpful! We can’t wait to be back! We are willing to recommend it to our family and friends.
Lost It's Lustre...,"Not the Best anymore.....sadly. The quality is not what it used to be. Blame it on Covid ??? Certain hot dishes were served cold. Really nothing to shout about now, not a single dish stands out.
Service Staff - 3 ladies were working hard, well done. Only bright sparks.
There was a guy in a white shirt and tie sitting at the bar counter. He saw us and another guest waiting to be served at the entrance, he did not bother to come to us. One of the chefs at the counter called to him, he then called one of the ladies to come to us, in an irritated way. He then disappeared. Was he the Manager ? If so, should he still be.....ha,ha.
The elder chef at the counter was not friendly too. Took our order in a cold manner, no smile. Seems unhappy doing his job. Seriously, not a welcoming place anymore.
Won't be back."
Pleasant experience,"Visited Princess Terrace on the 11th Dec 2021 for lunch.
Excellent service! All staff are nice and welcoming, especially Susanti. She is very friendly and attentive to us. Food are nice too but slightly on the saltier side. Overall experience is pleasant ! Thank u all staffs who attended to us !"
Will return again on my next trip.,One of the best Penang/Peranakan/Nyonya buffet in town. Highly recommended. Do try those dishes with funny romanized names that you won’t understand on first reading. They’re in fact traditional dishes written in local dialects.
Overall is still quite good,The Ark Thai Mee Suah standard has drop . The rest is still quite good just that the porridge is insufficient of salt . Overall I will still come here .
Great variety of foods and service excellent from servers,Had a really wonderful lunch experience with variety of foods choices. Staff are very polite and attentive. Foods are great and Big shout out to staff in particular Erni (if i spell correctly) of her excellent service. Will definitely come back and recommended this place!!
Mid week dinner buffet,"Service is great, food is okay. Make reservation with eatigo for discount. Best part is the dessert."
A True Penang Culinary Experience,"The food served was delicious and tasty! My wife and in-laws are from Malaysia, and they were impressed by the authenticity and quality of the dishes. Will be back for future meals!"
Good food good service,Food was great and value for money. Staff was friendly and prompt in their service when clearing and serving our food items. Thank you Princess Terrace for such a great family dinner!
Graduation Celebration,Food are served in small portions which is good so that you can taste different food without getting full easily. Staffs are very accommodating. Two thumbs-up for the food 😊
Family Lunch,"Fantastic service and food choices, tasty and quality food. Great dining experience with excellent table service. Must try."
Buffet dinner,"My family of 5 really enjoyed the dinner buffet. We tried all of the food they had, and the food we really like is as following:
Nasi Lemak in banana leaf
Too Thor Tng
Wok-fried porridge
Apom Bokwa with banana Sauce
Bubur Cha Cha
Display fruits
Char Kway Teow
Cuttlefish & Kang Kung
Prawn Kueh Pie Tee
Teh Tarik - order to the waiter / waitress
Cappuccino - order to the waiter / waitress
Latte - order to the waiter / waitress
Bang Chang Kueh (durian and peanut flavour)
Homemade fine beancurd

The food above is really tasty, the drinks is as nice as well. The rest of the food we haven’t try or we felt that the taste doesn’t suit us.

The atmosphere is good, the layout of the tables is not so cramped and there are ample of space to walk.
The service are good as well.

So far, my family and I really enjoyed dinning here. We will come again."
Excellent service by all staff!,Excellent service by staff Qian Hui who is attentive and friendly throughout our meal! A gem in service line! Highly recommended!
Enjoyable Birthday Celebration,"Authentic Penang Cuisine. Our favourite dishes include Too Thor Thng, wok-fried porridge, fish otah-otah in banana leaf, stir fried sotong with petai, durian bang Chang kueh, teh-tarik, kueh pie tee."
"Great food, great service every time","It has been almost a year since our family visited Princess Terrace. We are still amazed by the wonderful Peranakan food and service in the restaurant each time we dine in. For decades, our family has visited this place and relive the sweet nostalgia during our time here. Thank you for giving us the beautiful memories."
Great First Experience,Service staff Ms Ria is extremely helpful and attentive. Buffet spread is good. Cosy ambiance. Good value for money with Eatigo promotion.
Service from the Heart,"Excellent service. Smiles, receptiveness, promptness and warmth. Food items were good with some misses. On the whole, it was a good overall experience!"
Peranakan Buffet,"The service was good, ambience is nice in the hotel. Staff was very helpful in serving dishes and other requirements! Even vegetarian friends can come visit if they don't mind the limited options, but the staff were still very helpful in providing things for us to eat!"
Princess Terrace Penang Buffet,Excellent fresh food. Well prepared and great warm service. Definitely will recommend to friends and family.
Penang buffet,Highly recommended as the food is one of the closest taste to the original. Dessert is a must to order!
Such a gem!,"Service was attentive and pleasant.
Food was good. Enjoyed the char kway teow, pork satay and assam pedas prawns particularly."
Good food and service,"Food was great. Loved the satay, belachan chicken wings and cakes. Responsive staff who are willing to assist. Recommended!"
Princess Terrace,We went for the buffet at Princess Terrace. The food was amazing - there was a wide selection of the usual favourites and all executed to a high standard. the service by the staff (especially Ria) was very impressive.
Princess Terrace Authentic Penang Food,"Friendly service, quality food, family setting. Miss Ria service is personable and consistent. Keep up the good work."
Great service but avg food,"Went with mum for buffet lunch to celebrate her birthday. Great service but food wise, average. Used 50% discount from Eatigo"
Awesome food and great service staff,"Delicious Penang food with more variety choise. Taste are always awesome to satisfy you with a Malaysian food craving. One of the service staff Qian Hui, she is very nice and friendly, introduction us how is the buffet flow and explain to us in the polite way. Keep it up"
Outstanding food and excellent service from friendly staff made it a memorable dinner!!,"Nice to be back to an old favourite of our family. Tonight, the food was outstanding! Now with live station again, the char kway teow had all the wok hei that you need!! The staff at the live counters are ever accommodating, allowing you to make special requests to have the dishes just the way you like them. More importantly, the warm and friendly service from Qian Hui, Ria and all the staff made it such a memorable dinner. Ambience was quiet, not rushed and felt very safe as the tables were sufficiently spread out for safe distancing purposes. Highly recommend and will be back again soon!!"
Nice buffet!,"Back here again for the buffet and even though there are restrictions due to Covid, the food quality remains good! Very good service from the restaurant staff too!"
Yummy food and fab service at Princess Terrace,"Service staff at Princess Terrace were friendly and attentive - you can eat with a peace of mind knowing that appropriate covid measure are in place. The Penang buffet did not lack options mouthwatering varieties ranging from popiah, assam laksa, char kway teow (has wokhey, YUMMY!), too thor tng, and desserts and kuehkuehs *drool*"
Nyonya Spread,The buffet is a spread and the taste of the food is really above expectations. Top notched service too. Thank you Ria and team for making this dining experience a wonderful one (:
Princess Terrace penang food,"The food is fantastic, a wide variety available and the service was great. The servers clear the plates quickly and were quick to respond to our needs."
Princess Terrace,Went for their Penang Cuisine buffet. Had one of my best dining experience. Sumptuous and warm food was served very quickly. We were served by a Ms Ria who was really helpful and thoughtful... Will definitely come back again. Highly recommended
Great food and service,Excellent service and food. Flawless service execution and great quality food. Char kway teow is a must try as well as assam prawn
Pleasant Experience,Food is delicious. Certainly will revisit next time. Hokkien mee broth is good. Price per person is reasonable
Authentic penang food,"As a penangite myself, I must say I really enjoyed princess terrace’s buffet offering.

Only minus I can think of it is that I wish there were more types of Penang food."
Princess Terrace Authentic Penang Cuisine,"I am Penangnite stuck in Singapore, and the food here is good enough for me. Authenticity of Penang food is great, and best of all the staffs here are very friendly and lovely."
Princess Terrace,"Ambience is nice and pleasant
Service staff is friendly and efficient
Food is not bad. With Eatigo 50%discount is definitely worth a visit
Overall an enjoyable dining experience"
Buffet lunch,"Excellent service. All staff are very cheerful and attentive.
Thanks you for well service and patient."
Lost its way,"This place used to be THE place for great Penang food. Today, it charges fifty dollars for unlimited servings of very ordinary food from a very limited menu which most hawkers can beat.
We fully understand the need to renovate the restaurant and put diners in a small ballroom. We appreciate the efforts of the friendly, hardworking staff. The hallmark of a decent Penang restaurant is a good bowl of Assam laksa but what we had was a huge watery letdown. So was the tiniest bowl of chee cheong fun and bland popiah.
I urge the restaurant to take the many feedback in TA seriously rather than give standard management responses to “look into the matter” and “pass on the feedback” but nothing gets done.
We look forward to a time it finds its way and lives up to its past glory."
