topic,review
Breakfast at Prive ACM,Enjoyed the environment as it was quiet and not too many people. Waiters were attentive and fast. I like that the name used for reservation is written on a plate and placed at the table. Liked the Açai Bowl. Still thinking about it after 2days!
Good food and fantastic service,"My husband and I celebrated our 35th Anniversary at Prive ACM on 17 December 2022 with a group of friends. We really enjoyed ourselves, helped by the good food and attentive service of all the staff at the restaurant.

Our requests for additional items of food or additiinal cutlery and plates were attended to promptly. We were also impressed by the patience of the staff when we initially took some time to decide on what items to order.

Knowing that it was our anniversary, the staff of the restaurant also took a photo for my husband and I, which they gave to us together with a card saying ""Congratulations"", signed by the staff.

Thank you, staff of Prive ACM, for helping my husband and I have a really pleasant experience at dinner. The food was good and the service was excellent!"
Breakfast visit,The food is amazing and the service was great. The eggs were perfectly poached and the muffin fresh. It’s a beautiful location with good views. The ACM is also worth a visit as it is so well curated.
Great location right at the Asian Civilization Museum,"Great location, beautiful ambience, ACM is always great to visit. Food and beverages were good and value for money. Very relaxed and chill place"
excellent service,I was very impressed with the service from the restaurant... the team go out of their way to try to help.
Ambience and Food,We were there for brunch. Is a great place to have breakfast and brunch. Nice ambience and good food and coffee.
seafood not fresh,ordered the slipper lobster linguine which was not fresh. they offered me another slipper lobster which was equally bad- meat was soft and mushy. i changed my order for a salad and thankfully it was a lot better. kudos to them for service recovery as they did not charge me for the replaced salad.
We'll definitely be back,Pleasant family dining experience with kids-friendly menus and option of dining indoors or al fresco. Food is generally good. Though we had 1 pasta dish which was overseasoned service recovery was immediate and the chef promptly replaced it.
Dreadful- even for terrible singapore service,"Only gave it 2 because its a nice spot on the deck outside, But honestly , how terrible was the service ! No cutlery, no water- had to go inside three times to get attention (as the servers were careful to wonder by but not look our way). The food choice is terrible ( I had leathery chicken rice with stale, dry rice). Crap wines at ludicrous prices."
Prive ACM is best avoided,"I have been a regular to Prive; this was one of my worst visits in the last 3 years.

1. The table we were given had sofas with dirty cushions (stains all over them) & uncomfortable (too low for the table). Luckily the staff changed the table for us.
2. I asked for draught beer as stated in the menu, and asked for the HH options; there was no draught beer available !
3. The staff gave me Tiger crystal beer bottles instead. He had said S$ 10 for a 750 mL bottle; i thought that was a good deal. Imagine my shock when he gave me the small pint bottle (330 mL). That is nothing but misinformation and cheating.
4. We had guests who got what they wanted. However, the food was ordinary. I had nasi goreng. It tasted awful.
5. Our guest wanted a scoop of chocolate ice cream; we were told after a few minutes the stock had melted since there was a power disruption. Really ? So we went for an alternate item (tiramisu), but didn't like it.

For sure I don't plan to go there again."
