topic,review
Delicious but can be better,"I love Quentin's food but the quality of the food is beginning to go down. For example, the oxtail debal used to be fall of the bone tender, the one we had last week was tough and chewy; we also had the fretu kangkong and it just felt like sadness in a plate. The pineapple prawn curry was nice though. Will I revisit? I will because I do like my Eurasian food and Quentin remains the best in spite of its shortcomings."
Wasted Trip.,"Food was expensive, service was slow, cob webs on the ceiling fans, insects on the tables, waiters looking lost, etc. Zero effort in promoting the Eurasian food and culture. Emphasis was more on promoting the 1-for-1 happy hour drinks. The only saving grace was the live band."
Food is simply great!,"We live near Quentin's for almost 20 years but never stepped in. So last weekend we decided to do so and we were wowed! The food was simply fantastic. We loved the curry oxtail debal, feng, prawn bastador (we added one more order of it), creamy vegetables, grilled baramundi....the list goes on. The live band and 1-for- beer added to the fun although we were seated too close to the band. The manager was extremely helpful. He tried to find us another table because of our toddler and the loud music but the place was full house that night. We are definitely going back!"
Unfortunate,"Food took almost an hour, including kids meal that came AFTER the main dishes. Drinks took a long time as well, no care was given to serve the children earlier. No apologies for late service, blamed the technology that order did not go through but when prompted, they were able to get our orders through system - very dubious response. Food for children was extremely peppery, not suitable for kids.

Absolutely unpleasant experience, with zero attention to customers despite it being in a premium location.

Kids playground had me itching after too - not sure if cleaned proper.

Not recommended for families."
Dinner at Quentin's,"Saw the restaurant featured on youtube so decided to try it and especially the devil curry since there was so much hype about it. However, the dining experience was ok, I guess. Started off well with the fish crackers that went very well with the sambal chili and best part is it's free! Hardly any restaurants will offer free appetizers :) The devil curry - signature dish was overly spicy such that we couldn't taste the spices well. The other dishes we ordered - beef rendang - much better, meat cutlets - ok and the chicken stew had some bugs in it so the dish was removed from the bill after we told the staff about it. We ordered dessert but the wait was too long so we decided no to have it. Prices on the steep side. The staff was nice and service was fine. Worth the experience if you have never tried Eurasion cusine before."
Dinner at Quentins,"The manager upon receiving me in, was so unfriendly and the tine of his voice was terrible! But when I was seated, the waiter, David knew of my discontentment, he apologized and after which he made my dinner throughout the night a very pleasant one. Kudos, to David! He is awesome in handling the situation!"
Unique dishes you won't find at other restaurants,"Known for serving up Eurasian fare, Quentin's is the place to go to if you would like to have a taste of some unique dishes like pang susi, feng and curry debal. Besides the Eurasian noodles that was too salty for us, the other dishes that we ordered – fish bostador, patchri, pang susi – were delectable. Even the sambal chilli that we had with the keropok delivered a spicy kick that my companion and I loved."
Always a Pleasure!,"The quality of the food - Debol Curry & Cabbage preparation, especially - was as delicious as every. The service remains welcoming and comforting, even as freshly minted staff member, David, took very good care of us."
Great food and ambience,Did not know what to expect when I booked the restaurant but the food was very good. DEfinitely would visit again.
Service not ideal,"This is my first time and frankly was disappointed with your service. From the reviews I read before I went, I thought it’s be more family friendly vibe.

When I asked for food recommendation, the server ask me to read and look at the most trending food via the QR quote while the other server didn’t revert back to me as he was too busy.

I seriously don’t think this should be the service at all. Quite disappointing."
Authentic heritage cuisine,"Quentin's does Eurasian food right. Everything was delicious, and the restaurant has a cosy ambience."
Great ambience and closes early,Great place to chillout with group of friends but go early as the restaurant gets crowded and closes early ard 9pm. Food is nicely presented
Easter buffet,Quentin’s is a warm and welcoming family restaurant. Food is authentic and they do not compromise on quantity or quality even when the restaurant is busy and packed as it was at lunchtime on a Sunday. Staff are sincere and helpful. A great experience
Delicious Eurasian Food,"Great dining place if you want to discover delicious Eurasian cuisine like Pasteis de Bacalhau, Prawn Bostador and Curry Debal Oxtail. Value for money, relaxed ambience, great service. Definitely recommend!"
Something different but authentic and good value,"We have patronized Quentin's at Sentosa, so thought will try the other restaurant at Ceylon Road. The place is inside Eurasian Club and has pleasant ambience. Items on the menu are not the usual ones, so tried Ox-tail Devil's curry, crispy pork, chicken stew, chap chye, and of course desserts. Food was tasty and enough for 4-5 persons, but desserts were a bit disappointing, too sweet for chendol and no taste for gula melaka. The restaurant takes it's last order at 8pm, and closes at 9pm, thought it was a bit too early as customers were still coming in at 8+. Overall good foody experience."
Good Eurasian Food,The food at Quentin's were great. The atmosphere was pleasant and my family enjoyed the lunch. I would recommend.
Good food in charming location,"We were disappointed that the sugee cake as sold out but otherwise found the service attentive, food tasty and the restaurant very hospitable. Keep it up!"
Wonderful Valentines Dinner,Bostador was amazing!!! A definite must have! The staff was wonderfully friendly and the ambience was excellent for the evening! I really really love the place and we'll definitely be bringing our family back for the next visit!
Great unique eurasian food,"This is the 1st time i am eating eurasian food. tastes like Peranakan food but has its unique dishes as well. Regular devil's curry was already quite spicy, cannot imagine the extra spicy one. Other dishes are not so spicy. The ambience was nice and the service was good. Names of dishes were nothing i have seen before. Overall good food and portion is decent."
Cosy and delicious food,Nice place to catch up with friends. Food is great. Authentic peranakan and eurasian food. Love the ambience too.
Nice ambience with friendly service,"I always enjoy the friendly service, especially from Steven, when I visit this restaurant. This time, I ordered chicken devil's curry. I found that I prefer the oxtail devil's curry I had previously."
Amazing food. Very impressed,"1. The food was excellent. It was our first time trying out this cuisine, and we loved it. I got my friend to order a whole bunch of stuff, and we really liked it. Dishes that impressed us: Keluar Fried Rice, Pasteis de Bacalhau, Curry Debal Oxtail, Fish Bostador, Sugee Cake, Chap Chye, Kueh Salat & Ginkli Nona.

Everything was outstanding except the Chap Chye, which paled in comparison to all the other great dishes.

We ordered a bit too much for 3 pax, 4 would have been perfect. It was good value for money for the food and experience.

Service was average, they were a little busy on Saturday night and was struggling to keep up with the orders. I had to chase up on my drink and dessert before they were served.

I love the chill and relaxed atmosphere. Nothing fancy or pretentious. Just good food and chill vibes. 11/10 will return."
Great food,"Food is really good and enjoyable, portion is good. The oxtail devil’s curry is a must order dish.

Be patient as the food takes quite a while to come. It’s a small restaurant with air con and non air con seatings. The wine list is quite sad."
Good service and good food,"I think the food was really good and I loved it a lot. It was definitely a bit on the pricier side but was more affordable when using Burpple. The service was great as well as the service staff was attentive, obliging and light hearted."
Casual Eurasian Fare,Lovely neighbourhood restaurant serving Eurasian food. Especially loved the Dry Laksa and Prawn Curry. Just the right amount of spice. Casual vibes with option of outdoor seating too. Service staff was really friendly as well!
Delicious Eurasian fare,"The food here was really good, especially the prawn bostador and oxtail debal curry with baguette. Atmosphere was relaxing and service was great too. I'm not familiar with Eurasian cuisine so trying these dishes was a memorable experience and having their sugee cake for dessert was a good way to end the meal. Would love to come back!"
A Tale of 2 Quentins’s,"Quentins’s at both Locations- Barracks Hotel@Sentosa; EA Community House @ Ceylon Road serve quintessentially Eurasian fare ! Both menus are super good , depending if you are on a “ date night” or family night out !

However when i crave for familiar Eurasian home cooking done to peerless perfection ( like my late mum’s) we head for Quentin’s @ Ceylon Road ... The must must try - Devil Curry with Bacon hock; Buah keluak with Pork spare ribs; Prawn Boustador; Cottage ( beef) pie with lashings of mashec potato on top!

The Sugee cake with Marzipan l icing n tea/ coffee are the perfect meal enders"
Amazing Sunday afternoon Eurasian meal,"Sunday afternoon my wife made a reservation for 2 pax at the Sentosa outlet, our experience was just amazing from the arrival to the table to the order taking and finally the food quality and the service, all was impeccable. Despite little staffing and the rainy ambiances the team and the chef personally put up an impressive lunch. Kudos to Quentin's we will be back, keep up the great job!"
Food & Service equals a Warm Hug,"In these uncertain times, my wife and I find comfort at Quentin's Eurasian Restaurant.
Not sure if it the refining of our taste buds, the food is ever-increasingly delicious. We had the all time favourite 'Curry Devil', Fried Kangkong, Sugee Cake with wine. All were of the highest quality.
Unfortunately, missing was the 'live band'."
