topic,review
"Great food, reasonably priced!","Went to Red Eye as a party of two for dinner. Got us the platter of 3 meats, mashed potato, baked beans and corn bread. The meat was tender and flavourful; the mashed potato creamy (the gravy was superb); the beans had a nice touch of acidity and not overly cooked till they were a mush while the corn bread added a nice touch of sweetness to the whole meal (best eaten hot). Ended the meal with the key lime pie which was not overly sour or sweet as key lime pie can get. Overall, the price was reasonable considering it's a smokehouse"
Friday evening dineer,i visited with my wife and 2 kids. overall pleasant experience but i feel that the meat are on the salty side the key lime pie is excellent
4 Star Brisket / 1 Star Ribs,"I've been looking for some rightsaid southern brisket to arrive in SG for years now. You say brisket and immediately the mind wanders to Franklin's or Rudy's or Saltlick or just any gas station down south. Arrived with great expectations, was very surprised when they didn't understand what I meant by inside cut on my brisket order, equally surprised when they couldn't understand I prefer glazed ribs, so that automatically lowered my expectations. When it arrived the brisket was decent, I gave it 4 stars since its probably the best you can get this side of the Atlantic. The ribs however were simple nuked, over charred for effect and for 400gm portion for one I had to trash 300gms for the poor cook. Bittersweet experience... might go again if I get desperate for brisket. Suggestion: leave the hot sauce in a bottle on the table like a real barbecue joint, the stewardess was super gracious and refilled my mini dip bowl 7 times."
Tiny serving,"For the amount they charge for lunch, the portion is tiny. Taste wise, it's acceptable. Nothing to rave about."
Value for money,The beef was very tender and soft. The taste was very flavourful. Definitely one of the best smoked beef I have eaten. Must try!
Oddle delivery order,"Tried the pulled pork and pork ribs on my first order - the Oddle delivery (that arrived on time), came with a mini bun and a small tub of each sauce to try. Really enjoyed it and glad it still tasted great through the travel time to get to me! They also kindly sent a WhatsApp reminder and instructions on how best to enjoy the meat. The delivery charge was 14, which I guess it slightly higher than the usual 10 I’m willing to part with but it definitely saved the hassle of travelling to the restaurant. Will try the beef ribs next time!"
"Excellent Food, Service and ambience.",The food was fantastic and the staff know what is good and recommend to us. Would come back again! Just a little hard to locate the place cause it’s at the corner. But still okay! Good good worth the find!
Ripped Off For A Beef Rib,Never buy the Beef Rib..its a rip off..its was so char(total burn) on the top and too hard ..worst part the rib bone it self its almost like 250 to 300g ..only edible a portion of the meat. 12 dollar for 100g total weight was around 530g..so do the maths what u paid..overall the food is nice and ate there before w group of friends..this time round was a big dissapointment .
Great Meat,Brought my foodie and meat lovers friends to Redeye and they like it! Brisket and ribs were great and I personally love the sweet potato poutine.
Average,"Feels quite average. Some of the previous reviews mentioned that the meat was perfect. However during our visit the meat was just average. In fact some of the meat was not warm. Love the toasted bun. The pulled chicken burger was not impressive at all. The bun was a bit dry. Table is small. So if you are going to order a platter and another dish to share, better to let the staff know."
Great service,First class service with wallet friendly prices!!! The pork belly is a must try! Will visit again with my family!
food is good!,"went during lunch and was disappointed to find out they did not have their usual beef brisket, only the chopped version. no short ribs either as these items are only available for lunch.
pork belly was superb. we were a party of 3, we order 2 platter of 3 meats each platter had pork belly and beef brisket."
Decent Dining Experience,"Managed to snag a reservation and this was my second visit having done one with the family before the renovation. So decided to visit with a friend. Realised that the menu has changed a little. The sharing platters have been taken away and it was difficult to understand the menu when we had to choose 2 or 3 meats etc. I noticed that other people had the same problem as they spent more time than necessary at the counter to ask questions and to order the food. For 2 pax, we paid $158 without drinks. The meats were definitely improved for the first visit, but I feel the price point is a LITTLE bit expensive and unfortunately more expensive than the sharing platters offered before which was in my opinion better."
The best Southern food - never disappoints!,"We have been to Red Eye Smokehouse various times and each time we come away very very satisfied. The short ribs, brisket and pork belly are the best and so are all the sides! We love Southern food and this place is one of our family favs!! Thank you for consistently being so good."
Food was not bad but wasn't happy,"It's located at a rather secluded place facing the Jalan Besar stadium. Ambience was really not bad and the food was not bad too for the price. The meat platter should be your choice if you're a first timer. The pork bell's fat melts in your mouth and the choices of meat goes really well together in a warm bun. The mash potatoes were awesome.

Right food wise and ambiance was great so why was it an unhappy outcome?

Clearly discrimination was very obvious by a Chinese short hair tall waitress. She serves the locals and ang mohs really differently. Sorry she didn't bother to serve the locals or perhaps hesitant. She asked another waitress to serve the locals instead. And the rather timid waitress had to ask me twice if I was a first timer. I said yes and she didn't even tell me the menu differences since they had made changes and that the meat platter's choices of meat were from the list above stated as ala carte as well. How did I know all these changes as a first timer? There were ang mohs seating next table and the chinese waitress earlier served them superbly well with the changes made on the menu and how many grams of meat would be sufficient for two.

So, if you were me, how offended are you with such service? Pls, management of the restaurant, learn from millions of examples outside especially in the branded stores. Don't judge your guests by how they dress OR IF THEY ARE LOCAL AND YOUNG. Treat your customers equally if you want sustainable revenues from returning customers. Very dissatisfied indeed unfortunately. NEVER WILL I RETURN unless you improve these services."
Very tasty!,The food we have for lunch was very good and with a few additional sides. The burnt end beans were awesome!
Beef short ribs,"Value for money beef short ribs, haven't find any restaurant in singapore serving beef ribs. Could be better if food are serves hot instead of just warm"
Red Eye Smokehouse,"Fantastic, awesome, a real gem of a place. The food was superb, the service was excellent, keep up the good work.."
Can Go Again Location,"TRAY FOR TWO
Angus Beef Brisket, Duroc Pork Ribs, Smoked Chicken, Choice of 2 Half Sides

Angus Beef Brisket - really not bad, juicy and tender (will certainly be back for this..!!...Good...)
Duroc Pork Ribs - meat can be easily pull off the bones, but the corner meat tends to be too hard, can be better
Smoked Chicken - a bit under cook, nothing special about it
Mashed Potatoes - filled to the rim of the container with sauce (something unique about this taste) mash tends to have some chunky bits of potatoes, nice texture
Sweet potatoes fries - not bad

Will be back to try some other items off the menu. ^^

Setup of the place was cosy and simple, great place for 2 or just 4. Order at the counter and wait for your food."
YUMMY!!!,"Food was really good! We ordered the platter for 4 for the both of us as we wanted to try a variety of their dishes. Consisted of brisket, sausages, pork belly, pulled pork and chicken. All the meat dishes were really nicely done. Chicken was tender, pork belly melt in mouth type! Also came with an appetiser, we ordered the beer battered chicken strips (so good). and included 3 sides too. We had the dirty rice, burnt end beans and mashed potatoes. We also had the key lime pie which was awesome, Tart yet sweet. Will head back to try both the ribs which we didn't get to as it was too much food. Staff were really friendly and welcoming :)"
BBQ joint that hits the spot!,"Competition is stiff in the realm of BBQ joints like these but it was value for money that won in the end.
Service was good albeit slow as it seems we were caught behind a large takeaway order.
Food was great but I do wish it came a little warmer! Aircon must be to blame for cooling it down too much. Burnt end beans could use more burnt ends."
It’s not what you get in the US but good for Singapore,I came here for the 4th of July. The draft beer is completely flat so don’t buy it. The meat is ok but lacks the flavour you’d expect from a smokehouse. If your an American don’t expect what you’d get back in the states but if you’re desperate I’d say go for it. Service is good but the lady at the cashier was so depressing and lazy it was hard to look at her. Not many people there so I’m not sure if you’d need a reservation.
"Great food, awesome service","Pork ribs with original barbecue sauce was great. loved the nachos and happy-hour 1-for-1 yuzu beer too. Crew was patient and informative with their service (Tq).

Would be better if full slab option (always better value) is available as I had to order 2 serves (half slab 350g-400g x 2)"
Super Tasty,We ordered the Meat Platter for four and the meat was so easy to cut and so very very tasty. The mashed potato was beautifully smooth.
Red Eye Smokehouse,"This was our third visit, the food was fantastic as always. Keep up the great work and we will be back for sure sometime soon."
A great US BBQ joint- right here in Singapore!,"I have been coming here for years since they opened. The food is still just as good if not better. I've been lucky in life to have some great BBQ both in NY, Asheville NC, Arizona and Texas. Now I can also add Red Eye Smoke House in Singapore to that list! This is the real deal! Top quality brisket - the trademark of any good BBQ. Get there early though because they can run out. Nice selections of beer and wine to go along with the food. Also great for take out"
Not a bad experience,"First off it's in an out of the way place and its very small, so don't just go on chance. The food is on the whole quite good, the chicken especially
The brisket was somewhat spoiled by being slathered in BBQ sauce and that hid the natural taste. On the side woudl have been better
The ribs were ok.
The sides not bad. the cornbread very dry.
Not a bad effort and service quite good"
"Food OK, Service not so much, better options for the money","Went with a family of 6, food selection was not very varied, but it is a smokehouse joint after all. No kids menu options and no Veg options aside from cole slaw and sweet potato fries. Placed our order and waited....and waited....and waited. Eventually our orders started to dribble out. Side of rice...5 minutes later, a cole slaw....5 minutes later some fries...then about 10 minutes later our main dishes. As you can imagine, at this point we were all feeling a bit let down with the service.

The food however was delicious. Very succulent and flavorful smoked meats with nice sized portions. The sides were good too, but came so early in the service they didn't seem to matter. How hard is it to at least time the serving so everybody gets their meal at the same time?

This place may be best for takeaway as long as you don;t have a child or vegetarian with you :)"
Good Short Ribs & Great Corn Bread. That's all,"we had a platter for 1 + short ribs. The pulled pork was dry and hard, similarly to the brisket. Not juicy at all. The short ribs were fall off the bone good, but its dry on the edges. Did not felt like it was freshly smoked on the day. Considering we cam on a tuesday (after their closed day on monday), would wish to try another day. Flavours were great though."
Oh no - what changed?,"Used to love this place. It was our gem, our hidden treasure. I can’t count the number of our visits, they are so numerous. But….something changed. Menu is not the same, chicken has crept in more and more, prices have gone up, the nice vibe has evaporated. We were told they couldn’t take reservations, but now we are told we can’t enter without it. It’s become formulaic while the quality of the bbq declined.
I wish I knew who owned it/managed it/cooked in it a year ago or so, we would follow them. Those people made it a fantastic place. When they left (whoever “they” is) the restaurant went down down down. We have made our last visit here and won’t be returning. All that made Red Eye Smokehouse great has vanished. So disappointing."
Awesome BBQ experience,"Little hard to find but was well worth it. The food was better than expected , would highly recommend this restaurant. Great value and looking forward to our next visit."
