topic,review
Tourist trab,They where just selling the weight. 2.4 kilogram for two persons far too much. No skirts and knife where serfed just after asking. My shirt was ruined since i got my skyrt only after asking.
"Pricy but great food, great ambiance & great service",Love their chilli crab & black pepper crabs. The wasibi prawns are very tasty too. Definitely will return if i want to splurge on a good Chinese dinner.
Disappointed,"Nothing like the old Red House, too upmarket, atmosphere none, compared to where they used to be,
Prices are much higher , service very average. The old Red House is still there but under a different name. We were told all types of stories why they they relocated but it did not add up, we walked past the old Red House building which was still the same and pumping. All in all very disappointing and a bit of a take, including charging for hand towels and and sauces you did not not ask for. Atmosphere was cold , stark and not many customers."
green star,Restaurant at great location good service very helpful when choosing from the big menu. portions are large & great food. For Singapore not bad value
"Ticks all the boxes - nice ambiance, good food, and great customer service,","Caught up for lunch with some dear friends and they chose this venue. I am glad they did as I would not have stumbled into this restaurant on my own. We had a huge array of dishes, and they were all fresh and tasty. The steamed fish was my favorite. The vegetables were all cooked to perfection. Tried the crispy small squid for the first time and it was great. Wilson looked after us, and he was superb. Great customer service."
Exceptional dim sum buffet and service,My family had dim sum buffet for lunch and the dim sum were exceptionally well. Worth the price paid. Staffs were attentive and the environment is very welcoming.
Feedback,"Food are yummy. Portion is small which is good, to reduce wastage since we can always order again if we like it, unless it's a one time order. The restaurant looks lovely. We had a birthday celebration for one of our girl friends and everyone enjoyed it. Staff service is generally pretty okay too, they are mostly friendly, except that it may not be easy to call for them at times."
Great Seafood,I had a business dinner at this place and the food was fantastic. The service was very friendly and made sure we got everything we needed. It is a bit on the price side but the quality of the food is worth it.
Quality food,This is a restaurant with essential atmosphere with a professional staff Food is high quality and fish very fresh Pepper crab was excellent and tasty
Disappointed,We booked online for 2045. We arrived on time to be told the kitchen was about to close and could we order straight away. We were then told there was no crab left which was the reason we had booked. We ordered but the experience had already been ruined for us. Why could they not have asked us to arrive earlier?? The food was good but very expensive for what it was. We will not be back
Outstanding dining experience,"The food quality is superb, the service is excellent, and the overall dining experience is outstanding. One of our favourite places in Singapore for dim sum and crabs."
Good Food and Service,Dim Sum selection was good and mostly delicious except one dish - steamed rice roll with you ciao is very blend. It could be better if it is filled with some stuffings. Service staff were generally attentive except seem to be too eager to promote their specialties. Overall we had a good time.
Fantastic service,"I have visited different outlets of Red House in the last few years but this was my first visit to the one in Grand Copthorne Waterfront.
The food was very good as usual but what set this restaurant apart was that the staff offered to peel the whole crab for us.
This was the first time I can recall this happening and it made a tedious process very easy indeed!
Anyway this was much appreciated and also the fact that there was free corkage for the first bottle of wine we brought.
We look forward to going back again."
Copthorne redhouse,Overall experience is quite good but was disappointed with the crab. Though it was stated that its 1.2kg the meat was not as solid as expected
Easily the best choice for a fuss free Dim Sum buffet,"Second visit to Red House at Grand Copthorne on 09/04 after being amazed by the food and service back in January. Warmly greeted at the entrance and escorted to our table by Moon Chan, who made sure our tea cups were always filled and you could feel her smile behind the mask. Mars Hu ensured that our dim sums arrived in a timely manner and smartly suggested the dessert dishes towards the end of our meal, agreeing to a half portion in order to not waste any food. A special mention has to go to Lesmund Chen - he served us on both visits and was always on top of all requests; be it for additional sauces or food items.

Overall, the food quality is fantastic for the price point even with the updated menu. We've tried other Dim Sum buffets around town but Red House will be our go to spot for the foreseeable future."
Great Value! Outstanding Service,The title says it all. Cant wait to return to enjoy the food again. Really fantastic service. The food was fresh and tasty
A superb dining,"Visited the Copthorne premises on a Friday evening. The service staffs were very friendly and helpful. Our food choices were assisted by the staff and it was excellent.

We were overwhelmed by the numerous choices in the menu. Highly recommended for any diners to try their impeccable service and quality of food."
Family Dinner,Seafood was fresh. Service was good. One of our favourite restuarant to dine. Think previous location was better but I guess this one is easier to locate.
High Quality Chinese cuisine at decent prices!,"If you like Chinese fine dining at decent prices, this is one place you should try! SGD28.80++ lunch buffet per adult during weekdays is a steal! When you are here, try the spicy dumpling, siew-mai, crispy cha-siew pastries, pumpkin soup, XO carrot etc"
Go-to Chinese restaurant,Great tasting and good service. Loved the stir fried bee hoon with the wok hey taste. Pumpkin porridge is not a commonly found dim sum item and is an great alternative to the usual century egg minced pork porridge. Crispy custard bun still taste great even after some time.
Free flow dim sum and wine amidst a beautiful contemporary facelift,"Like your dim sum free flow, amidst a beautiful setting? Red House Seafood just had a modern contemporary facelift. The hallways of the restaurant is well-lit with Chinese brush stroke prints. Dim sum free flow is at an incredible value – with one-time order premium dishes such as fried clams (sauce is heavenly), crayfish, perfectly crispy-ed burramandi with Nyonya sauce and premium fried rice. The other dim sum favourites are succulent, with generous portions of fillings or shrimps. XO carrot cake is to die for. Service is prompt and. on-point. We even opted for free-flow sauvignon blanc at $28 which all in all was a value scream. I think prices will be raised soon so head here while the furniture is still green and everything with that coat of new-ness."
RED HOUSE AT GRAND COPTHORNE SINGAPORE,"3rd visit to RED HOUSE GRAND COPTHORNE within a month. Impeccable service by staff🤗. Food are very fresh, good and deliciously yummy😋. Thanksssss for the wonderful lunch😉🙇‍♀️....keep up the good work👍👏"
Nice dimsum,"Overall dimsum variety is good. However, the chee cheong fun do not taste so good. This is at the grand copthorne branch, the restaurant is spacious and tables are spaced out."
Great Dim Sum,We went for their Dim Sum a la carte buffet. The food was of high quality and their service was impeccable.
Favourite spot for seafood.🦀🦞,Favourite spot for seafood. Finally back after a long cb. I missed the place and espcially the food. Must try here offcourse their unique fresh taste of chilli crab better than any other seafood in town. The quality of food are fresh and perfect local cuisine. Service are good and the ambiance are cozy.
wonderfull crab,Was with my family having the carb. the crab was so delicious and juicy. perfect wine varieties . A must visit restaurant.
"Good food, good service!",My family and I went there for a Christmas dinner. We ordered crabs; crab bee hoon and chilli crab. The dishes were well enjoyed by my family. The person taking our order was helpful; giving us advice about the size of their dishes and what would be a good size for our family. We had sufficient food; walking out full and satisfied. Service was generally good.
