topic,review
Awesome Food..love it,"Had our Chinese New year lunch with 33 family members. Simply loved the good. The beef ribs were so well bbq, well seasoned, soft and tender, family loved it. Next the Pho..the soup was thick, taste just nice, noodle cooked to perfection with generous amount of slice tender beef. My guest that don't take beef, the slice chicken beef was good too. Next the prawn fresh spring rolls is a must to have with their own made sauce, fresh prawns and cook to perfection. Thank you chef Jeff and team for the excellent food. Family of 33 enjoyed it so much. All said "" we will be back again """
Loved it,"My husband and I had a lovely dinner at Red Sparrow. We started with the 6 mixed rolls, then had the charred squid, wagyu and prawn pancake. Everything was delicious and I particularly enjoyed the pancake. Impeccabile service."
Authentic Vietnamese food,"I’m not a total fan of Vietnamese food, but I’m pretty sold by the food offered here. I like the portion offered on the entrees. They were pretty huge including pho. The spring roll platter was a good choice if you couldn’t decide which spring roll to choose from. Plenty of condiments accompanying each dish. Price is slightly higher than other Vietnamese restaurants in the mall, but this was located in Dempsey Hill after all. Recommended for anyone who craves Vietnamese food."
"Good food, bad service","The food we ate was very good, and it came very quickly.
But staff seemed very, very unhappy.
They didn’t smile, or ask how the food was when it came.
After we had finished our main, at least 3 staff members walked past our table repeatedly for about 15 mins and cleared nothing, (and the restaurant was by no means full) or asked if we wanted a dessert menu.
In the end we had to ask, they took the dessert order, still without clearing the table. The dessert again came very quickly, but they put it down on a table still covered with the food plates from the main course.
We had to actually ask them to clear it.
Not one member of the staff smiled, it felt like something was very wrong.
When we left, no one said goodbye or thank you - even though we looked around for someone to say it to ourselves. Not even a glance as we got up and left.
This was a disappointment - as we had looked forward to trying this restaurant after it had reopened from refurbishment."
Worth the $$,Simply yummy is the word ! Solid Vietnamese food though price is on high side. Bought family here and I must say it is very close to the standard in the Vietnamese restaurant in the country! I shall be back !
Ok good,"Waitresses are quite random, never remind me I cannot finish so I kept ordering, in the end habe to take food away and left a few there. Food itself is quite tasty. But a lot food out of service"
Dinner with friends,"Wanted Vietnamese food with friends, food was good, definitely satisfactory, not cheap but it tasted good and we were happy.

Similar to all the other reviews on Google and here about the service, I'll probably give them 1 star maximum 2.
Sometimes it was almost impossible ordering food because after you order 1 thing they walk away and you have to say ""heeey wait.. we also want to order.... Something else"" .

and they all look so sad or upset , I think if you're just after the food it's a good place, if you want a good experience I wouldn't recommend, same with other many reviews about their services online"
Not worth the time,"Service was poor - whenever we order a dish, its not available. We had to wait 15 mins into the ordering before they came to tell us it was not available. No clearing of soiled dishes, topping up of water - not attentive at all. The quality and taste of the food were disappointing"
Best VN,One of the best VN food you can get in SG. Bun Cha was amazing. Fresh hand roll as well as Bo la lot was really good too. Everything was fresh and great
Good dinner experience,We had a Saturday dinner. This is not first time we are visiting. We again appreciated it. Try different meals as the card is wide.
