topic,review
My review,"1st time at Red dot with my daughter who book the table , food and serving are quiet well and satisfy. This time, I booked my self and have dinner with my wife & invited my friend couple. But your serving is very poor. Some food are seem to be overcooked , looklike charcoal. I am not sure that you have changed your chef for that day due to CNY holiday period. I have to wait for too long for some additional dishes which I ordered, and approach to counter and have to ask your staff for why take so long.I found that she does not see the my order in her computer. She only updated the system after my approach. Because she was not at her desk. I am quiet disappointed in that day."
Nice location but have much room to improve ambience.,"Christmas decor was seemingly left on, while CNY decor put up over Christmas decor in certain places is really unsightly.
Sound system was miserable, and mozzies galore without sight of mozzie zappers or even mozzie coil… this place has such beautiful environment by default of its location, but no tots into making it a good experience for customers experience. Food alone is not good enough for dining experience, which is a pity, and hopefully the owners take this as constructive criticism."
"Good Food, Bad Service","For a brewery it was terrible how hard it was to get a drink. Orders were lost, drinks took a very long time to be delivered and overall the staff were just not interested. The food was OK, but overlal the experience was not"
Red Dot Brew house Dempsey,The place is vibrant and full of christmas deco when we visited post Christmas. Service and food was good. Nice place for gathering and listening to live band.
Pablo,Excellent food service and entertainment. Will be going back soon particularly liked the green beer in the tower.
Its a craft beer restaurant!,The brewery is really a restaurant and brewery together. It was easy to get to from Santosa where we we’re staying. The staff were friendly. Over the course of the night they did make a lot of mistakes with the drinks orders. Given that you need a local phone number to order the food this made things interesting. The drinks do take a while to arrive so plan ahead. The food was tasty and the beer is really great craft beer. I enjoyed the evening. I would return.
Short Handed,"Although the decoration is nice ,service is so so...looks like short handed, also foods is not that attractive, as compared to my last year visit. With that kind of price and taste cold foods ...hope they will last . , !"
Deposit,"The rule mentioned need paid deposit $50, booking is on 11/11/22, but till today still haven’t received the deposit yet. Kindly advise me by tomorrow. The waitress Teresa is a good service in the restaurant. The food quality good, and will attend again this restaurant"
Good atmosphere,Nice deco and beer garden environment vibes. My guests love the atmosphere. Unfortunately no live bands at that time.
Red dot did not receive reservation,"As forementioned. Also, one of our orders did not arrive, even after an hour waiting. Canceled order in the end."
A new space of taste and relaxation,Great experience. The atmosphere is very welcoming and chill . Great food and service. It can be expensive but worth it. Staff are extremely knowledgeable and make great recommendations.
Lovely experience!,Wonderful place - relaxing with lots of greenery. Dog friendly. Amazing beer and good variety of foods.
Nice ambience and lovely food,Good food and lovely ambience. Just the service not too attentive and food serving took a bit long. overall good experience. a bit warm on the day i visited hence my sampler beer get warm pretty fast..
