topic,review
10/10 beer.,All beer options here are incredible and amazed me everytime I was given the chance to taste them. Best beer in Singapore and best beer I have had worldwide.
Very slow service,"Food is ok. But was displeased with 2 things
- when taking our order, waitress did not note it down on paper or in ipad. I thought she could remember (like most experienced staff), but she had to come back and make us repeat our order. The issue is if she cannot remember, then note it down somewhere.
- very slow service. We asked for water, but had to wait long and reminded 3 times before it comes. It also took a while for the staff for the billing process to be completed."
Great for craft beers.,"We stopped here a couple of times for drinks whilst in Singapore.

Red Dot is apparently Singapore's first locally owned, independent commercial microbrewery, and they serve really a really good choice of Beers, my favourite being their Summer Ale! They also serve food although we only had drinks whilst there.

Located on Boat Quay, they have both indoor and outside seating area, directly overlooking Boat Quay, which contains many bars and restaurants.

Great place to cool down with a good beer or glass of wine!"
What a great little place,"What a great little place this is. We spent an evening there. Great food and an excellent selection of beers, some brewed on the premises. Food was good quality and the setting which was on the riverside was second to none. Can’t fault the staff and the quality of the food and drink. We really enjoyed our evening here."
Good selection,"They have a nice patio sitting, good seelction of craft beers and good nibbles. With the view, you cannot ask for more."
Green Beer,"Friends local to Singapore took me to RedDot Brewhouse for a green beer one night in December. The beer was okay, the view was beautiful, and the company was fantastic!"
Exceptional Singapore brewed beer with fantastic crew!!,"Love having conferences in Singapore! Was recommended RedDot brew house @ Boat Quay. They have sample shots of their many different beers, how ingenious! Was blown away by some amazing brews!! Who would have imagined, an ale brewed with wine yeast? Try the award winning Sauvignon Ale! Must thank Su and her staff for the great, great service too. I was very impressed by the whole experience! *Oh oh, amazingly detailed website describing their beers!"
Requested seating arrangement,"Maybe i was not specific enough when requesting for a cozy quiet corner by the riverside, but i thought this phase is simple enough to understand.
Anyway, was arranged to seat between 2 tables with one of them so close, only 2 inches distance away. Soon after, I spotted the customers of a table just besides the riverside leaving soon and immediately asked to change the seats.
Seating location to me plays an important part to the whole environment experience. Hope this can be further improved whenever there is a booking being made."
Nice food and excellent setting at the riverside,"After a few days of eating at the hawkers we needed to indulge ourselves in some western food,

An excellent setting on the Bank of the river against a back drop of the illuminated city we dined on fried chicken and burgers... all very tasty and supported by quick service.

We didn’t try the green ales but they seemed popular."
Cold beer & nice views,"Close to our hotel so we popped in here several times during our stay. The food was normal pub fare but quite alright. Some of the interesting beers they had ran out of but we had the IPA with sorghum (? I think) and the green beer with blue-green algae in it, better tasting than the water in the marina but the same colour. I think this place is really good but could step up to the next level by embracing the craft beer revolution a bit more and trying to produce new flavours instead of rehashing old ones.

The services here was excellent at any time of the day and by different staff."
Lunch was good,"Had lunch set menu of Striploin steak. It was good, slightly overcooked for medium rare but still tasty and soft.

The highlight was the Marzen (Reddot Octoberfest Amber Lager) beer.
Very easy to drink, clean with a great taste of toffee.

Was looking forward for the Redot Grand stout reserva, but they are out....maybe next time."
Bad experience,"Booked a table for 6 on 11 oct at 1930hrs. Upon reaching there, we waited very long for our table to be ready. Waited around 20 minute and still got no table available. End up we left that place in disappointment."
Excellent,This is an excellent place to eat drink and meet people A must for sports lovers with all major sporting events covered on many large Screens Or sit outside by the Quay undercover Brilliant selection of food and try. We tried the locally brewed Reddot Wheat Beer can not speak to highly of it
Dinner at Boat Quay branch,"Colleagues not knowing their job knowledge well, food wasn’t as great as previously had in Dempsey hill. Dry n unglam"
Good place to grab a drink,"We were walking along the water and stopped in the RedDot. The drinks prices were on the high side, but i guess you are paying for the location. The service was good."
Creative craft brews,I came here and had the biggest flight and best service. They have creative ideas for beer...such as spirulina and sauvignon blends. Worth a visit. Plus there are waterfront views.
Awesome place!,"RedDot never fails to amaze over the years. Super amazing food, beer and staff who always outserve all the customers:) Thank you team!"
Quite good,Food and place is nice to chill and eat. But hygiene need to maintain as I saw mice running around near kitchen area
"Awesome location, good service and decent beer",The location of this place looking out over Boat Quay is quite stunning. They have a sizeable collection of core beers and a small number of specials. The core beers are not so great in my opinion but they occasionally have some tasty specials. Service is generally very good here as are the bands that play. I stop by this place occasionally for the special beers but for anything else there are better options. Prices are reasonable considering the location.
