topic,review
Pretty delicious Italian dishes,"Family-run business. Food here tastes great, better than many other Italian restaurants in Singapore. We can taste the freshness of the ingredients; comes with a price though. Things are not cheap here. Overall, good food."
I want to give it a 6th star!,"We have always been impressed with Valentino's but this latest visit is worth a special mention. We booked a celebratory lunch for a milestone birthday. I have various food restrictions and didn't feel like what was on the menu. The chef came out and spoke to me about what I can and cannot eat, and what I was looking for... what was delivered was out of this world, I told chef that it should be on the permanent menu! He really fed me from the heart... very rare in restaurants these days, that is what differentiates Valentino's. I'd recommend it any time."
Great food but slightly overpriced,"Great food but slightly overpriced. Pasta was very little barely made me full. But food was nice , just hoped that it is cheaper due to the portion of food. Service was impeccable though, so hats off to thatb"
Delicious food,This tiny place in the middle of nowhere is amazing. Excellent food and service. Italian food has gotten so commonplace but this place still stands out. A tad bit on the expensive side but worth it.
RUDE RECEPTIONIST (THE ITALIAN MIDDLE AGED LADY),"We wanted a table of 14 but was told per person has to spend $140~$150 each so we instead chose to have 3 separate tables. When we reached our diners place, we declared we have 3 reservations and the 5 of us who reached there earlier were sitting at separate tables, so we need to have 3 tables being shown to us. And I also ask the rude crude waitress are the tables near each other; she said no and exclaimed you didn't tell us before hand. Ok, I accepted that reasoning, and she quickly hassle us away. I witness myself there's only 1 table in section 2 that was occupied and the time was only 5.45pm. I thought to myself, why can't she just re-arrange the table. But I can already feel she is a difficult person. As I had mentioned earlier, there were 5 of us who will sit on different tables (because different department) but we ended up sitting all in 1 table. So I call out to a friendlier waitress (Pilipino; thank God you were there, you should be promoted) that we need our 3 tables now so we all can be sat accordingly. So she arranged for us and thank you for your understanding; unlike that Italian lady who probably don't understand English or she probably think I'm in Italy. However when my boss arrived and spoke a Chinese waiter, immediately the join our tables nearer to each other. The rude waitress approached my table and explain they will change my table to be nearer to the other 2 but I can decline to shifting if I don't want to. So you see, this restaurant is only if you are relatives of the Royals or the riches. Chef Valentino, thank you for coming out to tables to socialize and talk to us. But that rude crude waitress is just not suitable on her job, please shift her to the kitchen. All in all, we spent about $2400 for 14 persons which we already hit the so call ""minimum spending"". I love Italian food and I have been to some good Italian restaurants. There are still many good ones out there like Braceria , Lemoncello, Leno, Bruno, Etna. This restaurant only served best to the regular , big spenders (pls specify first that you are going to spent alot) Royals, celebrities, ministers."
Fabulous dinner!,Always a brilliant evening with exceptional food. Pasta dishes top notch. Every ingredient perfect and all beautifully judged.
Birthday dinner,Food is okay and on the high $$$. We were late due to heavy rain. Was asked to leave immediately after our dessert. . Not a good experience for a first timer 😕
Good food but expensive,"Home made pasta, well made, good sauces, slightly tangy risotto. All good but expensive, fairly small portions and - 2 glasses of wine at 19 and 25 dollar and no complimentary water."
My favourite of all time,I’ve tried many other restaurants but I always find myself going back to this. Everything is excellent! 👍🏼👏🏼 Love it
Come just for the pasta,"Quality of seafood was just average for their prices and the portions are definitely on the small side. We had 3 different types of pasta, the sea bass and bread and burrata for starters. The pasta was consistently al dente and delicious but the fish and lobster didn’t meet our expectations. Restaurant is beautifully set and service is pleasant. Nice choice for a night out."
Terrible Service!!,"Overall service was disappointing and more than dismal.The Stuck-up Italian manager (or perhaps boss??) should have been more accommodating at the start, instead of being difficult.
Incidentally, I also just found out from a friend that this restaurant tried to rip customers off by charging exorbitant price on their wines. So be careful!
Can’t complain about the food, though a bit on the expensive side.
Singapore has many nice Italian restaurants with good food.
So I will absolutely not come back here again"
Family Lunch,Hidden gem located at the Grandstand. Plenty of parking available. Food is excellent and the service from Rose is exceptional. Just wanna say thank-you again to Rose for her service. Thumbs up!
Amazing birthday dinner spent here,"The staff were lovely, the food absolutely perfect, and the ambience transported us out of Singapore. Couldn’t fault anything in this restaurant - we would definitely come back."
Still arrogant,"Typically if you have been visiting a restaurant from time to time the regular staff would make an effort to welcome you back each time. But not Valentino Restaurant. I have been going to Valentino since their Jln Bingka days and even had an extended conversation with Valentino himself but on a recent visit no such common courtesies or even a ""how are you"" was extended by any member of the family. Despite having to downsize due to the pandemic, their ego and arrogance has not downsized accordingly. Also their no child under 5 policy is only for common folk. If you are deemed a VIP and seated in the 'private area' they will let you sneak a crying child in as they did when we were there. Sound travels."
$75 min spend even for babies.,"I’ve been to this restaurant numerous times and love the food here. They recently went through a renovation and after that, Mr. Valentino wants to charge each guest a minimum of $75 per head for dinner on Friday, Saturday and Sunday. I think it reasonable for adults but I wanted to eat with my 5 and 8 year old kids who needs to spend $75 per head as well. I don’t understand how they can insist this and on a Sunday night too. Mr. Valentino, can you please rethink your policy? It makes no sense to enforce a minimum spend on a 5 year old child."
An Italian Job!,"Untravellerable COVID 2020, good to find great Italian out of Italy to compensate our annual Italy food journey in Italy during pre Covid!"
Best Italian food with really friendly and professional staffs,"Best Italian restaurant in town with really friendly and professional staffs in such a cozy place. Many famous places do not care customers much but here is different. If you want to have a best quality Italian food in friendly environment, this is where you should go."
No kids friendly - if you have young children don’t go,"pleasant experience! Their team is no prepared to get family with young kids! The waiter said to my 5 year old boy he would put him in the woven if he was not quite ( seriously speaking , my boy cried). The waitresses shhhh my 20 months baby at least 7 times. If I knew the restaurant was not kids/family friendly I would never book this place to have family lunch. I have advised in my reservation we would need baby chair , so was no surprise we get young kids.

The restaurant would advise babies and toddlers are not welcome ! I would never expected this treatment at Italian restaurant at 12:00. It was a stressful lunch ! First time I faced this situation abs treatment in Singapore and we go out to have family lunch with them every Sunday .

If you have baby or/and toddlers I would say don’t go there !"
Probably the best Italian Restaurant in Singapore,"Funny staffs, lovely ambience and the food is the best. Ordered 2 appetisers, 2 pastas and all of them were excellent. Can't wait to be back again."
Great Italian at home!,Can’t travel during Covid-19 yet craving for great italian cuisine? This is it! Can’t explain further...
One of the best Italian restaurants in Singapore!,"Second time to this restaurant and still loving it! The quality of the food is very good and the service is great - the staff are all knowledgeable, prompt, and very friendly!

I went with 2 other friends this time, and we spent a total of $360 on 2 appetisers, 3 main courses and 1 cake! Not the cheapest for sure, but definitely a meal we all enjoyed and we think the price was justified!"
Delivery works perfect,"Ordered on their web, adjusting to covid times, we had a great experience. Food came on time as requested, hot and all perfectly prepared. Highly recomendable if you want to spend just a bit more than the average delivery. Worth every dollar."
"Another Visit, Another Great Evening",Visited again after a long gap. As usual the food was very good and the service excellent. The staff remembered us and our preferences from the earlier visits even though it hat had been a long time sine. Really a delight
Good food as always!,"We've been to Valentino's for over a decade, from the older small corner shop to this newer one at Turf Club, and have never been let down. Starters are unique, mains are done very well, and their desserts never disappoint."
Mama mia!,Valentino is a family fun restaurant that's not exactly located in the best place. But oh it is absolutely worth making the trip. I really enjoyed the burrata and the pasta was delicious !! The squid ink pasta with creamy crab sauce was my favourite!
Excellent dinner,Dinner service was great. The staff were very attentive. Noticed my mum wanted a certain dish just by looking at her flip pages on the menu and pointing an item to us. The dessert were excellent. Would say a great ending to an enjoyable dinner
Superb Italian food and wine in Singapore,"Without question one of our favorite restaurants in SG. Over the past 2 decades I have found it very difficult to find really good Italian food in SG — and Valentino’s solves that problem. Many of our best dining experiences happen here.

This is a family-run restaurant that remembers you and welcomes you back. Wine recommendations have always been good to great. The freshly imported tomatoes and cheeses make a delicious appetiser. Recently we had a smoked burrata that was superb.

Momma’s chicken is delicate and delicious. I always love the pasta with tomato-cream sauce. Various ravioli dishes have been excellent. We even tried rabbit which was truly delicious. Our kids never complain about pizza. Perhaps our favorite, though, is the fried veal cutlet. Every time we order they serve us golden crispy perfection. Wow!

The cakes, for dessert, are moist and delicious. Another Wow.

The occasional wine fairs are a must-attend event.

Of course such good food does not come at discount prices. But honestly price is never an issue when I go to Valentino’s. We get far more than what we pay for. We leave very happy. It’s A Great experience.

Any negatives? For me, not really. A minimal dress code would be nice for such good dining but that is such a small thing to worry about. It would just be nice given how good the food and dining experience is."
Good Food....but a bit pricey,"We came here for a birthday party and enjoyed some great food. We started with a Burata and calamari, the Burata was soft and creamy and calamari crispy. We then followed with some pastas, pizza and fish as a main. The Crab meat and the Red prawn pastaï with squiqd ink pasta were both rich and served with fresh seafood. Fish was delicious with a balsamic reduction. Kids shared a carbonara which was authentic. Finished with deserts which were all a great to the meal. Tiramisu a definite winner! Service was super attentive and friendly and the restaurant had a homely ambience. Only problem is that it was quite pricey for what it was, with many other italian places offering similar food at more affordable prices. But it is worth a visit for a special occasion!"
Still good food but pricey......,"I always like coming to this restaurant, its close to where we live and I love the family run feeling overall. A bit disappointed this time with the prices, they seem to have gone up a lot. It's now on the pricey side, which means if you are spending that much money you might as well go into town as these price levels have tons of great restaurants in that category.
All the starters are now $30+ each except the small burrata plate which was $29.90. Mains were in the mid $30's other than the 'petit' steak which was slightly tough at $45.
So 4 bottles of water, 3 starters, 3 main course, a bottle of wine, two more glasses of wine and two desserts worked out to $528. Overall the food was quite good but I still question the value for money and will think twice next time."
Pricey for average food,"The pizza and noodles are good but pretty pricey for the more average, standard tase. No kids meals. Nice and attentive service personnel. Not a real must go. Funny 80ies style interior."
. The deposit pay was not record hence lost.,Excellent restaurant but extremely bad experience using CHOPE booking app. App ask for deposit via pay pal but payment not reflect in booking hence lost.
Great place and service,Great food and great service. The meat was excellent. Good recommendation by service staff. Even the washroom is nicely decorated.
Best Italian Restaurant in Singapore,"Authentic from ambiance, people, hospitality and flavors. Love the traditional italian main course they came up with occasionally."
Consistently great Italian food,"Still one of the best I've ever had in Singapore. The pastas are so authentic in taste, you wouldn't care for its presentation much. The quality steaks are great value for money – so indulge!"
Great food and service,"I'm surprised I never even heard of this restaurant before, and its close to where I live! I really liked the interiors, food and the personal service here. The owner Valentino came over twice and had a chat (even though he was busy), you don't see that personal service much in Singapore restaurants.
The food was very good, try the Carpaccio with Truffles to start it was outstanding. I had the Osso Buco for main course it was also very good, my wife the Turbot fish.
They have a very good selection of wines, lots of half bottles too if you prefer to go that route.
This restaurant will be one of my go-to restaurants in Singapore, a place that meets all the criteria. Dinner was about $320 for 2, starters, main courses, a bottle of wine and a cheese plate to finish off. Its pretty average for Singapore but at least you are guaranteed with the quality and service."
Home style Italian food,Kudos to the atmosphere of Valentino. The decor is superb. The atmosphere makes you feel like a pure Italian restaurant.
No more quaint feeling,Food is above average but lacks the family feeling. It's gone mass market and with the ever increasing competition in Singapore. There are much better places to go for home made Italian food like mama used to make.
Bad Experience,"We went there to celebrate my mum's birthday however the experience was far from what we expected. It was a Sat evening and we made reservation at 8.30 PM for a group of 7. The waitress arrived and told us curtly to order appetizers as it will take 30 to 45 mins for our order to arrive. She repeated this twice in a condescending manner despite telling her that we had already ordered the bread basket and would be fine with that.

I must say that I later found out that she was the sister of the restaurant owner which surprised me that she used such a tone with her customers. Anyway never again as they charge premium for this food but the service is a far cry from being even worthy of an Italian Restaurant where hospitality is key."
Most Friendly and fun restaurant,"The staff there are friendly. Knowing that we are the first time been to such place so he introduce us one by one slowly and they are super friendly.
When I told them is my colleague birthday, they gave her a whole cake to let us have the celebration with everyone has a share of the cake.

The food there is nice, ambience superb.

Thanks"
Great Italian Food with Passion,"Da Valentino is a classic It is like everyones' favourite Italian canteen where you can get great, sometimes outstanding traditional Italian food. I love especially the Irish beef and the warm efficient service provided. Great wine selection at reasonable prices make Da Valentino together with Ristorante Takada two of the great bargains in Singapore. Perfect for a celebration or an intimate dinner for two. As a bonus Chef Valentino has to be one of the friendliest, most obliging Chefs in Singapore."
Last dinner of long vacation,"One of my favorite restaurants in the world. The perfect ending to such a memorable vacation. Hands down, the world's best veal milanese. Amazing house olive oil. And the highest world class service. Cant wait to come back my next trip to Singapore."
dinner,ristorante da valentino used to be at rifle range road and my friend introduced me to this place. service is professional and food quality is on par with that of other well known italian restaurants.
Hearty food and good service,"Entrees were good, Pastas were al dente and well cooked. Good hearty italian fare. Service was on point."
nice place and good food,"We enjoyed everything we ate. Burrata cheese was excellent. Beef, pasta squid were also good. Ambiance and service were also excellent. Authentic Italian food!"
Good Italian place with great ambience,"This Italian restaurant is tucked away within Turf Club. Thus quite a commute if you are not familiar with the area..

Nice ambience and spacious.

Food was good. My favourite was the Tiramisu thou..

Pricey but a good place if you want to have some good Italian food. Also a good choice for parties and birthdays..

Very friendly service...

Again would rate it GOOD but TripAdvisor does not have that rating..

If the food was better and prices abit more reasonable would have rated Very Good."
Great service and Comfortable Ambience,"I was there for a business dinner with a group of colleagues - a total of 16 pax.

The ambience of the restaurant is welcoming . The owner of the restaurant and his team are very professional, patient and friendly and made us feel like we are home. This place has been visited by numerous celebrities and politicians (local and overseas).

The food are served to perfection and though the price is towards the higher side, the portion served justify the costs.

The service team led by Dennis is very detailed and will attend to any request we have rather immediately (even when they are busy)."
The best food and service ever,"The food at this restaurant is probably the best Italian food you will ever have anywhere in the world. The service is at another level altogether. It was exceptional. And not one, but every waiter was fantastic. It’s the culture at this restaurant... to ensure the client is happy."
Great food but expensive!,"10 of us came for dinner (my brother's treat). The food was good but expensive, each entree around $30. We tried pizza, pasta, steak, the soups and desserts. We had a great dinner but I wouldn't pay the prices to come back. There are cheaper restaurants that aren't so far away from the main strip that are just as good."
"Great food and top notch service, but really expensive","Wanted to eat at this place but never expected the food to be so so good, our server recommended a few dishes to share all were superbly executed, the kids even had 2 orders of the grilled octopus, this place was packed on a Saturday evening. Overall a enjoyable evening."
Anniversary dinner,"We came here to celebrate our anniversary. The food was delicious and filling. They offered set meals vs ala carte. We were told that ala carte is a better option, so we order the burrata cheese as a starter, fettuccini spicy sausage and moscato marinated pork chop as mains, and rum&raisin pannatone with icecream as dessert (special Xmas menu)- which they prepare on a special plate to celebrate our anniversary.

The waiters were friendly and approachable. The ambience was good.

The only down side was they don’t allow us to purchase pre-paid Chope vouchers on the spot, unlike other restaurants which we went such as spuds and aprons. This should be written clearly on the webpage.

Otherwise, I will still recommend it."
"A pasta, a Buschetta, a pizza, a chop and breads.","Supposedly an authentic Italian restaurant, situated quite far away from the Garden by bays, yet we took the trouble of spending a small fortune in just getting there.
It was a family celebration, and the chosen cuisine was Italian. Hence here we were, a party of 4 adults and two small children.
The children are not choosy. They love their pasta, wherever they go. The adults have a problem. They have to choose.
We ordered a Buschetta, a favorite of mine. Unfortunately, not up to expectations. I have had better at home. The Pizza was however quite tasty but the chop, though cooked to perfection, with the meat falling off, did not really tickle my taste buds. The fish in a lime sauce was the only dish, i could get myself to like.
It is a fine dining restaurant with prices to match and you need an appointment to get in.
Frankly, I think it is over hyped and I may not, left to me, go again."
